equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_100_equity_concave,25344.18189999998,153.4418189999998,-64.6243136167303,rema_50100150__rbo_100,5.0,rema_50100150__rbo_100
rema_50100150__rbo_100_equity_convex,25149.807099999984,151.49807099999984,-64.34104274851524,rema_50100150__rbo_100,5.0,rema_50100150__rbo_100
rbo_100__rbo_100_equity_concave,24712.341099999987,147.1234109999999,-63.72035635520971,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_convex,24529.868799999997,145.29868799999997,-63.43907423251657,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rtt_5020_equity_concave,19400.814799999996,94.00814799999996,-54.357610230607754,rbo_100__rtt_5020,26.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_concave,19400.814799999996,94.00814799999996,-54.357610230607754,rbo_100__rbo_50,26.0,rbo_100__rbo_50
rbo_100__rbo_20_equity_convex,18584.58829999998,85.84588299999982,-64.09617282356426,rbo_100__rbo_20,80.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_convex,18372.381899999982,83.7238189999998,-54.52751824536284,rbo_100__rtt_5020,26.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,18372.381899999982,83.7238189999998,-54.52751824536284,rbo_100__rbo_50,26.0,rbo_100__rbo_50
rema_50100150__rtt_5020_equity_concave,17275.149000000005,72.75149000000005,-57.32578892418426,rema_50100150__rtt_5020,29.0,rema_50100150__rtt_5020
rema_50100150__rbo_50_equity_concave,17275.149000000005,72.75149000000005,-57.32578892418426,rema_50100150__rbo_50,29.0,rema_50100150__rbo_50
rema_50100150__rbo_50_equity_convex,16310.71879999998,63.107187999999816,-59.45447936692645,rema_50100150__rbo_50,29.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_convex,16310.71879999998,63.107187999999816,-59.45447936692645,rema_50100150__rtt_5020,29.0,rema_50100150__rtt_5020
rbo_100__rbo_20_equity_concave,15348.584799999962,53.48584799999963,-61.796536589122844,rbo_100__rbo_20,80.0,rbo_100__rbo_20
rbo_50__rbo_100_equity_convex,15180.668099999983,51.806680999999834,-56.22428964930619,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rsma_50100150__rsma_50100150_equity_concave,15067.908199999996,50.67908199999995,-51.97695646131939,rsma_50100150__rsma_50100150,2.0,rsma_50100150__rsma_50100150
rsma_50100150__rsma_50100150_equity_convex,14652.829799999996,46.52829799999996,-51.97695646131939,rsma_50100150__rsma_50100150,2.0,rsma_50100150__rsma_50100150
rbo_50__rbo_50_equity_convex,14432.401499999989,44.324014999999896,-57.19565729895256,rbo_50__rbo_50,4.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_convex,14432.401499999989,44.324014999999896,-57.19565729895256,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020
rbo_50__rbo_100_equity_concave,13581.381400000004,35.813814000000036,-62.35929729637469,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rema_50100150__rbo_100_equity_constant,13373.668999999993,33.736689999999925,-27.48318807464749,rema_50100150__rbo_100,5.0,rema_50100150__rbo_100
rbo_100__rbo_100_equity_constant,13313.977599999993,33.139775999999934,-27.166424572024635,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_20__rsma_50100150_equity_concave,12964.00710000002,29.640071000000212,-78.06001450084335,rbo_20__rsma_50100150,89.0,rbo_20__rsma_50100150
rema_50100150__rsma_50100150_equity_convex,12624.637299999991,26.246372999999924,-51.97695646131939,rema_50100150__rsma_50100150,17.0,rema_50100150__rsma_50100150
rbo_100__rema_50100150_equity_constant,12538.219399999994,25.38219399999995,-25.734952787439568,rbo_100__rema_50100150,122.0,rbo_100__rema_50100150
rbo_50__rbo_50_equity_concave,12482.439800000006,24.82439800000005,-63.22039084920894,rbo_50__rbo_50,4.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_concave,12482.439800000006,24.82439800000005,-63.22039084920894,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020
rbo_100__rema_50100150_equity_convex,12241.777699999942,22.41777699999943,-60.173709526805,rbo_100__rema_50100150,122.0,rbo_100__rema_50100150
