combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,3,6,0,0,49,176,323,8.94160583941606,32.11678832116788,58.941605839416056,16.333333333333332,29.333333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,8,6,2,0,0,71,263,214,12.956204379562045,47.99270072992701,39.05109489051095,11.833333333333334,131.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,8,6,2,0,0,108,263,177,19.708029197080293,47.99270072992701,32.299270072992705,18.0,131.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,2,2,0,0,75,263,210,13.686131386861314,47.99270072992701,38.32116788321168,37.5,131.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,89,5,84,0,0,100,95,353,18.248175182481752,17.335766423357665,64.41605839416059,20.0,1.130952380952381,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,88,6,82,0,0,115,97,336,20.985401459854014,17.7007299270073,61.31386861313869,19.166666666666668,1.1829268292682926,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,65,15,50,0,0,54,223,271,9.854014598540147,40.693430656934304,49.45255474452554,3.6,4.46,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,67,278,203,12.226277372262775,50.72992700729927,37.04379562043796,33.5,139.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,2,2,0,0,104,278,166,18.97810218978102,50.72992700729927,30.29197080291971,52.0,139.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,67,278,203,12.226277372262775,50.72992700729927,37.04379562043796,33.5,139.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,125,2,123,0,0,95,149,304,17.335766423357665,27.189781021897808,55.47445255474452,47.5,1.2113821138211383,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,123,2,121,0,0,111,151,286,20.255474452554743,27.55474452554745,52.18978102189781,55.5,1.2479338842975207,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,80,32,48,0,0,72,209,267,13.138686131386862,38.13868613138686,48.722627737226276,2.25,4.354166666666667,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,26,19,7,0,0,85,257,206,15.51094890510949,46.8978102189781,37.591240875912405,4.473684210526316,36.714285714285715,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,104,263,181,18.97810218978102,47.99270072992701,33.02919708029197,104.0,263.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,26,19,7,0,0,85,257,206,15.51094890510949,46.8978102189781,37.591240875912405,4.473684210526316,36.714285714285715,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,133,5,128,0,0,99,128,321,18.065693430656935,23.357664233576642,58.57664233576643,19.8,1.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,122,1,121,0,0,111,135,302,20.255474452554743,24.635036496350367,55.1094890510949,111.0,1.115702479338843,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,9,3,6,0,0,41,176,331,7.481751824817519,32.11678832116788,60.4014598540146,13.666666666666666,29.333333333333332,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,2,2,0,0,67,263,218,12.226277372262775,47.99270072992701,39.78102189781022,33.5,131.5,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,4,2,2,0,0,104,263,181,18.97810218978102,47.99270072992701,33.02919708029197,52.0,131.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,2,2,0,0,67,263,218,12.226277372262775,47.99270072992701,39.78102189781022,33.5,131.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,86,2,84,0,0,95,95,358,17.335766423357665,17.335766423357665,65.32846715328468,47.5,1.130952380952381,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,84,2,82,0,0,111,97,340,20.255474452554743,17.7007299270073,62.04379562043796,55.5,1.1829268292682926,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,29,29,0,0,0,70,0,478,12.773722627737227,0.0,87.22627737226277,2.413793103448276,0.0,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,16,16,0,0,0,83,0,465,15.145985401459855,0.0,84.85401459854015,5.1875,0.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,2,2,0,0,0,105,0,443,19.16058394160584,0.0,80.83941605839416,52.5,0.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,16,16,0,0,0,83,0,465,15.145985401459855,0.0,84.85401459854015,5.1875,0.0,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,2,2,0,0,0,97,0,451,17.7007299270073,0.0,82.2992700729927,48.5,0.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,2,2,0,0,0,112,0,436,20.437956204379564,0.0,79.56204379562044,56.0,0.0,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,42,36,6,0,0,76,26,446,13.86861313868613,4.744525547445255,81.38686131386861,2.111111111111111,4.333333333333333,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,29,23,6,0,0,89,256,203,16.240875912408757,46.715328467153284,37.04379562043796,3.869565217391304,42.666666666666664,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,5,4,1,0,0,107,263,178,19.525547445255476,47.99270072992701,32.481751824817515,26.75,263.0,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,29,23,6,0,0,89,256,203,16.240875912408757,46.715328467153284,37.04379562043796,3.869565217391304,42.666666666666664,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,17,9,8,0,0,103,8,437,18.795620437956202,1.4598540145985401,79.74452554744525,11.444444444444445,1.0,True,
rema_50100150__rema_50100150,rema_50100150,rema_50100150,rrg,rema_50100150__rema_50100150,3,1,2,0,0,111,15,422,20.255474452554743,2.737226277372263,77.00729927007299,111.0,7.5,True,
