combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,6,4,0,0,109,61,364,20.411985018726593,11.423220973782772,68.16479400749064,18.166666666666668,15.25,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,51,28,23,0,0,132,57,345,24.719101123595504,10.674157303370785,64.60674157303372,4.714285714285714,2.4782608695652173,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,21,9,12,0,0,190,73,271,35.580524344569284,13.670411985018728,50.749063670411985,21.11111111111111,6.083333333333333,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,9,5,4,0,0,155,77,302,29.026217228464418,14.41947565543071,56.55430711610487,31.0,19.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,45,27,17,0,1,133,62,339,24.9063670411985,11.610486891385769,63.48314606741573,4.925925925925926,3.6470588235294117,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,47,25,21,0,1,158,68,308,29.588014981273407,12.734082397003746,57.67790262172284,6.32,3.238095238095238,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,22,16,6,0,0,146,65,323,27.340823970037455,12.172284644194757,60.48689138576779,9.125,10.833333333333334,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,38,17,20,0,1,162,63,309,30.337078651685395,11.797752808988763,57.865168539325836,9.529411764705882,3.15,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,34,16,17,0,1,177,89,268,33.146067415730336,16.666666666666664,50.187265917603,11.0625,5.235294117647059,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,17,4,13,0,0,254,76,204,47.565543071161045,14.232209737827715,38.20224719101123,63.5,5.846153846153846,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,38,27,11,0,0,83,28,423,15.543071161048688,5.2434456928838955,79.21348314606742,3.074074074074074,2.5454545454545454,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,107,38,389,20.037453183520597,7.116104868913857,72.84644194756554,35.666666666666664,19.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,2,2,0,0,183,38,313,34.26966292134831,7.116104868913857,58.61423220973783,91.5,19.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,107,38,389,20.037453183520597,7.116104868913857,72.84644194756554,35.666666666666664,19.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,16,13,2,0,1,144,38,352,26.96629213483146,7.116104868913857,65.91760299625467,11.076923076923077,19.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,36,25,10,0,1,169,30,335,31.647940074906366,5.617977528089887,62.734082397003746,6.76,3.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,26,15,11,0,0,143,27,364,26.779026217228463,5.056179775280898,68.16479400749064,9.533333333333333,2.4545454545454546,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,8,3,4,0,1,148,36,350,27.715355805243448,6.741573033707865,65.54307116104869,49.333333333333336,9.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,12,2,9,0,1,163,31,340,30.52434456928839,5.805243445692884,63.670411985018724,81.5,3.4444444444444446,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,17,3,14,0,0,149,24,361,27.902621722846444,4.49438202247191,67.60299625468164,49.666666666666664,1.7142857142857142,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,58,47,11,0,0,138,28,368,25.842696629213485,5.2434456928838955,68.91385767790263,2.9361702127659575,2.5454545454545454,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,42,40,2,0,0,145,38,351,27.153558052434455,7.116104868913857,65.73033707865169,3.625,19.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,183,38,313,34.26966292134831,7.116104868913857,58.61423220973783,91.5,19.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,25,23,2,0,0,162,38,334,30.337078651685395,7.116104868913857,62.546816479400746,7.043478260869565,19.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,30,27,2,0,1,158,38,338,29.588014981273407,7.116104868913857,63.29588014981273,5.851851851851852,19.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,36,25,10,0,1,169,30,335,31.647940074906366,5.617977528089887,62.734082397003746,6.76,3.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,40,29,11,0,0,157,27,350,29.40074906367041,5.056179775280898,65.54307116104869,5.413793103448276,2.4545454545454546,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,25,20,4,0,1,165,36,333,30.89887640449438,6.741573033707865,62.35955056179775,8.25,9.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,22,12,9,0,1,173,31,330,32.39700374531835,5.805243445692884,61.79775280898876,14.416666666666666,3.4444444444444446,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,24,10,13,1,0,266,24,244,49.812734082397,4.49438202247191,45.69288389513109,26.6,1.8461538461538463,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,5,4,1,0,0,61,18,455,11.423220973782772,3.3707865168539324,85.2059925093633,15.25,18.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,3,1,0,0,107,34,393,20.037453183520597,6.367041198501873,73.59550561797754,35.666666666666664,34.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,3,2,1,0,0,183,34,317,34.26966292134831,6.367041198501873,59.36329588014981,91.5,34.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,3,1,0,0,107,34,393,20.037453183520597,6.367041198501873,73.59550561797754,35.666666666666664,34.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,15,13,1,0,1,119,34,381,22.284644194756552,6.367041198501873,71.34831460674157,9.153846153846153,34.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,28,18,9,0,1,151,26,357,28.277153558052436,4.868913857677903,66.85393258426966,8.38888888888889,2.888888888888889,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,9,8,1,0,0,126,17,391,23.595505617977526,3.1835205992509366,73.22097378277154,15.75,17.0,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,7,3,3,0,1,148,32,354,27.715355805243448,5.992509363295881,66.29213483146067,49.333333333333336,10.666666666666666,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,11,2,8,0,1,163,27,344,30.52434456928839,5.056179775280898,64.41947565543072,81.5,3.375,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,7,3,4,0,0,149,14,371,27.902621722846444,2.6217228464419478,69.47565543071161,49.666666666666664,3.5,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,51,38,13,0,0,96,45,393,17.97752808988764,8.426966292134832,73.59550561797754,2.526315789473684,3.4615384615384617,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,37,26,11,0,0,108,47,379,20.224719101123593,8.801498127340825,70.97378277153558,4.153846153846154,4.2727272727272725,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,13,2,11,0,0,160,47,327,29.962546816479403,8.801498127340825,61.23595505617978,80.0,4.2727272727272725,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,19,15,4,0,0,119,55,360,22.284644194756552,10.299625468164795,67.41573033707866,7.933333333333334,13.75,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,5,2,3,0,0,132,55,347,24.719101123595504,10.299625468164795,64.9812734082397,66.0,18.333333333333332,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,33,14,19,0,0,157,39,338,29.40074906367041,7.303370786516854,63.29588014981273,11.214285714285714,2.0526315789473686,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,26,14,12,0,0,120,44,370,22.47191011235955,8.239700374531834,69.28838951310861,8.571428571428571,3.6666666666666665,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,18,5,13,0,0,129,45,360,24.15730337078652,8.426966292134832,67.41573033707866,25.8,3.4615384615384617,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,20,2,18,0,0,140,40,354,26.217228464419474,7.490636704119851,66.29213483146067,70.0,2.2222222222222223,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,28,5,23,0,0,129,33,372,24.15730337078652,6.179775280898876,69.66292134831461,25.8,1.434782608695652,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,57,43,14,0,0,113,14,407,21.161048689138575,2.6217228464419478,76.21722846441948,2.627906976744186,1.0,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,49,44,5,0,0,121,24,389,22.659176029962545,4.49438202247191,72.84644194756554,2.75,4.8,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,11,6,5,0,0,159,25,350,29.775280898876407,4.681647940074907,65.54307116104869,26.5,5.0,True,
