combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,5,0,5,0,0,0,273,261,0.0,51.12359550561798,48.87640449438202,0.0,54.6,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,12,0,12,0,0,0,285,249,0.0,53.37078651685393,46.62921348314607,0.0,23.75,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,11,0,11,0,0,0,320,214,0.0,59.925093632958806,40.074906367041194,0.0,29.09090909090909,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,0,4,0,0,0,293,241,0.0,54.8689138576779,45.1310861423221,0.0,73.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,21,0,21,0,0,0,312,222,0.0,58.42696629213483,41.57303370786517,0.0,14.857142857142858,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,10,0,10,0,0,0,374,160,0.0,70.0374531835206,29.962546816479403,0.0,37.4,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,115,0,115,0,0,0,160,374,0.0,29.962546816479403,70.0374531835206,0.0,1.391304347826087,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,10,0,10,0,0,0,348,186,0.0,65.1685393258427,34.831460674157306,0.0,34.8,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,10,0,10,0,0,0,375,159,0.0,70.2247191011236,29.775280898876407,0.0,37.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,125,0,125,0,0,0,150,384,0.0,28.08988764044944,71.91011235955057,0.0,1.2,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,13,0,13,0,0,0,264,270,0.0,49.43820224719101,50.56179775280899,0.0,20.307692307692307,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,0,3,0,0,0,275,259,0.0,51.49812734082397,48.50187265917603,0.0,91.66666666666667,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,5,0,5,0,0,0,314,220,0.0,58.80149812734082,41.19850187265918,0.0,62.8,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,0,3,0,0,0,275,259,0.0,51.49812734082397,48.50187265917603,0.0,91.66666666666667,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,0,15,0,0,0,306,228,0.0,57.30337078651685,42.69662921348314,0.0,20.4,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,4,0,4,0,0,0,368,166,0.0,68.91385767790263,31.086142322097377,0.0,92.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,115,0,115,0,0,0,160,374,0.0,29.962546816479403,70.0374531835206,0.0,1.391304347826087,True,
