Signal,Final Equity,Total Return,Max Drawdown
rsma_50100150,10193.906000000012,1.9390600000001257,-3.129511488115976
rema_50100150,10188.5917,1.8859170000000036,-2.279824400362314
rrg,10163.726699999994,1.6372669999999312,-2.5935167134840595
rbo_50,9930.546299999989,-0.6945370000001061,-1.7782655251114283
rsma_100150,9805.575000000013,-1.9442499999998697,-2.6941923785819024
rema_100150,9790.56900000001,-2.0943099999998993,-3.128963884912692
rtt_5020,9733.726100000016,-2.6627389999998363,-3.035364398154154
rsma_50100,9724.298200000003,-2.7570179999999667,-3.6735082556424206
rbo_20,9661.081099999985,-3.389189000000148,-5.292689741642439
rbo_100,9616.250199999999,-3.837498000000017,-4.309809999999979
rema_50100,9563.585399999994,-4.364146000000058,-4.84469600000004
