equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_constant,19355.319099999986,93.55319099999986,-50.793402248024144,rtt_5020,,rtt_5020_equity_constant
rema_100150__rbo_20_equity_constant,14623.911399999999,46.23911399999998,-33.71557440472508,rema_100150__rbo_20,44.0,rema_100150__rbo_20_equity_constant
rsma_100150__rbo_20_equity_constant,14623.911399999999,46.23911399999998,-33.71557440472508,rsma_100150__rbo_20,44.0,rsma_100150__rbo_20_equity_constant
rsma_100150__rtt_5020_equity_constant,14311.020000000004,43.110200000000034,-32.419621467084404,rsma_100150__rtt_5020,22.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rtt_5020_equity_constant,14311.020000000004,43.110200000000034,-32.419621467084404,rema_100150__rtt_5020,22.0,rema_100150__rtt_5020_equity_constant
rema_100150__rema_50100150_equity_constant,14228.991300000002,42.28991300000003,-30.89616977440066,rema_100150__rema_50100150,149.0,rema_100150__rema_50100150_equity_constant
rema_50100__rema_50100150_equity_constant,14228.991300000002,42.28991300000003,-30.89616977440066,rema_50100__rema_50100150,149.0,rema_50100__rema_50100150_equity_constant
rbo_50__rbo_20_equity_constant,14102.155999999999,41.021559999999994,-30.9502282271034,rbo_50__rbo_20,24.0,rbo_50__rbo_20_equity_constant
rema_100150__rema_50100_equity_constant,14097.061200000011,40.970612000000116,-31.10761602269656,rema_100150__rema_50100,11.0,rema_100150__rema_50100_equity_constant
rsma_100150__rema_50100_equity_constant,14097.061200000011,40.970612000000116,-31.10761602269656,rsma_100150__rema_50100,11.0,rsma_100150__rema_50100_equity_constant
rema_100150__rbo_50_equity_constant,14003.451200000005,40.034512000000056,-30.62173843561064,rema_100150__rbo_50,35.0,rema_100150__rbo_50_equity_constant
rbo_20__rbo_20_equity_constant,13971.419199999995,39.71419199999995,-34.22612442650107,rbo_20__rbo_20,4.0,rbo_20__rbo_20_equity_constant
rema_50100__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rbo_50__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,13919.603200000001,39.19603200000002,-29.544830972278213,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rbo_20__rtt_5020_equity_constant,13903.415800000004,39.034158000000055,-33.903524596988014,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020_equity_constant
rbo_50__rtt_5020_equity_constant,13801.565000000008,38.015650000000065,-29.606746568108765,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,13801.565000000008,38.015650000000065,-29.606746568108765,rbo_50__rbo_50,2.0,rbo_50__rbo_50_equity_constant
rbo_20__rbo_50_equity_constant,13799.889699999992,37.99889699999992,-33.12388258503357,rbo_20__rbo_50,15.0,rbo_20__rbo_50_equity_constant
rema_100150__rsma_50100_equity_constant,13586.525200000004,35.865252000000034,-28.186608829554167,rema_100150__rsma_50100,30.0,rema_100150__rsma_50100_equity_constant
rema_50100__rsma_100150_equity_constant,13573.082800000006,35.730828000000045,-26.81387628033594,rema_50100__rsma_100150,12.0,rema_50100__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,13573.082800000006,35.730828000000045,-26.81387628033594,rbo_50__rsma_100150,12.0,rbo_50__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,13573.082800000006,35.730828000000045,-26.81387628033594,rema_100150__rsma_100150,12.0,rema_100150__rsma_100150_equity_constant
rema_50100__rema_50100_equity_constant,13570.565600000013,35.70565600000013,-28.434455571949783,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_constant
rbo_20__rsma_50100_equity_constant,13545.124999999989,35.45124999999989,-32.12288383025144,rbo_20__rsma_50100,20.0,rbo_20__rsma_50100_equity_constant
rbo_50__rema_50100_equity_constant,13489.146400000009,34.89146400000009,-27.975472494945247,rbo_50__rema_50100,2.0,rbo_50__rema_50100_equity_constant
rema_50100__rbo_50_equity_constant,13480.918000000003,34.80918000000004,-27.932664411533764,rema_50100__rbo_50,26.0,rema_50100__rbo_50_equity_constant
rsma_100150__rsma_50100_equity_constant,13260.019900000007,32.60019900000006,-25.037890735519564,rsma_100150__rsma_50100,21.0,rsma_100150__rsma_50100_equity_constant
rbo_20__rema_50100_equity_constant,13254.539999999995,32.545399999999944,-30.430233351117543,rbo_20__rema_50100,5.0,rbo_20__rema_50100_equity_constant
rema_50100__rsma_50100_equity_constant,13079.106000000003,30.791060000000027,-25.401216490348727,rema_50100__rsma_50100,21.0,rema_50100__rsma_50100_equity_constant
rbo_50__rsma_50100_equity_constant,13064.195000000003,30.64195000000003,-25.31577047038128,rbo_50__rsma_50100,10.0,rbo_50__rsma_50100_equity_constant
rsma_100150__rema_50100150_equity_constant,13062.266599999997,30.622665999999967,-26.22971360464172,rsma_100150__rema_50100150,138.0,rsma_100150__rema_50100150_equity_constant
rtt_5020__rbo_20_equity_constant,13013.456600000001,30.134566000000017,-29.06337846878866,rtt_5020__rbo_20,3.0,rtt_5020__rbo_20_equity_constant
rsma_100150__rsma_100150_equity_constant,13011.266800000007,30.112668000000077,-24.923118251857456,rsma_100150__rsma_100150,1.0,rsma_100150__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,13000.369200000006,30.003692000000058,-24.923118251857456,rbo_100__rsma_100150,4.0,rbo_100__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,13000.369200000006,30.003692000000058,-24.923118251857456,rsma_50100__rsma_100150,4.0,rsma_50100__rsma_100150_equity_constant
rtt_5020__rema_100150_equity_constant,12995.180899999996,29.95180899999996,-28.237252601851775,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_constant
rbo_20__rema_100150_equity_constant,12995.180899999996,29.95180899999996,-28.237252601851775,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_constant
rema_100150__rbo_100_equity_constant,12977.302000000005,29.77302000000006,-24.923118251857456,rema_100150__rbo_100,22.0,rema_100150__rbo_100_equity_constant
rema_50100__rbo_20_equity_constant,12955.514899999998,29.55514899999998,-28.03698495980182,rema_50100__rbo_20,38.0,rema_50100__rbo_20_equity_constant
rtt_5020__rbo_50_equity_constant,12950.211699999998,29.502116999999984,-28.7156141944811,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12950.211699999998,29.502116999999984,-28.7156141944811,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rbo_100_equity_constant,12846.470599999997,28.46470599999997,-28.432773357984587,rbo_20__rbo_100,14.0,rbo_20__rbo_100_equity_constant
rbo_20__rema_50100150_equity_constant,12829.73200000001,28.297320000000113,-25.931922631743227,rbo_20__rema_50100150,114.0,rbo_20__rema_50100150_equity_constant
rtt_5020__rsma_100150_equity_constant,12711.544599999996,27.115445999999956,-25.74653458143745,rtt_5020__rsma_100150,12.0,rtt_5020__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,12711.544599999996,27.115445999999956,-25.74653458143745,rbo_20__rsma_100150,12.0,rbo_20__rsma_100150_equity_constant
rbo_50__rema_50100150_equity_constant,12708.385599999996,27.08385599999996,-26.22971360464172,rbo_50__rema_50100150,126.0,rbo_50__rema_50100150_equity_constant
rsma_100150__rbo_50_equity_constant,12686.503400000003,26.865034000000044,-24.923118251857456,rsma_100150__rbo_50,34.0,rsma_100150__rbo_50_equity_constant
rsma_50100150__rsma_50100_equity_convex,12685.1926,26.85192599999999,-51.894747662034725,rsma_50100150__rsma_50100,21.0,rsma_50100150__rsma_50100_equity_convex
rsma_50100150__rbo_50_equity_convex,12685.1926,26.85192599999999,-51.894747662034725,rsma_50100150__rbo_50,21.0,rsma_50100150__rbo_50_equity_convex
rema_50100__rtt_5020_equity_constant,12680.140900000008,26.801409000000078,-24.923118251857456,rema_50100__rtt_5020,16.0,rema_50100__rtt_5020_equity_constant
