combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,6,0,0,0,162,0,372,30.337078651685395,0.0,69.66292134831461,27.0,0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,2,2,0,0,0,218,0,316,40.823970037453186,0.0,59.176029962546814,109.0,0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,13,13,0,0,0,207,0,327,38.764044943820224,0.0,61.23595505617978,15.923076923076923,0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,13,13,0,0,0,207,0,327,38.764044943820224,0.0,61.23595505617978,15.923076923076923,0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,31,31,0,0,0,189,0,345,35.39325842696629,0.0,64.60674157303372,6.096774193548387,0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,2,0,0,0,218,0,316,40.823970037453186,0.0,59.176029962546814,109.0,0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,13,13,0,0,0,207,0,327,38.764044943820224,0.0,61.23595505617978,15.923076923076923,0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,13,13,0,0,0,207,0,327,38.764044943820224,0.0,61.23595505617978,15.923076923076923,0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,1,1,0,0,0,219,0,315,41.01123595505618,0.0,58.98876404494382,219.0,0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,31,31,0,0,0,186,0,348,34.831460674157306,0.0,65.1685393258427,6.0,0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,1,1,0,0,0,216,0,318,40.44943820224719,0.0,59.55056179775281,216.0,0,True,
