equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rema_50100150_equity_concave,214681.81059999985,2046.8181059999986,-96.48266541100905,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
rema_50100150__rema_50100150_equity_convex,180273.10119999986,1702.7310119999986,-95.23940896173036,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
rema_50100150__rtt_5020_equity_concave,53547.56589999997,435.4756589999997,-84.7203670710562,rema_50100150__rtt_5020,30.0,rema_50100150__rtt_5020
rema_50100150__rbo_100_equity_concave,52514.70809999998,425.1470809999998,-88.46920561257936,rema_50100150__rbo_100,12.0,rema_50100150__rbo_100
rema_50100150__rsma_50100150_equity_concave,51829.061600000045,418.29061600000045,-91.51297968773514,rema_50100150__rsma_50100150,23.0,rema_50100150__rsma_50100150
rema_50100150__rbo_100_equity_convex,50967.28129999999,409.6728129999999,-87.37778731539377,rema_50100150__rbo_100,12.0,rema_50100150__rbo_100
rema_50100150__rsma_50100150_equity_convex,48974.16319999999,389.74163199999987,-86.1999591010925,rema_50100150__rsma_50100150,23.0,rema_50100150__rsma_50100150
rema_50100150__rtt_5020_equity_convex,44308.710499999965,343.08710499999967,-80.67670320634457,rema_50100150__rtt_5020,30.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_convex,41655.288000000044,316.5528800000004,-79.2866330936821,rema_50100150__rbo_20,53.0,rema_50100150__rbo_20
rema_50100150__rbo_20_equity_concave,37013.49100000003,270.1349100000003,-79.98904268014418,rema_50100150__rbo_20,53.0,rema_50100150__rbo_20
rbo_100__rema_50100150_equity_concave,35758.66369999997,257.5866369999997,-90.02194618140551,rbo_100__rema_50100150,42.0,rbo_100__rema_50100150
rsma_50100150__rtt_5020_equity_concave,34161.421800000004,241.61421800000005,-86.48759553440655,rsma_50100150__rtt_5020,31.0,rsma_50100150__rtt_5020
rbo_100__rema_50100150_equity_convex,33183.16419999998,231.83164199999976,-85.50342079724341,rbo_100__rema_50100150,42.0,rbo_100__rema_50100150
rsma_50100150__rsma_50100150_equity_concave,32539.522099999987,225.39522099999988,-91.62057102386801,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150
rbo_20__rema_50100150_equity_convex,31619.9104,216.19910400000003,-80.93282834041918,rbo_20__rema_50100150,30.0,rbo_20__rema_50100150
rema_50100150__rbo_50_equity_concave,31291.431300000004,212.91431300000005,-73.9517546069129,rema_50100150__rbo_50,44.0,rema_50100150__rbo_50
rbo_20__rbo_100_equity_concave,31214.388800000004,212.14388800000003,-89.5985915094319,rbo_20__rbo_100,11.0,rbo_20__rbo_100
rbo_20__rbo_100_equity_convex,31157.90930000005,211.5790930000005,-89.57931053850577,rbo_20__rbo_100,11.0,rbo_20__rbo_100
rbo_50__rema_50100150_equity_convex,29578.833100000014,195.78833100000014,-80.6064911865517,rbo_50__rema_50100150,32.0,rbo_50__rema_50100150
rbo_20__rsma_50100150_equity_convex,29409.546899999976,194.09546899999975,-80.9931863080437,rbo_20__rsma_50100150,32.0,rbo_20__rsma_50100150
rsma_50100150__rtt_5020_equity_convex,28911.013699999985,189.11013699999987,-83.08070606275898,rsma_50100150__rtt_5020,31.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_50_equity_concave,28854.6968,188.54696800000005,-83.85754478970723,rsma_50100150__rbo_50,45.0,rsma_50100150__rbo_50
rsma_50100150__rema_50100150_equity_convex,27953.121299999995,179.53121299999998,-82.38468920961328,rsma_50100150__rema_50100150,29.0,rsma_50100150__rema_50100150
rsma_50100150__rsma_50100150_equity_convex,26408.141099999986,164.08141099999986,-89.55565944427374,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150
rbo_20__rema_50100150_equity_concave,25319.019000000004,153.19019000000003,-76.35616255870929,rbo_20__rema_50100150,30.0,rbo_20__rema_50100150
rema_50100150__rbo_50_equity_convex,25269.400799999963,152.69400799999963,-66.14880292959629,rema_50100150__rbo_50,44.0,rema_50100150__rbo_50
rtt_5020__rbo_100_equity_concave,25251.050100000004,152.51050100000003,-88.00647668655489,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_concave,25251.050100000004,152.51050100000003,-88.00647668655489,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rbo_50__rbo_100_equity_convex,25231.200699999983,152.31200699999982,-87.98090728179638,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rtt_5020__rbo_100_equity_convex,25231.200699999983,152.31200699999982,-87.98090728179638,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100
rbo_20__rsma_50100150_equity_concave,25185.444999999985,151.85444999999987,-85.18093142298716,rbo_20__rsma_50100150,32.0,rbo_20__rsma_50100150
rsma_50100150__rbo_50_equity_convex,24969.67440000002,149.69674400000025,-80.3347484736851,rsma_50100150__rbo_50,45.0,rsma_50100150__rbo_50
rbo_50__rema_50100150_equity_concave,24485.16709999998,144.8516709999998,-81.76088560432328,rbo_50__rema_50100150,32.0,rbo_50__rema_50100150
rsma_50100150__rbo_100_equity_concave,24432.140000000014,144.32140000000015,-88.72535274787394,rsma_50100150__rbo_100,10.0,rsma_50100150__rbo_100
