equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rbo_20_equity_constant,16914.057399999998,69.14057399999997,-45.10512657950422,rbo_100__rbo_20,67.0,rbo_100__rbo_20_equity_constant
rema_50100__rbo_20_equity_constant,16705.458599999987,67.05458599999987,-41.01544507072815,rema_50100__rbo_20,66.0,rema_50100__rbo_20_equity_constant
rema_50100__rsma_100150_equity_constant,16415.706199999986,64.15706199999987,-40.40636127443775,rema_50100__rsma_100150,52.0,rema_50100__rsma_100150_equity_constant
rema_50100__rema_100150_equity_constant,16168.698299999991,61.686982999999906,-39.45909131837494,rema_50100__rema_100150,49.0,rema_50100__rema_100150_equity_constant
rsma_100150__rbo_20_equity_constant,15305.813900000003,53.058139000000025,-39.821016310915866,rsma_100150__rbo_20,69.0,rsma_100150__rbo_20_equity_constant
rbo_100__rema_100150_equity_constant,15169.896700000008,51.698967000000074,-40.973699577005036,rbo_100__rema_100150,56.0,rbo_100__rema_100150_equity_constant
rema_50100__rsma_50100_equity_constant,15144.755399999985,51.447553999999855,-35.68210577197332,rema_50100__rsma_50100,18.0,rema_50100__rsma_50100_equity_constant
rema_50100__rema_50100150_equity_constant,15033.271700000007,50.33271700000006,-34.886633950803194,rema_50100__rema_50100150,65.0,rema_50100__rema_50100150_equity_constant
rema_100150__rbo_100_equity_constant,14962.483000000006,49.62483000000007,-35.22137535594862,rema_100150__rbo_100,9.0,rema_100150__rbo_100_equity_constant
rema_100150__rbo_20_equity_constant,14770.939599999985,47.709395999999856,-33.845671537374585,rema_100150__rbo_20,41.0,rema_100150__rbo_20_equity_constant
rsma_100150__rema_100150_equity_constant,14499.146500000006,44.99146500000006,-37.02046609275232,rsma_100150__rema_100150,36.0,rsma_100150__rema_100150_equity_constant
rema_100150__rsma_50100_equity_constant,14472.066300000002,44.720663000000016,-33.026214093560355,rema_100150__rsma_50100,16.0,rema_100150__rsma_50100_equity_constant
rema_100150__rsma_100150_equity_constant,14347.043999999998,43.470439999999975,-32.44259444663303,rema_100150__rsma_100150,11.0,rema_100150__rsma_100150_equity_constant
rbo_100__rsma_50100_equity_constant,14136.4496,41.364496,-37.36787771662272,rbo_100__rsma_50100,27.0,rbo_100__rsma_50100_equity_constant
rema_100150__rtt_5020_equity_constant,14130.856699999998,41.30856699999998,-30.84909069950444,rema_100150__rtt_5020,19.0,rema_100150__rtt_5020_equity_constant
rbo_100__rsma_100150_equity_constant,14099.1738,40.991738,-38.642594788071875,rbo_100__rsma_100150,49.0,rbo_100__rsma_100150_equity_constant
rbo_50__rsma_50100150_equity_convex,13874.014699999985,38.74014699999986,-72.95144888746137,rbo_50__rsma_50100150,80.0,rbo_50__rsma_50100150_equity_convex
rema_50100__rema_50100_equity_constant,13795.129699999994,37.951296999999954,-28.43600854156311,rema_50100__rema_50100,6.0,rema_50100__rema_50100_equity_constant
rbo_20__rema_100150_equity_constant,13768.98189999999,37.6898189999999,-29.221801068675905,rbo_20__rema_100150,44.0,rbo_20__rema_100150_equity_constant
rbo_100__rtt_5020_equity_constant,13760.173600000007,37.60173600000007,-35.1323067610136,rbo_100__rtt_5020,24.0,rbo_100__rtt_5020_equity_constant
rema_50100__rtt_5020_equity_constant,13715.631300000005,37.15631300000004,-28.847107460522103,rema_50100__rtt_5020,22.0,rema_50100__rtt_5020_equity_constant
rema_100150__rbo_50_equity_constant,13688.162299999995,36.881622999999955,-28.6126531389827,rema_100150__rbo_50,22.0,rema_100150__rbo_50_equity_constant
rbo_50__rsma_50100_equity_convex,13658.122700000047,36.58122700000048,-70.32843456466797,rbo_50__rsma_50100,28.0,rbo_50__rsma_50100_equity_convex
rema_100150__rema_100150_equity_constant,13526.0512,35.260512,-28.342052261342893,rema_100150__rema_100150,4.0,rema_100150__rema_100150_equity_constant
rsma_100150__rtt_5020_equity_constant,13506.512699999992,35.06512699999993,-34.036547600685566,rsma_100150__rtt_5020,45.0,rsma_100150__rtt_5020_equity_constant
rema_50100__rbo_100_equity_constant,13414.640899999995,34.14640899999994,-27.03037205337967,rema_50100__rbo_100,13.0,rema_50100__rbo_100_equity_constant
rsma_100150__rsma_100150_equity_constant,13397.415300000006,33.974153000000065,-34.67873854034727,rsma_100150__rsma_100150,5.0,rsma_100150__rsma_100150_equity_constant
rtt_5020__rbo_20_equity_constant,13395.307600000011,33.9530760000001,-30.685052726971417,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20_equity_constant
rbo_20__rbo_20_equity_constant,13348.3344,33.483343999999995,-30.24877620686517,rbo_20__rbo_20,12.0,rbo_20__rbo_20_equity_constant
rsma_50100__rbo_20_equity_constant,13339.370999999997,33.39370999999998,-40.274151330182505,rsma_50100__rbo_20,87.0,rsma_50100__rbo_20_equity_constant
rbo_100__rbo_50_equity_constant,13328.304900000001,33.283049000000005,-33.030439602263336,rbo_100__rbo_50,27.0,rbo_100__rbo_50_equity_constant
rema_50100__rbo_50_equity_constant,13250.319199999998,32.503191999999984,-26.64587582161793,rema_50100__rbo_50,25.0,rema_50100__rbo_50_equity_constant
rsma_50100150__rsma_50100150_equity_convex,13238.937699999997,32.389376999999975,-83.04246091931378,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150_equity_convex
rtt_5020_equity_constant,13192.96450000001,31.929645000000086,-32.29715401009585,rtt_5020,,rtt_5020_equity_constant
rbo_100__rbo_100_equity_constant,13175.006699999998,31.75006699999998,-32.79731387157474,rbo_100__rbo_100,4.0,rbo_100__rbo_100_equity_constant
rema_50100150__rbo_20_equity_constant,13152.797999999995,31.527979999999943,-35.359052737902296,rema_50100150__rbo_20,92.0,rema_50100150__rbo_20_equity_constant
rema_50100__rsma_50100150_equity_constant,13132.520100000012,31.325201000000114,-25.50804365227442,rema_50100__rsma_50100150,70.0,rema_50100__rsma_50100150_equity_constant
rema_100150__rema_50100_equity_constant,13082.78170000002,30.82781700000019,-25.914144848874244,rema_100150__rema_50100,9.0,rema_100150__rema_50100_equity_constant
rbo_20__rsma_100150_equity_constant,13035.177700000002,30.351777000000023,-25.237402785847717,rbo_20__rsma_100150,46.0,rbo_20__rsma_100150_equity_constant
rsma_100150__rsma_50100_equity_constant,13027.762999999988,30.277629999999878,-32.28148043357763,rsma_100150__rsma_50100,41.0,rsma_100150__rsma_50100_equity_constant
rema_100150__rema_50100150_equity_constant,12893.969300000015,28.939693000000144,-24.829271153918516,rema_100150__rema_50100150,25.0,rema_100150__rema_50100150_equity_constant
rema_100150__rsma_50100150_equity_constant,12869.076100000004,28.69076100000003,-24.683865223238527,rema_100150__rsma_50100150,39.0,rema_100150__rsma_50100150_equity_constant
rbo_50__rsma_50100_equity_concave,12744.692000000043,27.446920000000418,-71.37473581196998,rbo_50__rsma_50100,28.0,rbo_50__rsma_50100_equity_concave
rbo_100__rsma_50100150_equity_constant,12709.07820000002,27.09078200000019,-31.93143464960353,rbo_100__rsma_50100150,70.0,rbo_100__rsma_50100150_equity_constant
rsma_50100__rema_100150_equity_constant,12632.977699999989,26.329776999999876,-34.104386329974275,rsma_50100__rema_100150,66.0,rsma_50100__rema_100150_equity_constant
rsma_100150__rbo_100_equity_constant,12483.415100000002,24.834151000000016,-29.328652248407057,rsma_100150__rbo_100,27.0,rsma_100150__rbo_100_equity_constant
rbo_100__rema_50100_equity_constant,12406.383800000007,24.06383800000007,-22.657740122468198,rbo_100__rema_50100,21.0,rbo_100__rema_50100_equity_constant
rtt_5020__rema_100150_equity_constant,12395.262199999981,23.952621999999813,-25.21441665701437,rtt_5020__rema_100150,36.0,rtt_5020__rema_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,12395.257099999986,23.952570999999857,-25.11163484817952,rtt_5020__rsma_100150,41.0,rtt_5020__rsma_100150_equity_constant
rsma_100150__rema_50100_equity_constant,12389.575800000004,23.895758000000033,-28.793315151928212,rsma_100150__rema_50100,38.0,rsma_100150__rema_50100_equity_constant
rsma_50100__rsma_100150_equity_constant,12384.77959999999,23.84779599999991,-37.185939594185704,rsma_50100__rsma_100150,66.0,rsma_50100__rsma_100150_equity_constant
rsma_100150__rbo_50_equity_constant,12383.40189999999,23.834018999999905,-28.053583784635567,rsma_100150__rbo_50,50.0,rsma_100150__rbo_50_equity_constant
rsma_100150__rsma_50100150_equity_constant,12269.99949999999,22.699994999999905,-28.09982200187192,rsma_100150__rsma_50100150,57.0,rsma_100150__rsma_50100150_equity_constant
rbo_50__rsma_50100150_equity_concave,12210.749199999958,22.107491999999574,-81.03210582889743,rbo_50__rsma_50100150,80.0,rbo_50__rsma_50100150_equity_concave
rbo_50__rbo_20_equity_constant,12193.625599999992,21.936255999999933,-33.343118083488434,rbo_50__rbo_20,75.0,rbo_50__rbo_20_equity_constant
rsma_50100150__rsma_50100150_equity_concave,12149.162799999998,21.491627999999974,-83.04246091931378,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150_equity_concave
rtt_5020__rbo_50_equity_constant,12065.196099999994,20.65196099999993,-26.019377339420114,rtt_5020__rbo_50,6.0,rtt_5020__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12065.196099999994,20.65196099999993,-26.019377339420114,rtt_5020__rtt_5020,6.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rtt_5020_equity_constant,12026.209099999995,20.262090999999938,-25.57371050533288,rbo_20__rtt_5020,10.0,rbo_20__rtt_5020_equity_constant
rsma_50100__rtt_5020_equity_constant,11965.316999999997,19.653169999999974,-33.50158044287501,rsma_50100__rtt_5020,27.0,rsma_50100__rtt_5020_equity_constant
rsma_50100__rbo_100_equity_constant,11848.0883,18.48088299999999,-31.940022372245586,rsma_50100__rbo_100,31.0,rsma_50100__rbo_100_equity_constant
rbo_20__rsma_50100150_equity_constant,11723.039000000012,17.230390000000106,-22.755115521931195,rbo_20__rsma_50100150,45.0,rbo_20__rsma_50100150_equity_constant
rbo_20__rbo_50_equity_constant,11696.588200000007,16.965882000000065,-25.174335308559915,rbo_20__rbo_50,16.0,rbo_20__rbo_50_equity_constant
rbo_20__rbo_100_equity_constant,11693.630599999991,16.936305999999913,-24.073815022000062,rbo_20__rbo_100,23.0,rbo_20__rbo_100_equity_constant
rsma_50100__rsma_50100_equity_constant,11634.972199999993,16.349721999999932,-31.094521086978833,rsma_50100__rsma_50100,6.0,rsma_50100__rsma_50100_equity_constant
rsma_50100__rbo_50_equity_constant,11558.842699999974,15.588426999999738,-31.354120771969573,rsma_50100__rbo_50,30.0,rsma_50100__rbo_50_equity_constant
rbo_20__rema_50100_equity_constant,11544.088300000012,15.440883000000127,-22.521362036042007,rbo_20__rema_50100,25.0,rbo_20__rema_50100_equity_constant
rbo_20__rsma_50100_equity_constant,11510.271099999998,15.10271099999998,-24.847327165853358,rbo_20__rsma_50100,27.0,rbo_20__rsma_50100_equity_constant
rsma_100150__rema_50100150_equity_constant,11334.288900000014,13.342889000000135,-22.562188850047914,rsma_100150__rema_50100150,30.0,rsma_100150__rema_50100150_equity_constant
rsma_50100__rema_50100_equity_constant,11030.827100000013,10.308271000000136,-27.293989398690716,rsma_50100__rema_50100,37.0,rsma_50100__rema_50100_equity_constant
rtt_5020__rsma_50100150_equity_constant,10976.406599999997,9.764065999999971,-20.22939297527022,rtt_5020__rsma_50100150,38.0,rtt_5020__rsma_50100150_equity_constant
rsma_50100150__rbo_100_equity_constant,10836.164800000004,8.361648000000033,-24.3178545882865,rsma_50100150__rbo_100,28.0,rsma_50100150__rbo_100_equity_constant
rsma_50100150__rtt_5020_equity_constant,10792.555899999985,7.925558999999849,-23.56825679050413,rsma_50100150__rtt_5020,27.0,rsma_50100150__rtt_5020_equity_constant
rbo_20__rema_50100150_equity_constant,10770.366000000005,7.7036600000000455,-24.90299349301142,rbo_20__rema_50100150,41.0,rbo_20__rema_50100150_equity_constant
rsma_50100150__rema_100150_equity_constant,10722.906400000002,7.229064000000007,-24.684471550786743,rsma_50100150__rema_100150,45.0,rsma_50100150__rema_100150_equity_constant
rbo_100__rema_50100150_equity_constant,10624.22920000001,6.242292000000105,-25.80482531109437,rbo_100__rema_50100150,57.0,rbo_100__rema_50100150_equity_constant
rsma_50100150__rbo_20_equity_constant,10599.228299999993,5.992282999999943,-23.02652040841827,rsma_50100150__rbo_20,48.0,rsma_50100150__rbo_20_equity_constant
rsma_50100150__rbo_50_equity_constant,10587.550399999986,5.875503999999854,-22.76316824363246,rsma_50100150__rbo_50,30.0,rsma_50100150__rbo_50_equity_constant
rema_50100150__rema_100150_equity_constant,10548.836000000008,5.488360000000081,-26.739104021495553,rema_50100150__rema_100150,77.0,rema_50100150__rema_100150_equity_constant
rtt_5020__rbo_100_equity_constant,10526.80819999999,5.268081999999907,-19.75832115058515,rtt_5020__rbo_100,15.0,rtt_5020__rbo_100_equity_constant
rema_50100150__rtt_5020_equity_constant,10453.989399999995,4.539893999999944,-23.584587023839372,rema_50100150__rtt_5020,49.0,rema_50100150__rtt_5020_equity_constant
rbo_50__rbo_100_equity_convex,10433.843500000048,4.3384350000004845,-77.21868984424749,rbo_50__rbo_100,35.0,rbo_50__rbo_100_equity_convex
rtt_5020__rema_50100_equity_constant,10391.875299999998,3.918752999999975,-18.159216220121394,rtt_5020__rema_50100,17.0,rtt_5020__rema_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,10361.830199999995,3.618301999999951,-17.88362534015643,rtt_5020__rsma_50100,19.0,rtt_5020__rsma_50100_equity_constant
rbo_50__rtt_5020_equity_convex,10336.906200000029,3.369062000000289,-77.76545196733085,rbo_50__rtt_5020,6.0,rbo_50__rtt_5020_equity_convex
rbo_50__rbo_50_equity_convex,10336.906200000029,3.369062000000289,-77.76545196733085,rbo_50__rbo_50,6.0,rbo_50__rbo_50_equity_convex
