equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rbo_20_equity_concave,112973.62180000014,1029.7362180000014,-94.71641944240223,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rbo_50__rbo_20_equity_concave,86736.29470000028,767.3629470000028,-92.61032620040488,rbo_50__rbo_20,42.0,rbo_50__rbo_20
rema_50100150__rsma_50100150_equity_concave,76820.23690000013,668.2023690000013,-92.35181125706036,rema_50100150__rsma_50100150,10.0,rema_50100150__rsma_50100150
rema_50100150__rbo_20_equity_concave,74688.51140000012,646.8851140000013,-93.97213653939139,rema_50100150__rbo_20,30.0,rema_50100150__rbo_20
rbo_100__rsma_50100150_equity_concave,73604.91800000015,636.0491800000016,-88.02844231884491,rbo_100__rsma_50100150,10.0,rbo_100__rsma_50100150
rema_50100150__rsma_50100150_equity_convex,69097.89000000009,590.9789000000009,-91.22546868274472,rema_50100150__rsma_50100150,10.0,rema_50100150__rsma_50100150
rbo_100__rsma_50100150_equity_convex,66204.98350000015,562.0498350000015,-86.26518123081694,rbo_100__rsma_50100150,10.0,rbo_100__rsma_50100150
rema_50100150__rbo_100_equity_concave,60925.96900000003,509.25969000000026,-92.50895764878548,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100
rema_50100150__rema_50100150_equity_concave,60925.96900000003,509.25969000000026,-92.50895764878548,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150
rema_50100150__rbo_100_equity_convex,60925.96900000003,509.25969000000026,-92.50895764878548,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100
rema_50100150__rema_50100150_equity_convex,60925.96900000003,509.25969000000026,-92.50895764878548,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150
rsma_50100150__rbo_20_equity_concave,60286.76500000018,502.86765000000185,-91.19560545180295,rsma_50100150__rbo_20,43.0,rsma_50100150__rbo_20
rbo_20__rema_50100150_equity_concave,58693.26680000013,486.9326680000013,-89.69844131421684,rbo_20__rema_50100150,26.0,rbo_20__rema_50100150
rbo_20__rbo_100_equity_concave,58693.26680000013,486.9326680000013,-89.69844131421684,rbo_20__rbo_100,26.0,rbo_20__rbo_100
rbo_100__rema_50100150_equity_concave,58374.76120000007,483.7476120000007,-88.27422539990299,rbo_100__rema_50100150,2.0,rbo_100__rema_50100150
rbo_100__rema_50100150_equity_convex,58374.76120000007,483.7476120000007,-88.27422539990299,rbo_100__rema_50100150,2.0,rbo_100__rema_50100150
rbo_100__rbo_100_equity_concave,58374.76120000007,483.7476120000007,-88.27422539990299,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_convex,58374.76120000007,483.7476120000007,-88.27422539990299,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rtt_5020_equity_concave,57766.637000000024,477.6663700000002,-88.1506261594242,rbo_100__rtt_5020,4.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_concave,57766.637000000024,477.6663700000002,-88.1506261594242,rbo_100__rbo_50,4.0,rbo_100__rbo_50
rbo_20__rbo_100_equity_convex,55919.89750000014,459.1989750000014,-88.87244146464963,rbo_20__rbo_100,26.0,rbo_20__rbo_100
rbo_20__rema_50100150_equity_convex,55919.89750000014,459.1989750000014,-88.87244146464963,rbo_20__rema_50100150,26.0,rbo_20__rema_50100150
rtt_5020_equity_concave,54927.54200000007,449.2754200000006,-85.93659412768481,rtt_5020,,rtt_5020
rbo_100__rbo_20_equity_convex,54859.21300000006,448.5921300000006,-89.29851889832123,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rema_50100150__rbo_50_equity_concave,51939.05010000006,419.3905010000006,-91.2127607442479,rema_50100150__rbo_50,4.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_concave,51939.05010000006,419.3905010000006,-91.2127607442479,rema_50100150__rtt_5020,4.0,rema_50100150__rtt_5020
rsma_50100150__rbo_100_equity_convex,50556.60029999999,405.56600299999997,-89.05856369072474,rsma_50100150__rbo_100,20.0,rsma_50100150__rbo_100
rsma_50100150__rema_50100150_equity_convex,50556.60029999999,405.56600299999997,-89.05856369072474,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150
rbo_50__rbo_100_equity_convex,48857.62670000007,388.5762670000007,-85.25878857794747,rbo_50__rbo_100,24.0,rbo_50__rbo_100
rbo_50__rema_50100150_equity_convex,48857.62670000007,388.5762670000007,-85.25878857794747,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rsma_50100150__rema_50100150_equity_concave,48684.76150000002,386.8476150000002,-89.05856369072474,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150
rsma_50100150__rbo_100_equity_concave,48684.76150000002,386.8476150000002,-89.05856369072474,rsma_50100150__rbo_100,20.0,rsma_50100150__rbo_100
rtt_5020_equity_convex,48346.33880000003,383.4633880000003,-82.95331162298923,rtt_5020,,rtt_5020
rbo_100__rtt_5020_equity_convex,47428.53710000005,374.28537100000057,-85.56785325674909,rbo_100__rtt_5020,4.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,47428.53710000005,374.28537100000057,-85.56785325674909,rbo_100__rbo_50,4.0,rbo_100__rbo_50
rtt_5020__rbo_100_equity_convex,44913.243900000045,349.13243900000043,-86.47845505552777,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100
rtt_5020__rema_50100150_equity_convex,44913.243900000045,349.13243900000043,-86.47845505552777,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150
rbo_20__rtt_5020_equity_concave,44743.68750000007,347.4368750000007,-87.32637152565846,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020
rbo_50__rbo_20_equity_convex,44306.0630000001,343.06063000000097,-85.32655967416136,rbo_50__rbo_20,42.0,rbo_50__rbo_20
rbo_50__rbo_100_equity_concave,44196.126500000086,341.9612650000008,-85.32814351622676,rbo_50__rbo_100,24.0,rbo_50__rbo_100
rbo_50__rema_50100150_equity_concave,44196.126500000086,341.9612650000008,-85.32814351622676,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rema_50100150__rtt_5020_equity_convex,42154.22370000006,321.54223700000057,-89.1729925323056,rema_50100150__rtt_5020,4.0,rema_50100150__rtt_5020
rema_50100150__rbo_50_equity_convex,42154.22370000006,321.54223700000057,-89.1729925323056,rema_50100150__rbo_50,4.0,rema_50100150__rbo_50
rbo_20__rbo_20_equity_concave,41264.63780000004,312.6463780000004,-84.76475731454394,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rtt_5020__rema_50100150_equity_concave,40080.53470000005,300.80534700000044,-86.54186055913576,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150
rtt_5020__rbo_100_equity_concave,40080.53470000005,300.80534700000044,-86.54186055913576,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100
rbo_20__rtt_5020_equity_convex,37321.84430000004,273.21844300000043,-84.94647864300761,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020
rema_50100150__rbo_20_equity_convex,36814.74850000003,268.1474850000003,-87.97230611911627,rema_50100150__rbo_20,30.0,rema_50100150__rbo_20
rbo_50__rtt_5020_equity_concave,33354.49780000003,233.54497800000024,-83.42332978883236,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_concave,33354.49780000003,233.54497800000024,-83.42332978883236,rbo_50__rbo_50,4.0,rbo_50__rbo_50
rbo_20__rbo_50_equity_concave,33062.37640000008,230.6237640000008,-83.6705735927182,rbo_20__rbo_50,13.0,rbo_20__rbo_50
rbo_50__rsma_50100150_equity_convex,31290.497400000088,212.90497400000086,-85.25878857794747,rbo_50__rsma_50100150,24.0,rbo_50__rsma_50100150
rsma_50100150__rbo_20_equity_convex,31169.985300000062,211.69985300000062,-82.43229290154818,rsma_50100150__rbo_20,43.0,rsma_50100150__rbo_20
rsma_50100150__rtt_5020_equity_concave,30031.36360000002,200.31363600000017,-88.22782353113985,rsma_50100150__rtt_5020,11.0,rsma_50100150__rtt_5020
rbo_20__rbo_50_equity_convex,29674.845800000094,196.74845800000097,-79.70059296180064,rbo_20__rbo_50,13.0,rbo_20__rbo_50
rsma_50100150__rbo_50_equity_concave,29336.942500000023,193.36942500000026,-88.22782353113985,rsma_50100150__rbo_50,14.0,rsma_50100150__rbo_50
rtt_5020__rsma_50100150_equity_convex,29331.88520000006,193.31885200000062,-86.47845505552777,rtt_5020__rsma_50100150,23.0,rtt_5020__rsma_50100150
rbo_20__rbo_20_equity_convex,29241.96390000002,192.4196390000002,-77.83420389592254,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rtt_5020__rbo_50_equity_concave,29185.902000000016,191.85902000000016,-83.53695118675691,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_concave,29185.902000000016,191.85902000000016,-83.53695118675691,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020
rtt_5020__rbo_20_equity_concave,28646.50560000001,186.46505600000012,-80.20971256774293,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rbo_50__rbo_50_equity_convex,28203.172300000006,182.03172300000006,-80.39483734977733,rbo_50__rbo_50,4.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_convex,28203.172300000006,182.03172300000006,-80.39483734977733,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020
rsma_50100150__rtt_5020_equity_convex,24847.723099999996,148.47723099999993,-85.49522216722332,rsma_50100150__rtt_5020,11.0,rsma_50100150__rtt_5020
rtt_5020__rtt_5020_equity_convex,24572.41560000003,145.7241560000003,-80.44555983746986,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_convex,24572.41560000003,145.7241560000003,-80.44555983746986,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50
rsma_50100150__rbo_50_equity_convex,24272.4589,142.724589,-85.49522216722332,rsma_50100150__rbo_50,14.0,rsma_50100150__rbo_50
rtt_5020__rbo_20_equity_convex,20121.76190000001,101.21761900000008,-71.20607320656505,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rema_50100150__rsma_50100150_equity_constant,15682.880700000003,56.82880700000004,-39.78612802016381,rema_50100150__rsma_50100150,10.0,rema_50100150__rsma_50100150
rbo_100__rsma_50100150_equity_constant,15425.1054,54.25105400000001,-36.67357230806243,rbo_100__rsma_50100150,10.0,rbo_100__rsma_50100150
rema_50100150__rema_50100150_equity_constant,15086.4853,50.86485300000001,-38.73827383919364,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150
rema_50100150__rbo_100_equity_constant,15086.4853,50.86485300000001,-38.73827383919364,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100
rsma_50100150__rema_50100150_equity_constant,15012.2924,50.122924000000005,-38.529843416975815,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150
rsma_50100150__rbo_100_equity_constant,15012.2924,50.122924000000005,-38.529843416975815,rsma_50100150__rbo_100,20.0,rsma_50100150__rbo_100
rbo_100__rema_50100150_equity_constant,14838.452799999997,48.384527999999975,-35.56635268751712,rbo_100__rema_50100150,2.0,rbo_100__rema_50100150
rbo_100__rbo_100_equity_constant,14838.452799999997,48.384527999999975,-35.56635268751712,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_20__rbo_100_equity_constant,14723.174400000013,47.23174400000012,-35.78607624648512,rbo_20__rbo_100,26.0,rbo_20__rbo_100
rbo_20__rema_50100150_equity_constant,14723.174400000013,47.23174400000012,-35.78607624648512,rbo_20__rema_50100150,26.0,rbo_20__rema_50100150
rbo_100__rbo_20_equity_constant,14615.629500000021,46.1562950000002,-35.290634189640016,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rbo_50__rema_50100150_equity_constant,14436.8689,44.368688999999996,-33.7791151129628,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rbo_50__rbo_100_equity_constant,14436.8689,44.368688999999996,-33.7791151129628,rbo_50__rbo_100,24.0,rbo_50__rbo_100
rsma_50100150__rsma_50100150_equity_constant,14433.256299999995,44.33256299999995,-36.495761718578706,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150
rtt_5020_equity_constant,14407.67969999999,44.07679699999989,-34.121162539601215,rtt_5020,,rtt_5020
rbo_20__rsma_50100150_equity_convex,14264.471100000123,42.64471100000122,-85.72133694270919,rbo_20__rsma_50100150,29.0,rbo_20__rsma_50100150
rbo_50__rbo_20_equity_constant,14234.721000000012,42.347210000000125,-33.56016513062869,rbo_50__rbo_20,42.0,rbo_50__rbo_20
rtt_5020__rema_50100150_equity_constant,14018.820399999997,40.18820399999996,-33.16046582398176,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150
rtt_5020__rbo_100_equity_constant,14018.820399999997,40.18820399999996,-33.16046582398176,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100
rema_50100150__rbo_20_equity_constant,13931.834700000003,39.31834700000003,-33.77774142885738,rema_50100150__rbo_20,30.0,rema_50100150__rbo_20
rbo_20__rsma_50100150_equity_constant,13902.952400000011,39.0295240000001,-33.592684986476264,rbo_20__rsma_50100150,29.0,rbo_20__rsma_50100150
rsma_50100150__rbo_20_equity_constant,13792.642300000003,37.92642300000004,-33.30446900059278,rsma_50100150__rbo_20,43.0,rsma_50100150__rbo_20
