combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,5,2,0,0,265,48,232,48.62385321100918,8.807339449541285,42.56880733944954,53.0,24.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,13,3,9,1,0,317,53,175,58.1651376146789,9.724770642201836,32.11009174311927,105.66666666666667,5.888888888888889,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,26,2,23,1,0,320,24,201,58.71559633027523,4.4036697247706424,36.88073394495413,160.0,1.0434782608695652,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,3,1,1,0,317,62,166,58.1651376146789,11.376146788990827,30.458715596330276,105.66666666666667,62.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,29,8,20,0,1,310,55,180,56.88073394495413,10.091743119266056,33.02752293577982,38.75,2.75,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,26,2,23,1,0,320,24,201,58.71559633027523,4.4036697247706424,36.88073394495413,160.0,1.0434782608695652,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,42,34,8,0,0,297,36,212,54.49541284403669,6.605504587155964,38.899082568807344,8.735294117647058,4.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,328,43,174,60.18348623853211,7.889908256880735,31.926605504587158,109.33333333333333,43.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,24,2,22,0,0,331,22,192,60.73394495412844,4.036697247706423,35.22935779816514,165.5,1.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,328,43,174,60.18348623853211,7.889908256880735,31.926605504587158,109.33333333333333,43.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,24,9,14,0,1,322,41,182,59.082568807339456,7.522935779816514,33.39449541284404,35.77777777777778,2.9285714285714284,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,24,2,22,0,0,331,22,192,60.73394495412844,4.036697247706423,35.22935779816514,165.5,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,35,35,0,0,0,298,0,247,54.67889908256881,0.0,45.321100917431195,8.514285714285714,0.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,4,4,0,0,0,329,0,216,60.366972477064216,0.0,39.633027522935784,82.25,0.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,2,0,0,0,331,0,214,60.73394495412844,0.0,39.26605504587156,165.5,0.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,4,4,0,0,0,329,0,216,60.366972477064216,0.0,39.633027522935784,82.25,0.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,10,10,0,0,0,322,0,223,59.082568807339456,0.0,40.91743119266055,32.2,0.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,2,2,0,0,0,331,0,214,60.73394495412844,0.0,39.26605504587156,165.5,0.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,5,1,0,0,265,29,251,48.62385321100918,5.321100917431193,46.055045871559635,53.0,29.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,3,1,0,0,317,43,185,58.1651376146789,7.889908256880735,33.94495412844037,105.66666666666667,43.0,True,
