equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100__rbo_20_equity_constant,13605.190800000015,36.051908000000154,-28.755614645332166,rsma_50100__rbo_20,53.0,rsma_50100__rbo_20_equity_constant
rsma_50100__rtt_5020_equity_constant,13532.383399999995,35.32383399999994,-27.791360704220196,rsma_50100__rtt_5020,17.0,rsma_50100__rtt_5020_equity_constant
rsma_50100__rbo_50_equity_constant,13532.383399999995,35.32383399999994,-27.791360704220196,rsma_50100__rbo_50,17.0,rsma_50100__rbo_50_equity_constant
rsma_50100__rsma_50100_equity_constant,13520.160399999993,35.20160399999994,-29.659149339956592,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rsma_50100150__rbo_50_equity_constant,13169.310400000006,31.693104000000048,-27.791360704220196,rsma_50100150__rbo_50,25.0,rsma_50100150__rbo_50_equity_constant
rema_50100__rsma_50100_equity_constant,13066.88829999999,30.6688829999999,-30.732896656889707,rema_50100__rsma_50100,12.0,rema_50100__rsma_50100_equity_constant
rsma_50100150__rsma_100150_equity_concave,12960.205799999983,29.602057999999843,-82.17464770994118,rsma_50100150__rsma_100150,30.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100150__rsma_50100_equity_constant,12955.898300000006,29.55898300000006,-27.791360704220196,rsma_50100150__rsma_50100,21.0,rsma_50100150__rsma_50100_equity_constant
rbo_50__rsma_50100_equity_constant,12817.397199999994,28.173971999999935,-28.94822021970514,rbo_50__rsma_50100,17.0,rbo_50__rsma_50100_equity_constant
rbo_50__rbo_20_equity_constant,12652.464300000003,26.524643000000037,-30.654374997451615,rbo_50__rbo_20,39.0,rbo_50__rbo_20_equity_constant
rsma_100150__rsma_50100_equity_constant,12612.045500000007,26.120455000000064,-28.052580363789826,rsma_100150__rsma_50100,12.0,rsma_100150__rsma_50100_equity_constant
rsma_50100150__rsma_100150_equity_convex,12593.378899999985,25.93378899999985,-68.63258506788559,rsma_50100150__rsma_100150,30.0,rsma_50100150__rsma_100150_equity_convex
rbo_50__rbo_50_equity_constant,12580.199999999995,25.801999999999946,-29.187301781980263,rbo_50__rbo_50,3.0,rbo_50__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,12580.199999999995,25.801999999999946,-29.187301781980263,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020_equity_constant
rbo_50__rema_100150_equity_constant,12579.194399999997,25.79194399999998,-28.532615145195233,rbo_50__rema_100150,51.0,rbo_50__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,12490.633699999982,24.906336999999823,-25.19269016481961,rsma_50100__rema_100150,52.0,rsma_50100__rema_100150_equity_constant
rema_50100150__rsma_50100_equity_constant,12489.240200000002,24.892402000000025,-27.791360704220196,rema_50100150__rsma_50100,23.0,rema_50100150__rsma_50100_equity_constant
rsma_100150__rsma_50100150_equity_constant,12392.08270000001,23.920827000000088,-26.77344025738807,rsma_100150__rsma_50100150,78.0,rsma_100150__rsma_50100150_equity_constant
rema_50100__rtt_5020_equity_constant,12345.139599999984,23.451395999999836,-28.222888144745216,rema_50100__rtt_5020,21.0,rema_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,12345.139599999984,23.451395999999836,-28.222888144745216,rema_50100__rbo_50,21.0,rema_50100__rbo_50_equity_constant
rema_50100150__rbo_50_equity_constant,12310.111200000008,23.10111200000009,-27.791360704220196,rema_50100150__rbo_50,11.0,rema_50100150__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,12287.761399999992,22.877613999999923,-28.32981866347566,rsma_50100150__rtt_5020,19.0,rsma_50100150__rtt_5020_equity_constant
rema_50100__rema_100150_equity_constant,12277.107600000005,22.771076000000058,-27.94112080510407,rema_50100__rema_100150,54.0,rema_50100__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,12259.388900000014,22.593889000000146,-25.335376874202503,rtt_5020__rema_100150,37.0,rtt_5020__rema_100150_equity_constant
rema_50100__rbo_20_equity_constant,12247.772200000005,22.477722000000043,-28.516650880998682,rema_50100__rbo_20,56.0,rema_50100__rbo_20_equity_constant
rbo_100__rsma_50100_equity_constant,12243.634700000013,22.436347000000122,-25.536598720773963,rbo_100__rsma_50100,22.0,rbo_100__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,12230.453300000012,22.304533000000127,-25.536598720773963,rtt_5020__rsma_50100,17.0,rtt_5020__rsma_50100_equity_constant
rsma_100150__rbo_20_equity_constant,12064.224500000017,20.64224500000016,-27.460854067296374,rsma_100150__rbo_20,53.0,rsma_100150__rbo_20_equity_constant
rsma_100150__rema_100150_equity_constant,12005.687599999994,20.056875999999946,-26.34284911794306,rsma_100150__rema_100150,44.0,rsma_100150__rema_100150_equity_constant
rtt_5020__rbo_50_equity_constant,12003.817600000011,20.038176000000107,-25.78545207988544,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12003.817600000011,20.038176000000107,-25.78545207988544,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rsma_50100_equity_constant,11970.14870000002,19.701487000000206,-24.704523420179957,rbo_20__rsma_50100,24.0,rbo_20__rsma_50100_equity_constant
rbo_50__rbo_100_equity_constant,11931.596600000024,19.31596600000025,-29.107281815732183,rbo_50__rbo_100,6.0,rbo_50__rbo_100_equity_constant
rsma_100150__rtt_5020_equity_constant,11913.563600000007,19.135636000000076,-25.636345166948104,rsma_100150__rtt_5020,21.0,rsma_100150__rtt_5020_equity_constant
rsma_100150__rbo_50_equity_constant,11913.563600000007,19.135636000000076,-25.636345166948104,rsma_100150__rbo_50,21.0,rsma_100150__rbo_50_equity_constant
rbo_100__rema_100150_equity_constant,11912.05050000002,19.1205050000002,-25.736565720603306,rbo_100__rema_100150,65.0,rbo_100__rema_100150_equity_constant
rbo_100__rbo_20_equity_constant,11909.90120000001,19.099012000000105,-27.936288357234723,rbo_100__rbo_20,53.0,rbo_100__rbo_20_equity_constant
rema_100150__rsma_50100_equity_constant,11852.496500000005,18.524965000000048,-20.862045308726564,rema_100150__rsma_50100,4.0,rema_100150__rsma_50100_equity_constant
rema_100150__rbo_20_equity_constant,11766.974099999998,17.669740999999984,-21.598648097264626,rema_100150__rbo_20,24.0,rema_100150__rbo_20_equity_constant
