equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rbo_50__rbo_20_equity_constant,14687.346100000008,46.87346100000007,-31.914180193520497,rbo_50__rbo_20,30.0,rbo_50__rbo_20,A2A.MI
rbo_50__rbo_50_equity_constant,13772.472700000004,37.72472700000005,-27.391397188973936,rbo_50__rbo_50,3.0,rbo_50__rbo_50,A2A.MI
rbo_50__rtt_5020_equity_constant,13772.472700000004,37.72472700000005,-27.391397188973936,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020,A2A.MI
rsma_50100150__rbo_20_equity_constant,13566.202300000004,35.66202300000003,-26.2874032182168,rsma_50100150__rbo_20,10.0,rsma_50100150__rbo_20,A2A.MI
rsma_50100150__rtt_5020_equity_constant,13532.577400000002,35.32577400000001,-26.10424677859224,rsma_50100150__rtt_5020,3.0,rsma_50100150__rtt_5020,A2A.MI
rtt_5020__rbo_50_equity_constant,12970.7934,29.707934,-22.903713815995253,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50,A2A.MI
rtt_5020__rtt_5020_equity_constant,12970.7934,29.707934,-22.903713815995253,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020,A2A.MI
rbo_20__rbo_50_equity_constant,12885.746600000002,28.85746600000003,-22.3948731073138,rbo_20__rbo_50,10.0,rbo_20__rbo_50,A2A.MI
rsma_50100150__rbo_50_equity_constant,12793.501400000005,27.935014000000024,-21.87405638508729,rsma_50100150__rbo_50,3.0,rsma_50100150__rbo_50,A2A.MI
rtt_5020__rbo_20_equity_constant,12574.668800000003,25.74668800000004,-20.47504265082516,rtt_5020__rbo_20,3.0,rtt_5020__rbo_20,A2A.MI
rbo_100__rbo_20_equity_constant,12557.127099999996,25.57127099999996,-24.715755677873684,rbo_100__rbo_20,43.0,rbo_100__rbo_20,A2A.MI
rbo_20__rtt_5020_equity_constant,12436.1331,24.36133100000002,-19.5891526764055,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020,A2A.MI
rema_50100150__rbo_50_equity_constant,12317.386899999994,23.173868999999936,-20.31446215268269,rema_50100150__rbo_50,16.0,rema_50100150__rbo_50,A2A.MI
rbo_50__rsma_50100150_equity_constant,12233.763200000005,22.337632000000028,-20.199285367044336,rbo_50__rsma_50100150,46.0,rbo_50__rsma_50100150,A2A.MI
rbo_20__rbo_20_equity_constant,11955.986800000006,19.55986800000007,-19.775051168876317,rbo_20__rbo_20,3.0,rbo_20__rbo_20,A2A.MI
rema_50100150__rtt_5020_equity_constant,11887.671,18.87671,-19.7616124691897,rema_50100150__rtt_5020,9.0,rema_50100150__rtt_5020,A2A.MI
rsma_50100150__rsma_50100150_equity_constant,11834.045200000006,18.34045200000005,-15.539921356855926,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150,A2A.MI
rbo_100__rbo_50_equity_constant,11744.97890000001,17.449789000000095,-16.48009293827998,rbo_100__rbo_50,23.0,rbo_100__rbo_50,A2A.MI
rbo_100__rtt_5020_equity_constant,11335.218200000008,13.352182000000056,-16.48009293827998,rbo_100__rtt_5020,16.0,rbo_100__rtt_5020,A2A.MI
rtt_5020__rema_50100150_equity_constant,11258.73819999999,12.587381999999913,-13.63983754413968,rtt_5020__rema_50100150,38.0,rtt_5020__rema_50100150,A2A.MI
rema_50100150__rsma_50100150_equity_constant,11186.338200000002,11.863382000000012,-19.50734952787992,rema_50100150__rsma_50100150,25.0,rema_50100150__rsma_50100150,A2A.MI
rtt_5020__rsma_50100150_equity_constant,10915.229499999998,9.152294999999969,-11.399235285027718,rtt_5020__rsma_50100150,25.0,rtt_5020__rsma_50100150,A2A.MI
