equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rbo_50_equity_concave,31642.13990000005,216.4213990000005,-75.71535420747746,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50
rsma_50100150__rbo_50_equity_convex,27528.787400000012,175.28787400000013,-69.87797903662167,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50
rsma_50100150__rsma_50100150_equity_concave,25443.213699999993,154.43213699999993,-92.11728420486716,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rsma_50100150_equity_convex,23940.68319999999,139.4068319999999,-85.67786686090719,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_convex,18376.491199999986,83.76491199999987,-58.56302762188991,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20
rsma_50100150__rbo_20_equity_concave,16908.524899999993,69.08524899999992,-59.07428538187535,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20
rsma_50100150__rbo_100_equity_convex,14729.755800000004,47.29755800000004,-62.23815285279236,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_concave,14699.919300000005,46.99919300000006,-62.27617623424232,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100
rsma_50100150__rtt_5020_equity_convex,12936.428399999997,29.364283999999973,-70.65141029720287,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020
rsma_50100150__rema_50100150_equity_convex,12622.843299999986,26.22843299999986,-62.222416407396864,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150
rsma_50100150__rtt_5020_equity_concave,12616.307500000006,26.163075000000056,-71.69999234648213,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020
rbo_100__rbo_20_equity_convex,12376.725699999977,23.767256999999773,-61.64484484512035,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rbo_100__rbo_20_equity_concave,12100.756799999983,21.007567999999832,-62.977763262609166,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rbo_100__rbo_100_equity_convex,11870.352200000012,18.703522000000117,-67.86153456245353,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_concave,11841.135200000015,18.411352000000146,-67.89704423271466,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rsma_50100150__rbo_20_equity_constant,11742.946199999998,17.429461999999994,-16.673146023953716,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20
rsma_50100150__rsma_50100150_equity_constant,11715.8789,17.158789000000006,-19.292082624584634,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rbo_50_equity_constant,11654.788999999999,16.547889999999988,-16.820116223092597,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50
rsma_50100150__rtt_5020_equity_constant,11410.499499999998,14.104994999999976,-16.29326232639966,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020
rbo_100__rsma_50100150_equity_convex,11336.326600000008,13.363266000000085,-66.5939641632291,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150
rsma_50100150__rbo_100_equity_constant,11054.233900000001,10.542339000000013,-13.63179163600531,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100
rbo_100__rsma_50100150_equity_concave,10889.866200000024,8.898662000000247,-67.91653842370778,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150
rbo_100__rsma_50100150_equity_constant,10685.889900000004,6.858899000000029,-12.612556277045464,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150
rtt_5020__rsma_50100150_equity_constant,10594.414799999993,5.944147999999938,-11.799863001750195,rtt_5020__rsma_50100150,64.0,rtt_5020__rsma_50100150
rbo_20__rtt_5020_equity_constant,10578.268799999994,5.782687999999947,-17.453532762541563,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020
rbo_20__rsma_50100150_equity_constant,10538.6822,5.386822000000002,-13.69075381361502,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rbo_100__rbo_20_equity_constant,10503.213199999995,5.032131999999945,-13.000023236505648,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rsma_50100150__rema_50100150_equity_constant,10494.405399999998,4.9440539999999755,-11.793903138133011,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150
rbo_100__rbo_100_equity_constant,10486.557900000002,4.86557900000002,-16.3459410590332,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_50__rsma_50100150_equity_constant,10475.096499999996,4.750964999999963,-12.277581939897447,rbo_50__rsma_50100150,73.0,rbo_50__rsma_50100150
rbo_20__rbo_100_equity_constant,10465.640899999993,4.656408999999928,-16.024304889988567,rbo_20__rbo_100,25.0,rbo_20__rbo_100
rbo_20__rbo_20_equity_constant,10429.378199999985,4.293781999999857,-14.305598545180043,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_50__rbo_100_equity_constant,10399.04319999999,3.9904319999998883,-16.599553496482443,rbo_50__rbo_100,21.0,rbo_50__rbo_100
rbo_100__rtt_5020_equity_constant,10251.145700000005,2.511457000000039,-14.52100535422714,rbo_100__rtt_5020,18.0,rbo_100__rtt_5020
rbo_20_equity_equal,10208.991300000014,2.089913000000143,-2.6431293769902413,rbo_20,,rbo_20
rrg_equity_equal,10195.915100000018,1.9591510000001922,-2.2410687443761748,rrg,,rrg
rsma_50100150__rbo_20_equity_equal,10170.603599999995,1.7060359999999442,-1.809600941355242,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20
rsma_50100150__rsma_50100150_equity_equal,10163.202099999997,1.6320209999999724,-1.9873282450424534,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rbo_50_equity_equal,10162.495099999995,1.6249509999999523,-2.046267197804376,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50
rsma_50100150__rbo_100_equity_equal,10141.4288,1.4142879999999858,-1.8664854274285814,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100
rsma_50100150__rtt_5020_equity_equal,10132.430299999998,1.3243029999999711,-1.84346177617632,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020
rbo_20__rema_50100150_equity_constant,10128.072500000002,1.280725000000027,-15.03545176982505,rbo_20__rema_50100150,65.0,rbo_20__rema_50100150
rbo_100__rbo_20_equity_equal,10112.66639999999,1.1266639999998995,-1.8101323249065775,rbo_100__rbo_20,35.0,rbo_100__rbo_20
rbo_20__rbo_20_equity_convex,10108.36859999998,1.083685999999795,-63.448949508476026,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rtt_5020__rsma_50100150_equity_equal,10086.612499999994,0.8661249999999399,-1.503092906494581,rtt_5020__rsma_50100150,64.0,rtt_5020__rsma_50100150
rbo_20__rbo_20_equity_equal,10082.496199999996,0.8249619999999513,-1.6933167675894776,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rbo_100_equity_equal,10080.971599999986,0.8097159999998604,-1.880010813548345,rbo_20__rbo_100,25.0,rbo_20__rbo_100
rbo_20__rsma_50100150_equity_convex,10080.82180000003,0.8082180000003047,-62.16512736635501,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rbo_20__rtt_5020_equity_equal,10080.1267,0.8012670000000055,-2.17732132208039,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020
rbo_100__rbo_100_equity_equal,10079.158099999995,0.7915809999999412,-1.8731206097193753,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_20__rsma_50100150_equity_equal,10073.720000000003,0.7372000000000378,-1.6253835853810648,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rbo_50__rbo_100_equity_equal,10068.133599999988,0.681335999999888,-2.1050157707331087,rbo_50__rbo_100,21.0,rbo_50__rbo_100
rbo_50__rsma_50100150_equity_equal,10065.792999999996,0.6579299999999622,-1.4368319277703978,rbo_50__rsma_50100150,73.0,rbo_50__rsma_50100150
rtt_5020__rbo_100_equity_constant,10061.29239999999,0.6129239999999037,-13.779888797761034,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100
