combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,1,6,0,0,4,239,284,0.7590132827324478,45.35104364326376,53.889943074003796,4.0,39.833333333333336,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,29,1,28,0,0,3,244,280,0.5692599620493358,46.29981024667932,53.13092979127134,3.0,8.714285714285714,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,12,1,11,0,0,3,279,245,0.5692599620493358,52.94117647058824,46.48956356736243,3.0,25.363636363636363,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,1,3,0,0,3,269,255,0.5692599620493358,51.04364326375711,48.38709677419355,3.0,89.66666666666667,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,44,1,42,0,1,2,248,277,0.3795066413662239,47.05882352941176,52.56166982922201,2.0,5.904761904761905,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,23,1,21,0,1,2,260,265,0.3795066413662239,49.33586337760911,50.284629981024665,2.0,12.380952380952381,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,75,1,74,0,0,4,178,345,0.7590132827324478,33.776091081593925,65.46489563567363,4.0,2.4054054054054053,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,7,1,5,0,1,2,286,239,0.3795066413662239,54.26944971537002,45.35104364326376,2.0,57.2,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,4,1,2,0,1,2,289,236,0.3795066413662239,54.83870967741935,44.78178368121442,2.0,144.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,119,1,118,0,0,4,122,401,0.7590132827324478,23.14990512333966,76.0910815939279,4.0,1.0338983050847457,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,20,3,17,0,0,6,199,322,1.1385199240986716,37.76091081593928,61.10056925996204,2.0,11.705882352941176,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,7,216,304,1.3282732447817838,40.98671726755218,57.685009487666036,3.5,108.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,6,2,3,0,1,5,248,274,0.9487666034155597,47.05882352941176,51.992409867172675,2.5,82.66666666666667,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,7,216,304,1.3282732447817838,40.98671726755218,57.685009487666036,3.5,108.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,29,2,26,0,1,6,216,305,1.1385199240986716,40.98671726755218,57.874762808349146,3.0,8.307692307692308,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,24,2,20,0,2,4,231,292,0.7590132827324478,43.833017077798864,55.40796963946869,2.0,11.55,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,70,3,67,0,0,6,149,372,1.1385199240986716,28.27324478178368,70.58823529411765,2.0,2.2238805970149254,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,6,2,2,0,2,4,249,274,0.7590132827324478,47.24857685009488,51.992409867172675,2.0,124.5,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,6,2,2,0,2,4,249,274,0.7590132827324478,47.24857685009488,51.992409867172675,2.0,124.5,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,110,2,108,0,0,8,108,411,1.5180265654648957,20.49335863377609,77.98861480075901,4.0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,28,1,27,0,0,4,245,278,0.7590132827324478,46.48956356736243,52.75142314990512,4.0,9.074074074074074,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,31,1,30,0,0,3,242,282,0.5692599620493358,45.920303605313094,53.510436432637576,3.0,8.066666666666666,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,3,271,253,0.5692599620493358,51.423149905123346,48.007590132827325,3.0,135.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,13,1,12,0,0,3,261,263,0.5692599620493358,49.52561669829222,49.905123339658445,3.0,21.75,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,35,1,33,0,1,2,239,286,0.3795066413662239,45.35104364326376,54.26944971537002,2.0,7.242424242424242,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,22,1,20,0,1,2,253,272,0.3795066413662239,48.007590132827325,51.61290322580645,2.0,12.65,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,89,1,88,0,0,4,184,339,0.7590132827324478,34.9146110056926,64.32637571157495,4.0,2.090909090909091,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,4,1,2,0,1,2,271,254,0.3795066413662239,51.423149905123346,48.19734345351044,2.0,135.5,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,4,1,2,0,1,2,271,254,0.3795066413662239,51.423149905123346,48.19734345351044,2.0,135.5,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,137,1,136,0,0,4,136,387,0.7590132827324478,25.806451612903224,73.43453510436433,4.0,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,1,5,0,0,4,186,337,0.7590132827324478,35.294117647058826,63.946869070208734,4.0,37.2,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,1,2,0,0,3,216,308,0.5692599620493358,40.98671726755218,58.44402277039848,3.0,108.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,4,1,3,0,0,3,248,276,0.5692599620493358,47.05882352941176,52.371916508538895,3.0,82.66666666666667,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,1,2,0,0,3,216,308,0.5692599620493358,40.98671726755218,58.44402277039848,3.0,108.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,28,1,26,0,1,2,216,309,0.3795066413662239,40.98671726755218,58.63377609108159,2.0,8.307692307692308,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,17,1,15,0,1,2,226,299,0.3795066413662239,42.8842504743833,56.73624288425047,2.0,15.066666666666666,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,59,1,58,0,0,4,140,383,0.7590132827324478,26.56546489563567,72.67552182163189,4.0,2.413793103448276,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,4,1,2,0,1,2,249,276,0.3795066413662239,47.24857685009488,52.371916508538895,2.0,124.5,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,4,1,2,0,1,2,249,276,0.3795066413662239,47.24857685009488,52.371916508538895,2.0,124.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,95,1,94,0,0,4,94,429,0.7590132827324478,17.836812144212523,81.40417457305503,4.0,1.0,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,37,1,35,0,1,2,242,283,0.3795066413662239,45.920303605313094,53.70018975332068,2.0,6.914285714285715,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,32,1,31,0,0,4,196,327,0.7590132827324478,37.19165085388994,62.04933586337761,4.0,6.32258064516129,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,12,1,10,0,1,2,251,274,0.3795066413662239,47.6280834914611,51.992409867172675,2.0,25.1,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,20,0,19,0,1,4,287,236,0.7590132827324478,54.459203036053125,44.78178368121442,0.0,15.105263157894736,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,5,1,4,0,0,4,224,299,0.7590132827324478,42.50474383301708,56.73624288425047,4.0,56.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,28,1,26,0,1,2,235,290,0.3795066413662239,44.59203036053131,55.02846299810247,2.0,9.038461538461538,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,91,2,89,0,0,2,162,363,0.3795066413662239,30.740037950664135,68.88045540796965,1.0,1.8202247191011236,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,8,1,6,0,1,2,255,270,0.3795066413662239,48.38709677419355,51.23339658444023,2.0,42.5,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,4,1,2,0,1,2,304,221,0.3795066413662239,57.685009487666036,41.935483870967744,2.0,152.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,111,1,110,0,0,4,119,404,0.7590132827324478,22.58064516129032,76.66034155597723,4.0,1.0818181818181818,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,27,0,27,0,0,0,226,301,0.0,42.8842504743833,57.1157495256167,0.0,8.37037037037037,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,35,0,35,0,0,0,250,277,0.0,47.43833017077799,52.56166982922201,0.0,7.142857142857143,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,8,0,8,0,0,0,278,249,0.0,52.75142314990512,47.24857685009488,0.0,34.75,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,15,0,15,0,0,0,271,256,0.0,51.423149905123346,48.57685009487666,0.0,18.066666666666666,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,37,0,37,0,0,0,259,268,0.0,49.146110056926,50.853889943074,0.0,7.0,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,4,0,4,0,0,0,247,280,0.0,46.86907020872865,53.13092979127134,0.0,61.75,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,90,0,90,0,0,0,170,357,0.0,32.25806451612903,67.74193548387096,0.0,1.8888888888888888,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,3,0,3,0,0,0,287,240,0.0,54.459203036053125,45.54079696394687,0.0,95.66666666666667,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,2,0,2,0,0,0,304,223,0.0,57.685009487666036,42.314990512333964,0.0,152.0,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,124,0,124,0,0,0,124,403,0.0,23.52941176470588,76.47058823529412,0.0,1.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,14,1,13,0,0,4,205,318,0.7590132827324478,38.89943074003795,60.341555977229596,4.0,15.76923076923077,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,19,1,18,0,0,3,234,290,0.5692599620493358,44.4022770398482,55.02846299810247,3.0,13.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,12,1,11,0,0,3,264,260,0.5692599620493358,50.094876660341555,49.33586337760911,3.0,24.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,8,1,7,0,0,3,254,270,0.5692599620493358,48.19734345351044,51.23339658444023,3.0,36.285714285714285,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,38,2,36,0,0,2,214,311,0.3795066413662239,40.60721062618596,59.01328273244781,1.0,5.944444444444445,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,28,1,26,0,1,2,249,276,0.3795066413662239,47.24857685009488,52.371916508538895,2.0,9.576923076923077,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,6,1,5,0,0,4,117,406,0.7590132827324478,22.2011385199241,77.03984819734345,4.0,23.4,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,8,1,6,0,1,2,268,257,0.3795066413662239,50.853889943074,48.76660341555977,2.0,44.666666666666664,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,4,1,2,0,1,2,282,243,0.3795066413662239,53.510436432637576,46.110056925996204,2.0,141.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,58,1,57,0,0,4,65,458,0.7590132827324478,12.333965844402277,86.90702087286527,4.0,1.1403508771929824,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,33,0,33,0,0,0,264,263,0.0,50.094876660341555,49.905123339658445,0.0,8.0,True,
rema_50100__rbo_50,rema_50100,rbo_50,rrg,rema_50100__rbo_50,41,0,41,0,0,0,255,272,0.0,48.38709677419355,51.61290322580645,0.0,6.219512195121951,True,
rema_50100__rbo_100,rema_50100,rbo_100,rrg,rema_50100__rbo_100,14,0,14,0,0,0,283,244,0.0,53.70018975332068,46.29981024667932,0.0,20.214285714285715,True,
rema_50100__rtt_5020,rema_50100,rtt_5020,rrg,rema_50100__rtt_5020,17,0,17,0,0,0,281,246,0.0,53.32068311195446,46.67931688804554,0.0,16.529411764705884,True,
rema_50100__rsma_50100,rema_50100,rsma_50100,rrg,rema_50100__rsma_50100,41,0,41,0,0,0,262,265,0.0,49.71537001897533,50.284629981024665,0.0,6.390243902439025,True,
rema_50100__rsma_100150,rema_50100,rsma_100150,rrg,rema_50100__rsma_100150,26,0,26,0,0,0,271,256,0.0,51.423149905123346,48.57685009487666,0.0,10.423076923076923,True,
rema_50100__rsma_50100150,rema_50100,rsma_50100150,rrg,rema_50100__rsma_50100150,94,0,94,0,0,0,209,318,0.0,39.658444022770404,60.341555977229596,0.0,2.223404255319149,True,
rema_50100__rema_50100,rema_50100,rema_50100,rrg,rema_50100__rema_50100,4,0,4,0,0,0,294,233,0.0,55.787476280834916,44.212523719165084,0.0,73.5,True,
rema_50100__rema_100150,rema_50100,rema_100150,rrg,rema_50100__rema_100150,2,0,2,0,0,0,304,223,0.0,57.685009487666036,42.314990512333964,0.0,152.0,True,
rema_50100__rema_50100150,rema_50100,rema_50100150,rrg,rema_50100__rema_50100150,147,0,147,0,0,0,157,370,0.0,29.79127134724858,70.20872865275142,0.0,1.0680272108843538,True,
rema_100150__rbo_20,rema_100150,rbo_20,rrg,rema_100150__rbo_20,35,0,35,0,0,0,270,257,0.0,51.23339658444023,48.76660341555977,0.0,7.714285714285714,True,
rema_100150__rbo_50,rema_100150,rbo_50,rrg,rema_100150__rbo_50,45,0,45,0,0,0,260,267,0.0,49.33586337760911,50.664136622390885,0.0,5.777777777777778,True,
rema_100150__rbo_100,rema_100150,rbo_100,rrg,rema_100150__rbo_100,18,0,18,0,0,0,288,239,0.0,54.64895635673624,45.35104364326376,0.0,16.0,True,
rema_100150__rtt_5020,rema_100150,rtt_5020,rrg,rema_100150__rtt_5020,19,0,19,0,0,0,287,240,0.0,54.459203036053125,45.54079696394687,0.0,15.105263157894736,True,
