equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rbo_20_equity_concave,371262.39610000007,3612.6239610000007,-97.50818884957384,rbo_50__rbo_20,30.0,rbo_50__rbo_20
rsma_50100150__rbo_100_equity_concave,233636.8026000002,2236.368026000002,-95.82061468715726,rsma_50100150__rbo_100,18.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_convex,220751.22280000013,2107.5122280000014,-95.57653898406014,rsma_50100150__rbo_100,18.0,rsma_50100150__rbo_100
rbo_50__rbo_20_equity_convex,213283.70560000013,2032.8370560000014,-95.62028375950274,rbo_50__rbo_20,30.0,rbo_50__rbo_20
rtt_5020__rema_50100150_equity_concave,143572.61539999978,1335.726153999998,-94.0301529060697,rtt_5020__rema_50100150,140.0,rtt_5020__rema_50100150
rbo_20__rema_50100150_equity_concave,142907.06099999987,1329.0706099999986,-94.00245505304122,rbo_20__rema_50100150,149.0,rbo_20__rema_50100150
rbo_20__rsma_50100150_equity_concave,142627.0125999999,1326.270125999999,-93.99060218881041,rbo_20__rsma_50100150,130.0,rbo_20__rsma_50100150
rtt_5020__rbo_20_equity_concave,125533.72730000004,1155.3372730000006,-92.62878741407201,rtt_5020__rbo_20,5.0,rtt_5020__rbo_20
rbo_20__rbo_20_equity_concave,124776.76770000003,1147.7676770000003,-92.58401345525155,rbo_20__rbo_20,5.0,rbo_20__rbo_20
rtt_5020__rsma_50100150_equity_concave,123279.96799999982,1132.7996799999983,-93.04746555750937,rtt_5020__rsma_50100150,121.0,rtt_5020__rsma_50100150
rbo_50__rsma_50100150_equity_concave,116653.09119999985,1066.5309119999986,-92.65249488059457,rbo_50__rsma_50100150,140.0,rbo_50__rsma_50100150
rbo_20__rema_50100150_equity_convex,103716.35459999993,937.1635459999993,-91.63362229839781,rbo_20__rema_50100150,149.0,rbo_20__rema_50100150
rtt_5020__rema_50100150_equity_convex,95398.59349999989,853.9859349999988,-90.90414517033061,rtt_5020__rema_50100150,140.0,rtt_5020__rema_50100150
rbo_100__rema_50100150_equity_concave,93523.81919999997,835.2381919999997,-92.83583604258467,rbo_100__rema_50100150,166.0,rbo_100__rema_50100150
rbo_20__rsma_50100150_equity_convex,93466.29919999996,834.6629919999996,-90.71602988977148,rbo_20__rsma_50100150,130.0,rbo_20__rsma_50100150
rbo_50__rtt_5020_equity_concave,86681.56329999997,766.8156329999997,-88.78727097811758,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020
rtt_5020__rbo_50_equity_concave,86681.56329999997,766.8156329999997,-88.78727097811758,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_concave,86681.56329999997,766.8156329999997,-88.78727097811758,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020
rbo_50__rbo_50_equity_concave,86681.56329999997,766.8156329999997,-88.78727097811758,rbo_50__rbo_50,2.0,rbo_50__rbo_50
rtt_5020__rsma_50100150_equity_convex,82802.62479999989,728.0262479999989,-89.5206356786589,rtt_5020__rsma_50100150,121.0,rtt_5020__rsma_50100150
rtt_5020__rbo_20_equity_convex,81653.4115,716.5341149999999,-88.55077258190173,rtt_5020__rbo_20,5.0,rtt_5020__rbo_20
