combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,5,0,5,0,0,0,297,243,0.0,55.00000000000001,45.0,0,59.4,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,10,0,10,0,0,0,346,194,0.0,64.07407407407408,35.92592592592593,0,34.6,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,17,0,17,0,0,0,348,192,0.0,64.44444444444444,35.55555555555556,0,20.470588235294116,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,2,0,2,0,0,0,354,186,0.0,65.55555555555556,34.44444444444444,0,177.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,130,0,130,0,0,0,187,353,0.0,34.629629629629626,65.37037037037037,0,1.4384615384615385,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,149,0,149,0,0,0,151,389,0.0,27.962962962962962,72.03703703703704,0,1.0134228187919463,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,30,0,30,0,0,0,308,232,0.0,57.03703703703704,42.96296296296296,0,10.266666666666667,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,0,2,0,0,0,337,203,0.0,62.40740740740741,37.592592592592595,0,168.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,17,0,17,0,0,0,348,192,0.0,64.44444444444444,35.55555555555556,0,20.470588235294116,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,0,2,0,0,0,337,203,0.0,62.40740740740741,37.592592592592595,0,168.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,140,0,140,0,0,0,197,343,0.0,36.48148148148148,63.51851851851852,0,1.4071428571428573,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,168,0,168,0,0,0,170,370,0.0,31.48148148148148,68.51851851851852,0,1.0119047619047619,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,35,0,35,0,0,0,298,242,0.0,55.18518518518518,44.81481481481481,0,8.514285714285714,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,15,0,15,0,0,0,318,222,0.0,58.88888888888889,41.11111111111111,0,21.2,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,1,0,1,0,0,0,332,208,0.0,61.48148148148148,38.51851851851852,0,332.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,6,0,6,0,0,0,327,213,0.0,60.55555555555555,39.44444444444444,0,54.5,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,153,0,153,0,0,0,180,360,0.0,33.33333333333333,66.66666666666666,0,1.1764705882352942,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,166,0,166,0,0,0,166,374,0.0,30.74074074074074,69.25925925925925,0,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,5,0,5,0,0,0,280,260,0.0,51.85185185185185,48.148148148148145,0,56.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,2,0,2,0,0,0,337,203,0.0,62.40740740740741,37.592592592592595,0,168.5,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,17,0,17,0,0,0,348,192,0.0,64.44444444444444,35.55555555555556,0,20.470588235294116,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,2,0,2,0,0,0,337,203,0.0,62.40740740740741,37.592592592592595,0,168.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,121,0,121,0,0,0,178,362,0.0,32.96296296296296,67.03703703703704,0,1.4710743801652892,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,140,0,140,0,0,0,142,398,0.0,26.296296296296294,73.70370370370371,0,1.0142857142857142,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,11,0,11,0,0,0,54,486,0.0,10.0,90.0,0,4.909090909090909,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,3,0,3,0,0,0,116,424,0.0,21.48148148148148,78.51851851851852,0,38.666666666666664,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,18,0,18,0,0,0,350,190,0.0,64.81481481481481,35.18518518518518,0,19.444444444444443,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,3,0,3,0,0,0,116,424,0.0,21.48148148148148,78.51851851851852,0,38.666666666666664,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,2,0,2,0,0,0,63,477,0.0,11.666666666666666,88.33333333333333,0,31.5,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,29,0,29,0,0,0,36,504,0.0,6.666666666666667,93.33333333333333,0,1.2413793103448276,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,3,0,3,0,0,0,46,494,0.0,8.518518518518519,91.48148148148148,0,15.333333333333334,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,3,0,3,0,0,0,116,424,0.0,21.48148148148148,78.51851851851852,0,38.666666666666664,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,4,0,4,0,0,0,4,536,0.0,0.7407407407407408,99.25925925925925,0,1.0,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,3,0,3,0,0,0,116,424,0.0,21.48148148148148,78.51851851851852,0,38.666666666666664,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,1,0,1,0,0,0,30,510,0.0,5.555555555555555,94.44444444444444,0,30.0,True,
rema_50100150__rema_50100150,rema_50100150,rema_50100150,rrg,rema_50100150__rema_50100150,1,0,1,0,0,0,8,532,0.0,1.4814814814814816,98.51851851851852,0,8.0,True,
