equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_50100_equity_concave,48094.23449999999,380.9423449999999,-82.54625863730088,rema_50100150__rsma_50100,29.0,rema_50100150__rsma_50100_equity_concave
rsma_50100150__rbo_20_equity_concave,43029.12619999997,330.29126199999973,-89.68524975531574,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20_equity_concave
rema_50100150__rsma_50100_equity_convex,40948.91530000001,309.4891530000001,-79.59267262935288,rema_50100150__rsma_50100,29.0,rema_50100150__rsma_50100_equity_convex
rbo_50__rsma_50100150_equity_concave,38826.54919999998,288.2654919999998,-77.99799061205263,rbo_50__rsma_50100150,44.0,rbo_50__rsma_50100150_equity_concave
rema_50100150__rbo_20_equity_concave,37710.29699999997,277.1029699999997,-97.91571702551168,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rsma_50100150_equity_concave,37696.11770000001,276.9611770000001,-90.52144592598191,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_concave
rbo_50__rsma_50100150_equity_convex,36687.31829999996,266.87318299999964,-76.71505742080905,rbo_50__rsma_50100150,44.0,rbo_50__rsma_50100150_equity_convex
rtt_5020_equity_concave,33057.38810000004,230.57388100000037,-72.71169877280389,rtt_5020,,rtt_5020_equity_concave
rtt_5020_equity_convex,32910.83410000001,229.10834100000005,-72.69257569052073,rtt_5020,,rtt_5020_equity_convex
rtt_5020__rsma_50100150_equity_concave,32410.31059999995,224.1031059999995,-73.64227357944537,rtt_5020__rsma_50100150,34.0,rtt_5020__rsma_50100150_equity_concave
rsma_50100150__rbo_20_equity_convex,31870.548999999974,218.70548999999974,-85.13558457998323,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20_equity_convex
rema_50100150__rbo_20_equity_convex,29434.836299999984,194.34836299999984,-94.32359200856169,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rsma_50100150_equity_concave,28086.504199999985,180.86504199999985,-87.27842071566883,rema_50100150__rsma_50100150,23.0,rema_50100150__rsma_50100150_equity_concave
rtt_5020__rema_50100150_equity_concave,26330.80059999999,163.30800599999992,-73.02573283700303,rtt_5020__rema_50100150,42.0,rtt_5020__rema_50100150_equity_concave
rema_50100150__rsma_100150_equity_concave,25263.326900000007,152.63326900000007,-85.8567839693354,rema_50100150__rsma_100150,38.0,rema_50100150__rsma_100150_equity_concave
rtt_5020__rsma_50100150_equity_convex,24988.29259999996,149.8829259999996,-65.81350660188757,rtt_5020__rsma_50100150,34.0,rtt_5020__rsma_50100150_equity_convex
rsma_50100150__rsma_50100150_equity_convex,23937.271400000005,139.37271400000006,-85.07329076780236,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_convex
rbo_50__rbo_20_equity_convex,22684.168600000045,126.84168600000044,-62.34104431757756,rbo_50__rbo_20,29.0,rbo_50__rbo_20_equity_convex
rema_50100150__rsma_100150_equity_convex,19962.290400000013,99.62290400000013,-82.1010173261481,rema_50100150__rsma_100150,38.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rsma_50100150_equity_convex,19484.789799999988,94.84789799999989,-81.66237903166905,rema_50100150__rsma_50100150,23.0,rema_50100150__rsma_50100150_equity_convex
rbo_50__rbo_20_equity_concave,18996.42970000004,89.96429700000041,-62.09272426286745,rbo_50__rbo_20,29.0,rbo_50__rbo_20_equity_concave
rbo_50__rema_50100150_equity_convex,18263.936599999983,82.63936599999984,-59.080713190824305,rbo_50__rema_50100150,68.0,rbo_50__rema_50100150_equity_convex
rtt_5020__rema_50100150_equity_convex,18110.1535,81.10153500000001,-58.73324541396071,rtt_5020__rema_50100150,42.0,rtt_5020__rema_50100150_equity_convex
rbo_50__rema_50100150_equity_concave,17497.406999999977,74.97406999999978,-59.40803971697054,rbo_50__rema_50100150,68.0,rbo_50__rema_50100150_equity_concave
rtt_5020__rbo_20_equity_concave,16856.828200000007,68.56828200000007,-59.5271348654261,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20_equity_concave
rtt_5020__rbo_20_equity_convex,16700.06500000001,67.0006500000001,-59.5271348654261,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20_equity_convex
rbo_20__rema_50100150_equity_convex,16672.671299999995,66.72671299999995,-66.2270904363118,rbo_20__rema_50100150,43.0,rbo_20__rema_50100150_equity_convex
rsma_50100150__rsma_50100_equity_concave,16316.444300000006,63.16444300000006,-66.078258852022,rsma_50100150__rsma_50100,52.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100150__rsma_50100_equity_convex,15424.129899999996,54.24129899999996,-58.477515156300576,rsma_50100150__rsma_50100,52.0,rsma_50100150__rsma_50100_equity_convex
rsma_50100150__rema_50100150_equity_convex,14872.033499999996,48.72033499999997,-67.99951734912378,rsma_50100150__rema_50100150,41.0,rsma_50100150__rema_50100150_equity_convex
rbo_20__rsma_50100150_equity_convex,14660.678399999992,46.60678399999991,-68.39636083961844,rbo_20__rsma_50100150,36.0,rbo_20__rsma_50100150_equity_convex
rema_50100150__rema_50100_equity_convex,13520.9648,35.209647999999994,-61.1672940676541,rema_50100150__rema_50100,34.0,rema_50100150__rema_50100_equity_convex
rbo_20__rbo_20_equity_convex,13416.106499999989,34.161064999999894,-75.86369115361457,rbo_20__rbo_20,4.0,rbo_20__rbo_20_equity_convex
rsma_50100150__rema_50100150_equity_concave,13386.624599999986,33.866245999999855,-70.4606350132505,rsma_50100150__rema_50100150,41.0,rsma_50100150__rema_50100150_equity_concave
rbo_20__rsma_50100150_equity_concave,13377.405099999998,33.77405099999997,-65.36467375126436,rbo_20__rsma_50100150,36.0,rbo_20__rsma_50100150_equity_concave
rbo_20__rema_50100150_equity_concave,13250.76049999999,32.5076049999999,-73.90432269906317,rbo_20__rema_50100150,43.0,rbo_20__rema_50100150_equity_concave
rtt_5020__rsma_50100_equity_concave,12910.772100000013,29.10772100000012,-54.62382919763562,rtt_5020__rsma_50100,36.0,rtt_5020__rsma_50100_equity_concave
rtt_5020__rsma_50100_equity_convex,12664.647600000008,26.646476000000074,-53.88794947598854,rtt_5020__rsma_50100,36.0,rtt_5020__rsma_50100_equity_convex
rbo_100__rsma_50100150_equity_convex,12573.260500000011,25.73260500000012,-58.756134894365616,rbo_100__rsma_50100150,56.0,rbo_100__rsma_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,12513.310300000001,25.133103000000002,-67.50005152513474,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,12513.310300000001,25.133103000000002,-67.50005152513474,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_convex
rema_50100__rbo_20_equity_convex,12483.487800000023,24.834878000000217,-43.1491395306896,rema_50100__rbo_20,36.0,rema_50100__rbo_20_equity_convex
rbo_100__rsma_50100150_equity_concave,12431.0917,24.31091700000001,-70.40528678426973,rbo_100__rsma_50100150,56.0,rbo_100__rsma_50100150_equity_concave
rema_50100__rbo_20_equity_concave,12282.602000000046,22.82602000000047,-56.90702112957533,rema_50100__rbo_20,36.0,rema_50100__rbo_20_equity_concave
