equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_50100150_equity_convex,23522.396700000132,135.22396700000132,-83.79434560442071,rema_50100150__rsma_50100150,8.0,rema_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_100150_equity_convex,16333.23649999998,63.33236499999981,-76.99337164082664,rema_50100150__rsma_100150,20.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rsma_100150_equity_concave,15991.009400000017,59.91009400000018,-83.42980649125865,rema_50100150__rsma_100150,20.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rema_50100150_equity_convex,15386.665800000037,53.86665800000037,-80.21187458533859,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rbo_50__rsma_100150_equity_constant,15299.789199999997,52.99789199999998,-46.60706305679035,rbo_50__rsma_100150,50.0,rbo_50__rsma_100150_equity_constant
rema_100150__rbo_50_equity_constant,14983.576399999996,49.83576399999996,-47.613304791504895,rema_100150__rbo_50,11.0,rema_100150__rbo_50_equity_constant
rema_100150__rtt_5020_equity_constant,14983.576399999996,49.83576399999996,-47.613304791504895,rema_100150__rtt_5020,11.0,rema_100150__rtt_5020_equity_constant
rsma_100150__rbo_50_equity_constant,14964.6805,49.64680500000001,-46.58500393643552,rsma_100150__rbo_50,12.0,rsma_100150__rbo_50_equity_constant
rsma_100150__rtt_5020_equity_constant,14964.6805,49.64680500000001,-46.58500393643552,rsma_100150__rtt_5020,12.0,rsma_100150__rtt_5020_equity_constant
rema_50100150__rema_50100150_equity_concave,14920.769100000034,49.20769100000033,-83.0413832272707,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_concave
rbo_50__rema_100150_equity_constant,14826.649599999986,48.26649599999986,-44.903218054063906,rbo_50__rema_100150,39.0,rbo_50__rema_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,14750.519900000005,47.505199000000054,-46.465663220453685,rtt_5020__rsma_100150,37.0,rtt_5020__rsma_100150_equity_constant
rema_50100150__rsma_50100150_equity_concave,14676.031500000197,46.760315000001974,-87.40595584866398,rema_50100150__rsma_50100150,8.0,rema_50100150__rsma_50100150_equity_concave
rtt_5020__rema_100150_equity_constant,14347.632200000002,43.476322000000025,-44.962395955480375,rtt_5020__rema_100150,26.0,rtt_5020__rema_100150_equity_constant
rsma_100150__rbo_20_equity_constant,14261.632699999991,42.61632699999991,-43.95183449087139,rsma_100150__rbo_20,31.0,rsma_100150__rbo_20_equity_constant
rtt_5020_equity_constant,14212.233499999991,42.12233499999991,-38.33710654979035,rtt_5020,,rtt_5020_equity_constant
rema_100150__rbo_20_equity_constant,14207.924199999998,42.07924199999997,-44.75336164870585,rema_100150__rbo_20,30.0,rema_100150__rbo_20_equity_constant
rsma_50100__rsma_100150_equity_constant,14205.927499999998,42.05927499999997,-41.57093016277885,rsma_50100__rsma_100150,38.0,rsma_50100__rsma_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,14196.793899999993,41.96793899999993,-43.69585445626561,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rema_100150_equity_constant,14196.793899999993,41.96793899999993,-43.69585445626561,rsma_100150__rema_100150,3.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rema_50100_equity_constant,14196.793899999993,41.96793899999993,-43.69585445626561,rsma_100150__rema_50100,3.0,rsma_100150__rema_50100_equity_constant
rsma_100150__rbo_100_equity_constant,14196.793899999993,41.96793899999993,-43.69585445626561,rsma_100150__rbo_100,3.0,rsma_100150__rbo_100_equity_constant
rema_100150__rbo_100_equity_constant,14161.741999999995,41.61741999999995,-44.5731993987745,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_constant
rema_100150__rema_100150_equity_constant,14161.741999999995,41.61741999999995,-44.5731993987745,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_constant
rema_100150__rema_50100_equity_constant,14161.741999999995,41.61741999999995,-44.5731993987745,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_constant
rbo_20__rsma_100150_equity_constant,14004.639700000005,40.046397000000056,-46.38247208887489,rbo_20__rsma_100150,41.0,rbo_20__rsma_100150_equity_constant
rsma_50100150__rbo_50_equity_constant,13998.965200000017,39.98965200000018,-37.526961635707195,rsma_50100150__rbo_50,13.0,rsma_50100150__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,13998.965200000017,39.98965200000018,-37.526961635707195,rsma_50100150__rtt_5020,13.0,rsma_50100150__rtt_5020_equity_constant
rsma_50100150__rema_100150_equity_constant,13982.852799999999,39.828527999999984,-39.486581736739694,rsma_50100150__rema_100150,28.0,rsma_50100150__rema_100150_equity_constant
rbo_20__rtt_5020_equity_constant,13929.577900000006,39.29577900000005,-45.693553284195374,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020_equity_constant
rsma_50100__rema_100150_equity_constant,13747.427200000004,37.47427200000004,-39.62222036716804,rsma_50100__rema_100150,27.0,rsma_50100__rema_100150_equity_constant
rsma_50100__rtt_5020_equity_constant,13733.180599999996,37.331805999999965,-37.39408262059843,rsma_50100__rtt_5020,12.0,rsma_50100__rtt_5020_equity_constant
rsma_50100__rbo_50_equity_constant,13733.180599999996,37.331805999999965,-37.39408262059843,rsma_50100__rbo_50,12.0,rsma_50100__rbo_50_equity_constant
rsma_100150__rsma_50100_equity_constant,13567.687999999998,35.676879999999976,-37.38430453294623,rsma_100150__rsma_50100,8.0,rsma_100150__rsma_50100_equity_constant
rema_100150__rsma_50100_equity_constant,13547.977999999986,35.47977999999987,-38.503636483613974,rema_100150__rsma_50100,7.0,rema_100150__rsma_50100_equity_constant
rbo_20__rema_100150_equity_constant,13543.144300000004,35.43144300000003,-44.55540431626348,rbo_20__rema_100150,30.0,rbo_20__rema_100150_equity_constant
rsma_50100__rbo_20_equity_constant,13454.09810000002,34.54098100000018,-38.379282368990665,rsma_50100__rbo_20,44.0,rsma_50100__rbo_20_equity_constant
rema_50100__rsma_100150_equity_constant,13447.929000000004,34.47929000000003,-47.40617904808988,rema_50100__rsma_100150,31.0,rema_50100__rsma_100150_equity_constant
rtt_5020__rbo_50_equity_constant,13322.606200000002,33.22606200000002,-45.77445515127513,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,13322.606200000002,33.22606200000002,-45.77445515127513,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020_equity_constant
rtt_5020__rtt_5020_equity_constant,13322.606200000002,33.22606200000002,-45.77445515127513,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,13322.606200000002,33.22606200000002,-45.77445515127513,rbo_50__rbo_50,3.0,rbo_50__rbo_50_equity_constant
rema_100150__rsma_100150_equity_constant,13303.490099999994,33.03490099999993,-40.99743419961649,rema_100150__rsma_100150,12.0,rema_100150__rsma_100150_equity_constant
rbo_20__rbo_50_equity_constant,13285.597800000007,32.855978000000064,-45.90196460711762,rbo_20__rbo_50,6.0,rbo_20__rbo_50_equity_constant
rbo_20__rbo_20_equity_constant,13271.7007,32.717006999999995,-39.916933177976205,rbo_20__rbo_20,4.0,rbo_20__rbo_20_equity_constant
rbo_100__rsma_100150_equity_constant,13075.856400000002,30.75856400000003,-46.973599373575304,rbo_100__rsma_100150,38.0,rbo_100__rsma_100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,13031.20350000001,30.312035000000105,-35.56606034124172,rsma_50100__rsma_50100150,61.0,rsma_50100__rsma_50100150_equity_constant
rema_50100150__rema_100150_equity_constant,12995.311199999998,29.953111999999994,-45.574372239735204,rema_50100150__rema_100150,20.0,rema_50100150__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,12995.311199999998,29.953111999999994,-45.574372239735204,rema_50100__rema_100150,20.0,rema_50100__rema_100150_equity_constant
rema_100150__rema_50100150_equity_constant,12831.935400000004,28.31935400000003,-38.829176929927506,rema_100150__rema_50100150,70.0,rema_100150__rema_50100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,12830.835300000012,28.308353000000118,-33.43840911121351,rsma_50100150__rsma_50100,4.0,rsma_50100150__rsma_50100_equity_constant
rbo_100__rema_100150_equity_constant,12691.664099999995,26.916640999999952,-45.36842493333874,rbo_100__rema_100150,27.0,rbo_100__rema_100150_equity_constant
rtt_5020__rbo_20_equity_constant,12607.93429999999,26.0793429999999,-39.660073419005656,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20_equity_constant
rsma_50100150__rema_50100_equity_constant,12581.915599999997,25.81915599999998,-33.25417792502116,rsma_50100150__rema_50100,11.0,rsma_50100150__rema_50100_equity_constant
rsma_50100__rsma_50100_equity_constant,12580.530399999996,25.805303999999964,-33.25783943099883,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rema_100150__rsma_50100150_equity_constant,12578.8471,25.788471000000012,-33.76568032216564,rema_100150__rsma_50100150,65.0,rema_100150__rsma_50100150_equity_constant
rbo_50__rbo_20_equity_constant,12402.298600000002,24.022986000000014,-43.791845972810265,rbo_50__rbo_20,35.0,rbo_50__rbo_20_equity_constant
rbo_100__rtt_5020_equity_constant,12377.299799999997,23.772997999999966,-44.041191439832446,rbo_100__rtt_5020,12.0,rbo_100__rtt_5020_equity_constant
rbo_100__rbo_50_equity_constant,12377.299799999997,23.772997999999966,-44.041191439832446,rbo_100__rbo_50,12.0,rbo_100__rbo_50_equity_constant
rsma_50100150__rbo_100_equity_constant,12338.924900000018,23.38924900000019,-33.04662304898221,rsma_50100150__rbo_100,5.0,rsma_50100150__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,12335.05690000002,23.35056900000019,-33.05698573632039,rsma_50100__rema_50100,10.0,rsma_50100__rema_50100_equity_constant
rsma_50100150__rbo_20_equity_constant,12290.653099999998,22.906530999999973,-33.762502429177275,rsma_50100150__rbo_20,38.0,rsma_50100150__rbo_20_equity_constant
rema_50100150__rtt_5020_equity_constant,12190.575900000005,21.905759000000046,-43.18406647220008,rema_50100150__rtt_5020,12.0,rema_50100150__rtt_5020_equity_constant
rema_50100__rtt_5020_equity_constant,12190.575900000005,21.905759000000046,-43.18406647220008,rema_50100__rtt_5020,12.0,rema_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,12190.575900000005,21.905759000000046,-43.18406647220008,rema_50100__rbo_50,12.0,rema_50100__rbo_50_equity_constant
rema_50100150__rbo_50_equity_constant,12190.575900000005,21.905759000000046,-43.18406647220008,rema_50100150__rbo_50,12.0,rema_50100150__rbo_50_equity_constant
rsma_50100__rbo_100_equity_constant,12183.57230000002,21.835723000000208,-33.468000185791176,rsma_50100__rbo_100,4.0,rsma_50100__rbo_100_equity_constant
rtt_5020__rema_50100_equity_constant,12149.861700000007,21.498617000000063,-39.26764944163932,rtt_5020__rema_50100,16.0,rtt_5020__rema_50100_equity_constant
rbo_50__rbo_100_equity_constant,12101.404100000005,21.014041000000063,-39.9827107665961,rbo_50__rbo_100,15.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,12101.404100000005,21.014041000000063,-39.9827107665961,rtt_5020__rbo_100,15.0,rtt_5020__rbo_100_equity_constant
rbo_50__rema_50100_equity_constant,12015.293499999994,20.15293499999995,-38.83749073628542,rbo_50__rema_50100,21.0,rbo_50__rema_50100_equity_constant
rema_50100__rema_50100_equity_constant,11838.636100000002,18.38636100000002,-39.98081417503829,rema_50100__rema_50100,3.0,rema_50100__rema_50100_equity_constant
rema_50100150__rema_50100_equity_constant,11838.636100000002,18.38636100000002,-39.98081417503829,rema_50100150__rema_50100,3.0,rema_50100150__rema_50100_equity_constant
rbo_100__rbo_100_equity_constant,11748.862000000001,17.488619999999997,-40.67060707666831,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_constant
rema_50100__rbo_20_equity_constant,11745.5885,17.455884999999995,-41.896496714489864,rema_50100__rbo_20,38.0,rema_50100__rbo_20_equity_constant
rbo_100__rema_50100_equity_constant,11665.325199999992,16.653251999999917,-39.19397377794489,rbo_100__rema_50100,10.0,rbo_100__rema_50100_equity_constant
rbo_100__rbo_20_equity_constant,11631.9879,16.319879000000004,-42.46956618653289,rbo_100__rbo_20,44.0,rbo_100__rbo_20_equity_constant
rbo_50__rsma_50100150_equity_constant,11581.403799999996,15.814037999999965,-34.50948062099347,rbo_50__rsma_50100150,78.0,rbo_50__rsma_50100150_equity_constant
rema_50100__rbo_100_equity_constant,11561.011300000002,15.610113000000014,-39.70658518429088,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_constant
rema_50100150__rbo_100_equity_constant,11561.011300000002,15.610113000000014,-39.70658518429088,rema_50100150__rbo_100,3.0,rema_50100150__rbo_100_equity_constant
rbo_20__rema_50100_equity_constant,11554.912299999993,15.54912299999993,-39.20482373544276,rbo_20__rema_50100,20.0,rbo_20__rema_50100_equity_constant
rbo_20__rbo_100_equity_constant,11523.29550000001,15.232955000000103,-39.880602732091674,rbo_20__rbo_100,19.0,rbo_20__rbo_100_equity_constant
rtt_5020__rsma_50100150_equity_constant,11404.368899999994,14.043688999999947,-34.47619313039598,rtt_5020__rsma_50100150,71.0,rtt_5020__rsma_50100150_equity_constant
rsma_100150__rema_50100150_equity_constant,11279.212999999982,12.792129999999812,-29.716729275683875,rsma_100150__rema_50100150,61.0,rsma_100150__rema_50100150_equity_constant
rbo_50__rsma_50100_equity_constant,11211.22619999999,12.112261999999907,-32.347083497432216,rbo_50__rsma_50100,20.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,11211.22619999999,12.112261999999907,-32.347083497432216,rtt_5020__rsma_50100,20.0,rtt_5020__rsma_50100_equity_constant
rema_50100__rsma_50100150_equity_constant,11164.980800000003,11.64980800000004,-35.67324629882036,rema_50100__rsma_50100150,66.0,rema_50100__rsma_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,11101.873800000001,11.018738000000017,-35.30759014752989,rbo_100__rsma_50100150,67.0,rbo_100__rsma_50100150_equity_constant
rbo_20__rsma_50100150_equity_constant,11084.953400000006,10.84953400000006,-34.408450966112554,rbo_20__rsma_50100150,75.0,rbo_20__rsma_50100150_equity_constant
rsma_50100__rema_50100150_equity_constant,10966.673000000017,9.666730000000179,-25.32969578854679,rsma_50100__rema_50100150,79.0,rsma_50100__rema_50100150_equity_constant
rbo_20__rsma_50100_equity_constant,10902.931999999999,9.029319999999984,-32.314816785062895,rbo_20__rsma_50100,24.0,rbo_20__rsma_50100_equity_constant
rsma_100150__rsma_50100150_equity_constant,10791.27879999999,7.912787999999882,-21.92470948633507,rsma_100150__rsma_50100150,66.0,rsma_100150__rsma_50100150_equity_constant
rema_50100150__rsma_50100_equity_constant,10763.880399999995,7.6388039999999435,-33.276203068922975,rema_50100150__rsma_50100,8.0,rema_50100150__rsma_50100_equity_constant
rema_50100__rsma_50100_equity_constant,10763.880399999995,7.6388039999999435,-33.276203068922975,rema_50100__rsma_50100,8.0,rema_50100__rsma_50100_equity_constant
rbo_20__rema_50100150_equity_concave,10720.743700000015,7.20743700000015,-85.50980792700584,rbo_20__rema_50100150,82.0,rbo_20__rema_50100150_equity_concave
rbo_100__rsma_50100_equity_constant,10713.316199999997,7.133161999999982,-32.96128326726696,rbo_100__rsma_50100,9.0,rbo_100__rsma_50100_equity_constant
rbo_50__rema_50100150_equity_constant,10685.863299999985,6.858632999999847,-31.801921403007928,rbo_50__rema_50100150,90.0,rbo_50__rema_50100150_equity_constant
rema_50100150__rbo_20_equity_constant,10522.727699999996,5.2272769999999635,-37.517181840580385,rema_50100150__rbo_20,31.0,rema_50100150__rbo_20_equity_constant
rsma_50100150__rsma_100150_equity_constant,10500.051500000005,5.00051500000005,-21.17059956937907,rsma_50100150__rsma_100150,38.0,rsma_50100150__rsma_100150_equity_constant
rema_50100__rema_50100150_equity_constant,10498.471099999999,4.984710999999997,-32.88106335235435,rema_50100__rema_50100150,72.0,rema_50100__rema_50100150_equity_constant
rbo_100__rema_50100150_equity_constant,10359.381899999993,3.5938189999999315,-32.104565020462395,rbo_100__rema_50100150,79.0,rbo_100__rema_50100150_equity_constant
rbo_20_equity_equal,10352.866600000008,3.5286660000000802,-3.7413000182964833,rbo_20,,rbo_20_equity_equal
rtt_5020__rema_50100150_equity_constant,10309.439099999992,3.0943909999999297,-31.401336475758207,rtt_5020__rema_50100150,78.0,rtt_5020__rema_50100150_equity_constant
