Signal,Final Equity,Total Return,Max Drawdown
rema_50100150,10066.381699999982,0.6638169999998222,-2.783635079225959
rbo_20,10011.733399999985,0.11733399999984684,-4.488455123275908
rtt_5020,9994.864899999975,-0.05135100000025483,-2.882569651031573
rrg,9910.874400000013,-0.8912559999998626,-5.7523687000105745
rsma_50100150,9797.697499999982,-2.023025000000178,-4.368941835511377
rema_100150,9720.482,-2.795179999999997,-3.7225723705732126
rbo_50,9718.890299999983,-2.8110970000001734,-3.5550813417993226
rsma_50100,9544.010399999996,-4.559896000000041,-4.967533049477558
rsma_100150,9444.757200000005,-5.552427999999942,-6.109553078994258
rbo_100,9444.392400000004,-5.556075999999955,-5.995520334293538
rema_50100,9384.125099999988,-6.158749000000119,-6.367717935483283
