Signal,Final Equity,Total Return,Max Drawdown
rsma_50100,10471.122100000008,4.7112210000000765,-4.765678360297309
rbo_100,10424.234500000011,4.242345000000114,-4.192474756779605
rema_50100,10349.052900000012,3.490529000000109,-4.191655845475925
rema_100150,10263.598400000012,2.6359840000001133,-5.040287697258491
rsma_100150,10263.598400000012,2.6359840000001133,-5.040287697258491
rrg,10189.610400000021,1.8961040000002205,-4.063026157678939
rbo_50,9860.892499999998,-1.3910750000000194,-5.047580148653185
rbo_20,9779.188899999988,-2.2081110000001125,-5.555366941278514
rtt_5020,9771.498799999994,-2.285012000000064,-4.623991996095405
rema_50100150,9689.331599999989,-3.106684000000115,-5.196819906395623
rsma_50100150,9537.503599999987,-4.624964000000132,-5.622205082440659
