combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,2,8,0,0,23,188,316,4.364326375711575,35.673624288425046,59.96204933586338,11.5,23.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,25,5,20,0,0,21,229,277,3.984819734345351,43.45351043643264,52.56166982922201,4.2,11.45,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,12,2,0,0,12,311,204,2.2770398481973433,59.01328273244781,38.70967741935484,1.0,155.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,2,4,0,0,25,246,256,4.743833017077799,46.67931688804554,48.57685009487666,12.5,61.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,14,12,2,0,0,12,300,215,2.2770398481973433,56.92599620493358,40.79696394686907,1.0,150.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,13,12,1,0,0,12,331,184,2.2770398481973433,62.808349146110054,34.9146110056926,1.0,331.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,96,1,94,1,0,28,98,401,5.313092979127135,18.59582542694497,76.0910815939279,28.0,1.0425531914893618,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,13,12,1,0,0,12,329,186,2.2770398481973433,62.428842504743834,35.294117647058826,1.0,329.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,13,12,1,0,0,12,331,184,2.2770398481973433,62.808349146110054,34.9146110056926,1.0,331.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,96,1,94,1,0,28,95,404,5.313092979127135,18.026565464895636,76.66034155597723,28.0,1.0106382978723405,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,34,2,32,0,0,16,179,332,3.0360531309297913,33.96584440227704,62.99810246679317,8.0,5.59375,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,17,210,300,3.225806451612903,39.84819734345351,56.92599620493358,17.0,105.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,10,9,1,0,0,9,309,209,1.7077798861480076,58.63377609108159,39.658444022770404,1.0,309.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,17,210,300,3.225806451612903,39.84819734345351,56.92599620493358,17.0,105.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,10,9,1,0,0,9,298,220,1.7077798861480076,56.54648956356736,41.745730550284634,1.0,298.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,10,9,1,0,0,9,330,188,1.7077798861480076,62.61859582542695,35.673624288425046,1.0,330.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,107,1,105,1,0,17,106,404,3.225806451612903,20.113851992409867,76.66034155597723,17.0,1.0095238095238095,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,10,9,1,0,0,9,328,190,1.7077798861480076,62.239089184060724,36.05313092979127,1.0,328.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,10,9,1,0,0,9,330,188,1.7077798861480076,62.61859582542695,35.673624288425046,1.0,330.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,107,1,105,1,0,17,106,404,3.225806451612903,20.113851992409867,76.66034155597723,17.0,1.0095238095238095,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,64,0,64,0,0,0,246,281,0.0,46.67931688804554,53.32068311195446,0.0,3.84375,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,50,0,50,0,0,0,260,267,0.0,49.33586337760911,50.664136622390885,0.0,5.2,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,1,0,1,0,0,0,310,217,0.0,58.82352941176471,41.17647058823529,0.0,310.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,33,0,33,0,0,0,277,250,0.0,52.56166982922201,47.43833017077799,0.0,8.393939393939394,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,6,0,6,0,0,0,304,223,0.0,57.685009487666036,42.314990512333964,0.0,50.666666666666664,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,150,0,150,0,0,0,182,345,0.0,34.53510436432637,65.46489563567363,0.0,1.2133333333333334,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,1,0,1,0,0,0,329,198,0.0,62.428842504743834,37.571157495256166,0.0,329.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,155,0,155,0,0,0,155,372,0.0,29.411764705882355,70.58823529411765,0.0,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,1,6,0,0,15,152,360,2.846299810246679,28.842504743833018,68.3111954459203,15.0,25.333333333333332,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,1,2,0,0,17,210,300,3.225806451612903,39.84819734345351,56.92599620493358,17.0,105.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,9,8,1,0,0,8,310,209,1.5180265654648957,58.82352941176471,39.658444022770404,1.0,310.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,1,2,0,0,17,210,300,3.225806451612903,39.84819734345351,56.92599620493358,17.0,105.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,9,8,1,0,0,8,299,220,1.5180265654648957,56.73624288425047,41.745730550284634,1.0,299.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,9,8,1,0,0,8,331,188,1.5180265654648957,62.808349146110054,35.673624288425046,1.0,331.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,78,1,76,1,0,17,77,433,3.225806451612903,14.61100569259962,82.16318785578748,17.0,1.013157894736842,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,9,8,1,0,0,8,329,190,1.5180265654648957,62.428842504743834,36.05313092979127,1.0,329.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,9,8,1,0,0,8,331,188,1.5180265654648957,62.808349146110054,35.673624288425046,1.0,331.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,78,1,76,1,0,17,77,433,3.225806451612903,14.61100569259962,82.16318785578748,17.0,1.013157894736842,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,59,0,59,0,0,0,241,286,0.0,45.73055028462998,54.26944971537002,0.0,4.084745762711864,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,45,0,45,0,0,0,255,272,0.0,48.38709677419355,51.61290322580645,0.0,5.666666666666667,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,1,0,1,0,0,0,310,217,0.0,58.82352941176471,41.17647058823529,0.0,310.0,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,28,0,28,0,0,0,272,255,0.0,51.61290322580645,48.38709677419355,0.0,9.714285714285714,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,1,0,1,0,0,0,299,228,0.0,56.73624288425047,43.26375711574953,0.0,299.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,150,0,150,0,0,0,182,345,0.0,34.53510436432637,65.46489563567363,0.0,1.2133333333333334,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,1,0,1,0,0,0,329,198,0.0,62.428842504743834,37.571157495256166,0.0,329.0,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,150,0,150,0,0,0,150,377,0.0,28.46299810246679,71.5370018975332,0.0,1.0,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,74,0,74,0,0,0,258,269,0.0,48.95635673624288,51.04364326375711,0.0,3.4864864864864864,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,61,0,61,0,0,0,271,256,0.0,51.423149905123346,48.57685009487666,0.0,4.442622950819672,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,11,0,11,0,0,0,320,207,0.0,60.72106261859582,39.27893738140417,0.0,29.09090909090909,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,43,0,43,0,0,0,289,238,0.0,54.83870967741935,45.16129032258064,0.0,6.72093023255814,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,17,0,17,0,0,0,315,212,0.0,59.772296015180274,40.22770398481973,0.0,18.529411764705884,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,150,0,150,0,0,0,182,345,0.0,34.53510436432637,65.46489563567363,0.0,1.2133333333333334,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,2,0,2,0,0,0,330,197,0.0,62.61859582542695,37.381404174573056,0.0,165.0,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,165,0,165,0,0,0,167,360,0.0,31.688804554079695,68.3111954459203,0.0,1.0121212121212122,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,28,12,16,0,0,34,17,476,6.451612903225806,3.225806451612903,90.32258064516128,2.8333333333333335,1.0625,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,31,15,16,0,0,31,16,480,5.88235294117647,3.0360531309297913,91.08159392789373,2.066666666666667,1.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,34,23,11,0,0,23,21,483,4.364326375711575,3.984819734345351,91.65085388994308,1.0,1.9090909090909092,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,27,11,16,0,0,35,17,475,6.641366223908918,3.225806451612903,90.13282732447819,3.1818181818181817,1.0625,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,39,23,16,0,0,23,16,488,4.364326375711575,3.0360531309297913,92.59962049335864,1.0,1.0,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,24,23,1,0,0,23,32,472,4.364326375711575,6.072106261859583,89.56356736242884,1.0,32.0,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,2,1,1,0,0,45,32,450,8.538899430740038,6.072106261859583,85.38899430740038,45.0,32.0,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,25,23,2,0,0,23,31,473,4.364326375711575,5.88235294117647,89.75332068311197,1.0,15.5,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,24,23,1,0,0,23,32,472,4.364326375711575,6.072106261859583,89.56356736242884,1.0,32.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,17,1,16,0,0,45,17,465,8.538899430740038,3.225806451612903,88.23529411764706,45.0,1.0625,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,73,0,73,0,0,0,257,270,0.0,48.76660341555977,51.23339658444023,0.0,3.5205479452054793,True,
rema_50100__rbo_50,rema_50100,rbo_50,rrg,rema_50100__rbo_50,60,0,60,0,0,0,270,257,0.0,51.23339658444023,48.76660341555977,0.0,4.5,True,
rema_50100__rbo_100,rema_50100,rbo_100,rrg,rema_50100__rbo_100,10,0,10,0,0,0,319,208,0.0,60.53130929791271,39.46869070208729,0.0,31.9,True,
rema_50100__rtt_5020,rema_50100,rtt_5020,rrg,rema_50100__rtt_5020,42,0,42,0,0,0,288,239,0.0,54.64895635673624,45.35104364326376,0.0,6.857142857142857,True,
rema_50100__rsma_50100,rema_50100,rsma_50100,rrg,rema_50100__rsma_50100,16,0,16,0,0,0,314,213,0.0,59.58254269449716,40.41745730550284,0.0,19.625,True,
rema_50100__rsma_100150,rema_50100,rsma_100150,rrg,rema_50100__rsma_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rema_50100__rsma_50100150,rema_50100,rsma_50100150,rrg,rema_50100__rsma_50100150,150,0,150,0,0,0,182,345,0.0,34.53510436432637,65.46489563567363,0.0,1.2133333333333334,True,
rema_50100__rema_50100,rema_50100,rema_50100,rrg,rema_50100__rema_50100,1,0,1,0,0,0,329,198,0.0,62.428842504743834,37.571157495256166,0.0,329.0,True,
rema_50100__rema_100150,rema_50100,rema_100150,rrg,rema_50100__rema_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rema_50100__rema_50100150,rema_50100,rema_50100150,rrg,rema_50100__rema_50100150,165,0,165,0,0,0,167,360,0.0,31.688804554079695,68.3111954459203,0.0,1.0121212121212122,True,
rema_100150__rbo_20,rema_100150,rbo_20,rrg,rema_100150__rbo_20,74,0,74,0,0,0,258,269,0.0,48.95635673624288,51.04364326375711,0.0,3.4864864864864864,True,
rema_100150__rbo_50,rema_100150,rbo_50,rrg,rema_100150__rbo_50,61,0,61,0,0,0,271,256,0.0,51.423149905123346,48.57685009487666,0.0,4.442622950819672,True,
rema_100150__rbo_100,rema_100150,rbo_100,rrg,rema_100150__rbo_100,11,0,11,0,0,0,320,207,0.0,60.72106261859582,39.27893738140417,0.0,29.09090909090909,True,
rema_100150__rtt_5020,rema_100150,rtt_5020,rrg,rema_100150__rtt_5020,43,0,43,0,0,0,289,238,0.0,54.83870967741935,45.16129032258064,0.0,6.72093023255814,True,
rema_100150__rsma_50100,rema_100150,rsma_50100,rrg,rema_100150__rsma_50100,17,0,17,0,0,0,315,212,0.0,59.772296015180274,40.22770398481973,0.0,18.529411764705884,True,
rema_100150__rsma_100150,rema_100150,rsma_100150,rrg,rema_100150__rsma_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rema_100150__rsma_50100150,rema_100150,rsma_50100150,rrg,rema_100150__rsma_50100150,150,0,150,0,0,0,182,345,0.0,34.53510436432637,65.46489563567363,0.0,1.2133333333333334,True,
rema_100150__rema_50100,rema_100150,rema_50100,rrg,rema_100150__rema_50100,2,0,2,0,0,0,330,197,0.0,62.61859582542695,37.381404174573056,0.0,165.0,True,
rema_100150__rema_100150,rema_100150,rema_100150,rrg,rema_100150__rema_100150,1,0,1,0,0,0,331,196,0.0,62.808349146110054,37.19165085388994,0.0,331.0,True,
rema_100150__rema_50100150,rema_100150,rema_50100150,rrg,rema_100150__rema_50100150,165,0,165,0,0,0,167,360,0.0,31.688804554079695,68.3111954459203,0.0,1.0121212121212122,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,13,12,1,0,0,34,1,492,6.451612903225806,0.18975332068311196,93.35863377609108,2.8333333333333335,1.0,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,16,15,1,0,0,31,1,495,5.88235294117647,0.18975332068311196,93.92789373814043,2.066666666666667,1.0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,24,23,1,0,0,23,1,503,4.364326375711575,0.18975332068311196,95.44592030360532,1.0,1.0,True,
