equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rema_100150_equity_concave,13887.289499999968,38.87289499999969,-113.50460207360634,rsma_50100150__rema_100150,15.0,rsma_50100150__rema_100150_equity_concave
rema_100150__rema_50100150_equity_convex,13559.553600000001,35.595536,-57.612521213482424,rema_100150__rema_50100150,124.0,rema_100150__rema_50100150_equity_convex
rbo_50__rsma_50100150_equity_convex,12771.52360000001,27.715236000000097,-74.52133238266174,rbo_50__rsma_50100150,100.0,rbo_50__rsma_50100150_equity_convex
rbo_20__rsma_100150_equity_constant,12752.973100000007,27.52973100000007,-30.92260202800875,rbo_20__rsma_100150,24.0,rbo_20__rsma_100150_equity_constant
rema_50100__rema_50100150_equity_constant,12274.213699999993,22.74213699999994,-28.838167090596606,rema_50100__rema_50100150,129.0,rema_50100__rema_50100150_equity_constant
rema_50100150__rsma_100150_equity_constant,12158.319199999994,21.58319199999994,-22.76932496108746,rema_50100150__rsma_100150,24.0,rema_50100150__rsma_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,11828.726900000005,18.287269000000062,-22.03209540935113,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,11778.604700000007,17.78604700000006,-25.257070066934297,rtt_5020__rsma_100150,22.0,rtt_5020__rsma_100150_equity_constant
rsma_50100150__rema_100150_equity_convex,11752.378299999977,17.52378299999977,-80.35110495762184,rsma_50100150__rema_100150,15.0,rsma_50100150__rema_100150_equity_convex
rema_50100150__rbo_50_equity_constant,11726.822099999992,17.26822099999992,-19.40451873716097,rema_50100150__rbo_50,19.0,rema_50100150__rbo_50_equity_constant
rema_50100150__rbo_100_equity_constant,11631.413399999989,16.314133999999882,-18.76075639276216,rema_50100150__rbo_100,19.0,rema_50100150__rbo_100_equity_constant
rsma_100150__rema_50100150_equity_constant,11493.952900000006,14.939529000000062,-18.070709599129138,rsma_100150__rema_50100150,116.0,rsma_100150__rema_50100150_equity_constant
rbo_20__rbo_20_equity_constant,11452.628999999992,14.52628999999992,-23.04550859924042,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_constant
rbo_50__rsma_50100150_equity_concave,11410.994100000005,14.109941000000049,-77.23696503298753,rbo_50__rsma_50100150,100.0,rbo_50__rsma_50100150_equity_concave
rema_50100__rsma_100150_equity_constant,11365.958499999997,13.659584999999975,-26.83715710229358,rema_50100__rsma_100150,27.0,rema_50100__rsma_100150_equity_constant
rbo_100__rema_50100150_equity_constant,11304.896399999989,13.048963999999884,-24.50390910519777,rbo_100__rema_50100150,125.0,rbo_100__rema_50100150_equity_constant
rema_50100150__rsma_50100_equity_constant,11284.959399999987,12.849593999999875,-16.33402703370784,rema_50100150__rsma_50100,12.0,rema_50100150__rsma_50100_equity_constant
rema_50100150__rsma_50100150_equity_constant,11260.184900000006,12.601849000000055,-16.046730955129675,rema_50100150__rsma_50100150,7.0,rema_50100150__rsma_50100150_equity_constant
rema_50100150__rbo_20_equity_constant,11138.503200000005,11.38503200000005,-15.913146869768429,rema_50100150__rbo_20,13.0,rema_50100150__rbo_20_equity_constant
rema_50100__rema_100150_equity_constant,11094.040500000001,10.94040500000002,-27.481694540952184,rema_50100__rema_100150,20.0,rema_50100__rema_100150_equity_constant
rbo_100__rsma_100150_equity_constant,11084.672499999988,10.846724999999878,-23.286206428723908,rbo_100__rsma_100150,28.0,rbo_100__rsma_100150_equity_constant
rbo_50__rema_50100150_equity_constant,11068.876000000013,10.68876000000012,-25.293823283542018,rbo_50__rema_50100150,107.0,rbo_50__rema_50100150_equity_constant
rtt_5020__rbo_20_equity_constant,11015.087599999997,10.150875999999975,-18.33287670666207,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20_equity_constant
