combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,3,7,0,0,58,211,258,11.005692599620494,40.03795066413662,48.95635673624288,19.333333333333332,30.142857142857142,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,21,3,18,0,0,58,253,216,11.005692599620494,48.007590132827325,40.98671726755218,19.333333333333332,14.055555555555555,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,15,3,12,0,0,58,282,187,11.005692599620494,53.510436432637576,35.483870967741936,19.333333333333332,23.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,3,4,0,0,58,268,201,11.005692599620494,50.853889943074,38.1404174573055,19.333333333333332,67.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,29,3,25,1,0,60,285,182,11.385199240986717,54.079696394686906,34.53510436432637,20.0,11.4,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,24,7,15,1,1,55,266,206,10.436432637571158,50.47438330170778,39.08918406072106,7.857142857142857,17.733333333333334,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,85,8,76,1,0,55,172,300,10.436432637571158,32.63757115749525,56.92599620493358,6.875,2.263157894736842,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,21,4,15,1,1,58,283,186,11.005692599620494,53.70018975332068,35.294117647058826,14.5,18.866666666666667,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,25,7,16,1,1,55,297,175,10.436432637571158,56.35673624288425,33.206831119544596,7.857142857142857,18.5625,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,91,6,84,1,0,56,131,340,10.62618595825427,24.857685009487664,64.51612903225806,9.333333333333334,1.5595238095238095,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,42,12,30,0,0,68,206,253,12.903225806451612,39.08918406072106,48.007590132827325,5.666666666666667,6.866666666666666,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,77,236,214,14.61100569259962,44.78178368121442,40.60721062618596,25.666666666666668,118.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,5,3,2,0,0,77,271,179,14.61100569259962,51.423149905123346,33.96584440227704,25.666666666666668,135.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,77,236,214,14.61100569259962,44.78178368121442,40.60721062618596,25.666666666666668,118.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,18,3,14,1,0,79,275,173,14.990512333965844,52.18216318785579,32.82732447817837,26.333333333333332,19.642857142857142,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,26,7,17,1,1,74,251,202,14.041745730550284,47.6280834914611,38.33017077798861,10.571428571428571,14.764705882352942,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,100,8,91,1,0,74,170,283,14.041745730550284,32.25806451612903,53.70018975332068,9.25,1.8681318681318682,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,13,4,7,1,1,77,270,180,14.61100569259962,51.23339658444023,34.15559772296015,19.25,38.57142857142857,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,23,7,14,1,1,74,278,175,14.041745730550284,52.75142314990512,33.206831119544596,10.571428571428571,19.857142857142858,True,
