equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_50100_equity_concave,70071.58709999996,600.7158709999997,-90.5729886270706,rema_50100150__rsma_50100,25.0,rema_50100150__rsma_50100_equity_concave
rema_50100150__rbo_100_equity_concave,64663.08739999991,546.630873999999,-89.49993485969587,rema_50100150__rbo_100,24.0,rema_50100150__rbo_100_equity_concave
rsma_50100150__rbo_100_equity_concave,64663.08739999991,546.630873999999,-89.49993485969587,rsma_50100150__rbo_100,24.0,rsma_50100150__rbo_100_equity_concave
rema_50100150__rbo_20_equity_concave,64269.70540000001,542.6970540000001,-92.27464776123206,rema_50100150__rbo_20,41.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rbo_20_equity_concave,64269.70540000001,542.6970540000001,-92.27464776123206,rsma_50100150__rbo_20,41.0,rsma_50100150__rbo_20_equity_concave
rema_50100150__rema_50100_equity_concave,62841.253299999924,528.4125329999993,-89.9288049598017,rema_50100150__rema_50100,28.0,rema_50100150__rema_50100_equity_concave
rema_50100150__rsma_50100_equity_convex,57542.64720000002,475.4264720000002,-88.26810559008591,rema_50100150__rsma_50100,25.0,rema_50100150__rsma_50100_equity_convex
rema_50100150__rema_50100_equity_convex,56214.5778999999,462.14577899999904,-88.6753402582918,rema_50100150__rema_50100,28.0,rema_50100150__rema_50100_equity_convex
rema_50100150__rbo_100_equity_convex,54657.13949999997,446.5713949999997,-87.36517967592621,rema_50100150__rbo_100,24.0,rema_50100150__rbo_100_equity_convex
rsma_50100150__rbo_100_equity_convex,54657.13949999997,446.5713949999997,-87.36517967592621,rsma_50100150__rbo_100,24.0,rsma_50100150__rbo_100_equity_convex
rema_50100150__rbo_20_equity_convex,50579.403300000005,405.7940330000001,-88.51408248318315,rema_50100150__rbo_20,41.0,rema_50100150__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_convex,50579.403300000005,405.7940330000001,-88.51408248318315,rsma_50100150__rbo_20,41.0,rsma_50100150__rbo_20_equity_convex
rsma_50100150__rsma_50100_equity_concave,49729.024999999936,397.2902499999994,-87.80861102235035,rsma_50100150__rsma_50100,25.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100150__rsma_100150_equity_concave,49729.024999999936,397.2902499999994,-87.80861102235035,rsma_50100150__rsma_100150,25.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100150__rema_50100_equity_concave,49729.024999999936,397.2902499999994,-87.80861102235035,rsma_50100150__rema_50100,25.0,rsma_50100150__rema_50100_equity_concave
