combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,4,4,0,0,138,155,240,25.89118198874296,29.080675422138835,45.0281425891182,34.5,38.75,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,27,18,9,0,0,166,187,180,31.144465290806757,35.0844277673546,33.771106941838646,9.222222222222221,20.77777777777778,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,15,14,1,0,0,183,216,134,34.33395872420263,40.52532833020638,25.14071294559099,13.071428571428571,216.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,181,193,159,33.95872420262664,36.210131332082554,29.831144465290805,60.333333333333336,64.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,18,17,1,0,0,179,216,138,33.58348968105066,40.52532833020638,25.89118198874296,10.529411764705882,216.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,27,26,1,0,0,171,216,146,32.08255159474672,40.52532833020638,27.392120075046904,6.576923076923077,216.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,72,14,58,0,0,182,105,246,34.146341463414636,19.69981238273921,46.15384615384615,13.0,1.8103448275862069,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,19,18,1,0,0,179,216,138,33.58348968105066,40.52532833020638,25.89118198874296,9.944444444444445,216.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,32,31,1,0,0,166,216,151,31.144465290806757,40.52532833020638,28.330206378986865,5.354838709677419,216.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,72,14,58,0,0,183,105,245,34.33395872420263,19.69981238273921,45.96622889305816,13.071428571428571,1.8103448275862069,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,47,25,22,0,0,127,160,246,23.827392120075046,30.0187617260788,46.15384615384615,5.08,7.2727272727272725,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,6,3,3,0,0,149,180,204,27.954971857410882,33.771106941838646,38.27392120075047,49.666666666666664,60.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,169,216,148,31.70731707317073,40.52532833020638,27.76735459662289,169.0,216.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,6,3,3,0,0,149,180,204,27.954971857410882,33.771106941838646,38.27392120075047,49.666666666666664,60.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,4,3,1,0,0,166,216,151,31.144465290806757,40.52532833020638,28.330206378986865,55.333333333333336,216.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,13,12,1,0,0,158,216,159,29.643527204502814,40.52532833020638,29.831144465290805,13.166666666666666,216.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,82,14,68,0,0,155,115,263,29.080675422138835,21.575984990619137,49.34333958724203,11.071428571428571,1.6911764705882353,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,6,5,1,0,0,165,216,152,30.95684803001876,40.52532833020638,28.517823639774857,33.0,216.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,19,18,1,0,0,152,216,165,28.517823639774857,40.52532833020638,30.95684803001876,8.444444444444445,216.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,82,14,68,0,0,156,115,262,29.268292682926827,21.575984990619137,49.15572232645403,11.142857142857142,1.6911764705882353,True,
