equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_50100150_equity_concave,281333.8834999999,2713.3388349999987,-96.98379638242918,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rsma_50100150_equity_convex,220096.23069999996,2100.962307,-95.8878810385499,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rtt_5020__rsma_50100150_equity_convex,81051.45150000023,710.5145150000023,-94.28627204441898,rtt_5020__rsma_50100150,66.0,rtt_5020__rsma_50100150
rsma_50100150__rbo_50_equity_concave,77973.92929999995,679.7392929999995,-88.53136470552211,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50
rtt_5020__rsma_50100150_equity_concave,70566.28280000034,605.6628280000034,-94.67115005462217,rtt_5020__rsma_50100150,66.0,rtt_5020__rsma_50100150
rsma_50100150__rbo_50_equity_convex,64217.137700000036,542.1713770000003,-85.55454483354485,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50
rsma_50100150__rbo_20_equity_concave,64105.45560000003,541.0545560000003,-93.05896331078847,rsma_50100150__rbo_20,24.0,rsma_50100150__rbo_20
rema_50100150__rsma_50100150_equity_concave,61804.23849999995,518.0423849999995,-86.16113807800181,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150
rbo_50__rsma_50100150_equity_convex,60011.3048999999,500.11304899999897,-88.5128818264527,rbo_50__rsma_50100150,96.0,rbo_50__rsma_50100150
rsma_50100150__rtt_5020_equity_concave,54024.90980000001,440.24909800000006,-83.53268857217054,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020
rema_50100150__rsma_50100150_equity_convex,46492.868599999994,364.9286859999999,-81.10591814829048,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_convex,45137.4015,351.37401500000004,-86.2041600523211,rsma_50100150__rbo_20,24.0,rsma_50100150__rbo_20
rbo_50__rsma_50100150_equity_concave,44253.02329999991,342.5302329999991,-88.45325499738466,rbo_50__rsma_50100150,96.0,rbo_50__rsma_50100150
rsma_50100150__rtt_5020_equity_convex,41686.358100000005,316.86358100000007,-76.89524432388296,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020
rema_50100150__rtt_5020_equity_convex,35174.01429999998,251.74014299999982,-72.33488494514373,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rbo_20__rsma_50100150_equity_convex,35046.515000000036,250.46515000000036,-89.2645073972166,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rbo_50__rbo_50_equity_concave,34846.391599999995,248.46391599999995,-80.11126680452787,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rtt_5020__rbo_50_equity_concave,34846.391599999995,248.46391599999995,-80.11126680452787,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_concave,34846.391599999995,248.46391599999995,-80.11126680452787,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rbo_50__rtt_5020_equity_concave,34846.391599999995,248.46391599999995,-80.11126680452787,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rema_50100150__rbo_50_equity_concave,32866.91989999991,228.6691989999991,-75.13380889078375,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50
rbo_20__rtt_5020_equity_concave,32745.319099999982,227.4531909999998,-82.49917662393432,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020
rema_50100150__rbo_50_equity_convex,32194.679399999928,221.94679399999927,-69.65000427418983,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50
rbo_20__rsma_50100150_equity_concave,31739.924700000087,217.39924700000088,-91.1173164811412,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rema_50100150__rtt_5020_equity_concave,30064.589100000034,200.64589100000032,-72.64729961306143,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rbo_50__rtt_5020_equity_convex,29417.1044,194.171044,-76.23146899116165,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rtt_5020__rtt_5020_equity_convex,29417.1044,194.171044,-76.23146899116165,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_convex,29417.1044,194.171044,-76.23146899116165,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rbo_50__rbo_50_equity_convex,29417.1044,194.171044,-76.23146899116165,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rbo_20__rbo_50_equity_concave,26728.49570000001,167.28495700000013,-76.30359170866554,rbo_20__rbo_50,20.0,rbo_20__rbo_50
rema_50100150__rema_50100150_equity_concave,25941.500000000004,159.41500000000005,-65.40559282107378,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rbo_20__rtt_5020_equity_convex,22952.506899999997,129.52506899999997,-74.87676948703502,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020
rbo_20__rbo_50_equity_convex,22056.760600000005,120.56760600000005,-67.72509559567052,rbo_20__rbo_50,20.0,rbo_20__rbo_50
rsma_50100150__rema_50100150_equity_concave,21999.79380000001,119.99793800000012,-78.36395177970576,rsma_50100150__rema_50100150,48.0,rsma_50100150__rema_50100150
rsma_50100150__rema_50100150_equity_convex,21514.638399999996,115.14638399999994,-68.95178641516588,rsma_50100150__rema_50100150,48.0,rsma_50100150__rema_50100150
rbo_50__rbo_20_equity_convex,20714.600099999938,107.14600099999939,-82.48679302385382,rbo_50__rbo_20,41.0,rbo_50__rbo_20
rema_50100150__rema_50100150_equity_convex,20660.552200000006,106.60552200000004,-55.350577996813975,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rema_50100150__rbo_100_equity_convex,19719.568099999968,97.19568099999967,-54.350115577518544,rema_50100150__rbo_100,32.0,rema_50100150__rbo_100
rbo_100__rsma_50100150_equity_convex,17073.515099999993,70.73515099999995,-71.66925665798897,rbo_100__rsma_50100150,89.0,rbo_100__rsma_50100150
rema_50100150__rbo_20_equity_convex,16896.578899999986,68.96578899999986,-64.67837607463522,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20
rbo_50__rbo_20_equity_concave,16402.16469999991,64.0216469999991,-84.40391065309937,rbo_50__rbo_20,41.0,rbo_50__rbo_20
rsma_50100150__rsma_50100150_equity_constant,16378.505900000006,63.78505900000007,-39.30800836170565,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rema_50100150__rbo_100_equity_concave,16012.036299999965,60.12036299999966,-73.2837506488837,rema_50100150__rbo_100,32.0,rema_50100150__rbo_100
rema_50100150__rbo_20_equity_concave,14877.810300000017,48.778103000000186,-73.3489854618217,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20
rbo_50__rsma_50100150_equity_constant,14711.992399999985,47.11992399999985,-33.17069119304,rbo_50__rsma_50100150,96.0,rbo_50__rsma_50100150
rbo_20__rsma_50100150_equity_constant,14122.77480000001,41.227748000000105,-37.81727239068747,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rsma_50100150__rbo_20_equity_constant,14113.208600000016,41.13208600000016,-36.900312321655804,rsma_50100150__rbo_20,24.0,rsma_50100150__rbo_20
rbo_100__rtt_5020_equity_convex,14038.541700000003,40.385417000000025,-74.1677702137068,rbo_100__rtt_5020,16.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,14038.541700000003,40.385417000000025,-74.1677702137068,rbo_100__rbo_50,16.0,rbo_100__rbo_50
rbo_100__rsma_50100150_equity_concave,13988.659000000027,39.886590000000275,-77.28330358540344,rbo_100__rsma_50100150,89.0,rbo_100__rsma_50100150
rema_50100150__rtt_5020_equity_constant,13970.202300000008,39.702023000000075,-28.861272139154675,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rtt_5020__rsma_50100150_equity_constant,13949.274799999996,39.492747999999956,-35.221052276579805,rtt_5020__rsma_50100150,66.0,rtt_5020__rsma_50100150
rsma_50100150__rtt_5020_equity_constant,13769.511400000009,37.695114000000096,-29.30278291649484,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_50_equity_constant,13747.360699999992,37.47360699999991,-27.702401627170197,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50
rbo_100__rtt_5020_equity_concave,13704.007500000016,37.04007500000015,-74.73958223593556,rbo_100__rtt_5020,16.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_concave,13704.007500000016,37.04007500000015,-74.73958223593556,rbo_100__rbo_50,16.0,rbo_100__rbo_50
rema_50100150__rbo_50_equity_constant,13415.141599999995,34.151415999999955,-25.90955962205545,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50
rbo_20__rtt_5020_equity_constant,13164.9869,31.649868999999995,-27.556261017325223,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020
rema_50100150__rsma_50100150_equity_constant,13060.430799999998,30.604307999999982,-24.837206785245993,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150
rtt_5020__rbo_20_equity_convex,12607.149600000028,26.071496000000273,-77.98238391046362,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rbo_20__rbo_50_equity_constant,12575.814000000002,25.75814000000003,-24.36171215913506,rbo_20__rbo_50,20.0,rbo_20__rbo_50
rema_50100150__rbo_20_equity_constant,12464.051300000003,24.64051300000003,-27.756554499711182,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20
rbo_50__rtt_5020_equity_constant,12254.9689,22.549689000000008,-21.150181664529875,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rtt_5020__rbo_50_equity_constant,12254.9689,22.549689000000008,-21.150181664529875,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_constant,12254.9689,22.549689000000008,-21.150181664529875,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rbo_50__rbo_50_equity_constant,12254.9689,22.549689000000008,-21.150181664529875,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rtt_5020__rbo_20_equity_concave,12244.271700000018,22.44271700000018,-80.96148713836985,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rema_50100150__rbo_100_equity_constant,12120.123999999989,21.2012399999999,-17.996201092011706,rema_50100150__rbo_100,32.0,rema_50100150__rbo_100
rbo_50__rbo_20_equity_constant,12078.604399999998,20.786043999999993,-25.53608413247952,rbo_50__rbo_20,41.0,rbo_50__rbo_20
rsma_50100150__rema_50100150_equity_constant,11901.05069999999,19.01050699999991,-21.338629552696407,rsma_50100150__rema_50100150,48.0,rsma_50100150__rema_50100150
rbo_50__rema_50100150_equity_convex,11727.790900000075,17.277909000000747,-71.582801975708,rbo_50__rema_50100150,128.0,rbo_50__rema_50100150
rema_50100150__rema_50100150_equity_constant,11257.792799999996,12.57792799999995,-12.405542297550392,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rbo_20__rbo_20_equity_constant,11120.909499999985,11.209094999999847,-27.083732634388358,rbo_20__rbo_20,9.0,rbo_20__rbo_20
rbo_100__rsma_50100150_equity_constant,11097.321500000004,10.973215000000035,-21.465830513867772,rbo_100__rsma_50100150,89.0,rbo_100__rsma_50100150
rsma_50100150__rbo_100_equity_convex,10980.586699999998,9.80586699999999,-68.6896690829926,rsma_50100150__rbo_100,39.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_constant,10904.403399999981,9.044033999999801,-25.979579037892215,rsma_50100150__rbo_100,39.0,rsma_50100150__rbo_100
rbo_50__rema_50100150_equity_concave,10582.66740000009,5.826674000000898,-77.36410264890996,rbo_50__rema_50100150,128.0,rbo_50__rema_50100150
rsma_50100150_equity_equal,10557.44699999997,5.574469999999687,-6.587674154853753,rsma_50100150,,rsma_50100150
rbo_100__rbo_50_equity_constant,10439.839400000006,4.398394000000061,-24.7898179819993,rbo_100__rbo_50,16.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_constant,10439.839400000006,4.398394000000061,-24.7898179819993,rbo_100__rtt_5020,16.0,rbo_100__rtt_5020
rsma_50100150__rsma_50100150_equity_equal,10423.563299999993,4.2356329999999165,-4.157671824233013,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rema_50100150__rtt_5020_equity_equal,10383.759700000011,3.8375970000001036,-3.7647517809055584,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rbo_100__rbo_20_equity_constant,10341.289800000011,3.4128980000001086,-23.90933648745343,rbo_100__rbo_20,51.0,rbo_100__rbo_20
rsma_50100150__rtt_5020_equity_equal,10339.362100000011,3.3936210000001132,-3.3615854029690335,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020
rema_50100150__rbo_50_equity_equal,10333.649200000013,3.336492000000124,-3.2984184214580123,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50
rbo_50__rsma_50100150_equity_equal,10322.887299999999,3.2288729999999877,-3.2727452118662037,rbo_50__rsma_50100150,96.0,rbo_50__rsma_50100150
rsma_50100150__rbo_50_equity_equal,10319.331400000012,3.1933140000001137,-3.1643442361535428,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50
rbo_20__rtt_5020_equity_equal,10301.523100000011,3.015231000000118,-3.4019453201439407,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020
rrg_equity_equal,10294.536700000017,2.9453670000001653,-3.0491518282024948,rrg,,rrg
rbo_20__rsma_50100150_equity_equal,10289.074800000002,2.8907480000000207,-3.654583878920884,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150
rema_50100150__rsma_50100150_equity_equal,10286.048099999998,2.8604809999999814,-2.979788545807399,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_equal,10278.3585,2.7835849999999995,-3.546349774089924,rsma_50100150__rbo_20,24.0,rsma_50100150__rbo_20
rbo_20__rbo_50_equity_equal,10253.006500000016,2.530065000000148,-2.822779757667308,rbo_20__rbo_50,20.0,rbo_20__rbo_50
rtt_5020__rbo_20_equity_constant,10248.679400000005,2.4867940000000477,-23.053281675969018,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rtt_5020__rsma_50100150_equity_equal,10243.403199999997,2.434031999999964,-3.106159117940823,rtt_5020__rsma_50100150,66.0,rtt_5020__rsma_50100150
rema_50100150__rbo_100_equity_equal,10237.930000000006,2.379300000000062,-2.394966906671975,rema_50100150__rbo_100,32.0,rema_50100150__rbo_100
rema_50100150__rbo_20_equity_equal,10237.182599999998,2.371825999999988,-3.4678843974243776,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20
rtt_5020__rbo_50_equity_equal,10221.030700000012,2.2103070000001113,-2.4810445820169424,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rbo_50__rtt_5020_equity_equal,10221.030700000012,2.2103070000001113,-2.4810445820169424,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rtt_5020__rtt_5020_equity_equal,10221.030700000012,2.2103070000001113,-2.4810445820169424,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rbo_50__rbo_50_equity_equal,10221.030700000012,2.2103070000001113,-2.4810445820169424,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rbo_50__rbo_20_equity_equal,10181.519000000006,1.8151900000000554,-2.5367555660045205,rbo_50__rbo_20,41.0,rbo_50__rbo_20
rsma_50100150__rema_50100150_equity_equal,10172.4532,1.7245320000000008,-2.0618100782680933,rsma_50100150__rema_50100150,48.0,rsma_50100150__rema_50100150
rbo_50__rema_50100150_equity_constant,10151.795000000013,1.5179500000001234,-20.3378894093935,rbo_50__rema_50100150,128.0,rbo_50__rema_50100150
rsma_50100150__rbo_100_equity_equal,10139.302600000019,1.393026000000197,-2.1384338685477995,rsma_50100150__rbo_100,39.0,rsma_50100150__rbo_100
rbo_20__rbo_20_equity_equal,10127.369,1.2736900000000162,-3.1015742603969914,rbo_20__rbo_20,9.0,rbo_20__rbo_20
rema_50100150__rema_50100150_equity_equal,10119.997800000001,1.1999780000000015,-1.341844638168521,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rbo_100__rsma_50100150_equity_equal,10083.641600000006,0.836416000000062,-1.8629011208180366,rbo_100__rsma_50100150,89.0,rbo_100__rsma_50100150
rbo_50_equity_equal,10079.317900000007,0.793179000000066,-2.891060809489627,rbo_50,,rbo_50
rtt_5020__rbo_20_equity_equal,10046.876600000001,0.46876600000000934,-2.175416220775053,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rbo_50__rema_50100150_equity_equal,10044.926400000004,0.4492640000000492,-1.6243468005159614,rbo_50__rema_50100150,128.0,rbo_50__rema_50100150
rbo_100__rbo_50_equity_equal,10021.100700000015,0.21100700000016293,-2.2677558391993924,rbo_100__rbo_50,16.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_equal,10021.100700000015,0.21100700000016293,-2.2677558391993924,rbo_100__rtt_5020,16.0,rbo_100__rtt_5020
rbo_100__rbo_20_equity_equal,10012.23170000001,0.12231700000009393,-2.256145730603153,rbo_100__rbo_20,51.0,rbo_100__rbo_20
rbo_20__rema_50100150_equity_equal,10000.192500000005,0.001925000000047028,-1.6587399249758599,rbo_20__rema_50100150,103.0,rbo_20__rema_50100150
rtt_5020_equity_equal,10000.100600000003,0.0010060000000366998,-2.9531632748540684,rtt_5020,,rtt_5020
rtt_5020__rbo_100_equity_equal,9997.320000000016,-0.026799999999838064,-3.0958702194572365,rtt_5020__rbo_100,31.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_equal,9996.948000000017,-0.030519999999834013,-3.0995123828560773,rbo_50__rbo_100,34.0,rbo_50__rbo_100
rbo_100__rema_50100150_equity_equal,9989.730000000009,-0.1026999999999112,-2.325336055861168,rbo_100__rema_50100150,115.0,rbo_100__rema_50100150
rtt_5020__rema_50100150_equity_equal,9984.697500000002,-0.15302499999998442,-1.5166881359293587,rtt_5020__rema_50100150,94.0,rtt_5020__rema_50100150
rema_50100150_equity_equal,9971.938099999994,-0.2806190000000597,-2.92875964307811,rema_50100150,,rema_50100150
rbo_100__rbo_100_equity_equal,9963.425100000017,-0.36574899999983757,-2.8359044726252542,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rtt_5020__rbo_100_equity_constant,9959.051899999991,-0.40948100000008925,-34.32730033081874,rtt_5020__rbo_100,31.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_constant,9954.091899999989,-0.45908100000011665,-34.364479393429654,rbo_50__rbo_100,34.0,rbo_50__rbo_100
rbo_20__rbo_100_equity_equal,9930.081000000018,-0.6991899999998163,-2.9383570782466713,rbo_20__rbo_100,49.0,rbo_20__rbo_100
rbo_20_equity_equal,9921.323299999991,-0.7867670000000881,-4.29001267528758,rbo_20,,rbo_20
rbo_100__rbo_20_equity_convex,9868.707799999951,-1.3129220000004937,-82.87917588014254,rbo_100__rbo_20,51.0,rbo_100__rbo_20
rbo_100_equity_equal,9690.23040000002,-3.0976959999997944,-4.486527857797543,rbo_100,,rbo_100
rbo_100__rema_50100150_equity_constant,9629.858799999995,-3.7014120000000594,-26.84233071078311,rbo_100__rema_50100150,115.0,rbo_100__rema_50100150
rbo_20__rema_50100150_equity_constant,9460.768700000008,-5.392312999999927,-19.29727213471563,rbo_20__rema_50100150,103.0,rbo_20__rema_50100150
rtt_5020_equity_constant,9433.223999999991,-5.667760000000088,-29.009265791467815,rtt_5020,,rtt_5020
rbo_100__rbo_100_equity_constant,9413.10520000001,-5.868947999999897,-31.965531274888537,rbo_100__rbo_100,3.0,rbo_100__rbo_100
