equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_20_equity_concave,30982.026100000065,209.82026100000067,-72.50860145458861,rbo_20__rbo_20,8.0,rbo_20__rbo_20_equity_concave
rema_50100150__rbo_20_equity_concave,26539.358499999966,165.3935849999997,-70.9579991592515,rema_50100150__rbo_20,34.0,rema_50100150__rbo_20_equity_concave
rbo_20__rbo_20_equity_convex,26396.714900000035,163.96714900000035,-67.33128252513374,rbo_20__rbo_20,8.0,rbo_20__rbo_20_equity_convex
rbo_20__rema_50100150_equity_convex,25460.995000000043,154.60995000000045,-67.10534942126175,rbo_20__rema_50100150,62.0,rbo_20__rema_50100150_equity_convex
rbo_20__rema_50100150_equity_concave,25223.40600000004,152.23406000000037,-70.40874674760703,rbo_20__rema_50100150,62.0,rbo_20__rema_50100150_equity_concave
rema_50100150__rbo_20_equity_convex,22855.54299999998,128.5554299999998,-65.59797604911827,rema_50100150__rbo_20,34.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rtt_5020_equity_concave,22491.275699999962,124.91275699999962,-70.9579991592515,rema_50100150__rtt_5020,26.0,rema_50100150__rtt_5020_equity_concave
rbo_20__rsma_50100150_equity_concave,21793.039000000044,117.93039000000043,-66.37059575853368,rbo_20__rsma_50100150,71.0,rbo_20__rsma_50100150_equity_concave
rbo_20__rsma_50100150_equity_convex,21149.576600000015,111.49576600000013,-61.228706764970866,rbo_20__rsma_50100150,71.0,rbo_20__rsma_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,20823.932500000003,108.23932500000004,-70.80304357132172,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,20685.5214,106.855214,-69.56132416555725,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rtt_5020__rbo_20_equity_concave,19921.779800000026,99.21779800000026,-71.60781389583903,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_concave
rema_50100150__rtt_5020_equity_convex,19903.293799999956,99.03293799999955,-65.59797604911827,rema_50100150__rtt_5020,26.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rsma_50100150_equity_convex,19650.03649999996,96.50036499999959,-65.54792000614263,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_50100150_equity_concave,19065.210199999976,90.65210199999976,-69.0718658064381,rema_50100150__rsma_50100150,14.0,rema_50100150__rsma_50100150_equity_concave
rsma_50100150__rbo_20_equity_convex,17685.913799999962,76.85913799999962,-65.59797604911827,rsma_50100150__rbo_20,41.0,rsma_50100150__rbo_20_equity_convex
rtt_5020__rbo_20_equity_convex,17532.74390000001,75.3274390000001,-69.1330755641786,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_concave,17391.757499999934,73.91757499999933,-70.9579991592515,rsma_50100150__rbo_20,41.0,rsma_50100150__rbo_20_equity_concave
rtt_5020__rema_50100150_equity_convex,17027.76800000002,70.27768000000019,-54.29657770135592,rtt_5020__rema_50100150,53.0,rtt_5020__rema_50100150_equity_convex
rtt_5020__rema_50100150_equity_concave,16705.36410000001,67.05364100000011,-58.987109774346266,rtt_5020__rema_50100150,53.0,rtt_5020__rema_50100150_equity_concave
rbo_20__rtt_5020_equity_convex,16581.0751,65.81075099999998,-67.33128252513374,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020_equity_convex
rbo_20__rtt_5020_equity_concave,16573.972600000016,65.73972600000016,-67.33128252513374,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020_equity_concave
rsma_50100150__rtt_5020_equity_concave,16562.973399999973,65.62973399999974,-70.9579991592515,rsma_50100150__rtt_5020,29.0,rsma_50100150__rtt_5020_equity_concave
rema_50100150__rbo_50_equity_concave,14907.824299999964,49.07824299999963,-66.98059585058296,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50_equity_concave
rsma_50100150__rtt_5020_equity_convex,14724.258099999985,47.24258099999985,-65.59797604911827,rsma_50100150__rtt_5020,29.0,rsma_50100150__rtt_5020_equity_convex
rtt_5020__rsma_50100150_equity_concave,14286.825100000002,42.86825100000002,-59.84616197595637,rtt_5020__rsma_50100150,62.0,rtt_5020__rsma_50100150_equity_concave
rema_50100150__rbo_50_equity_convex,14208.99629999997,42.0899629999997,-57.92190950257883,rema_50100150__rbo_50,27.0,rema_50100150__rbo_50_equity_convex
rtt_5020__rsma_50100150_equity_convex,13988.316600000006,39.88316600000006,-51.30486963636359,rtt_5020__rsma_50100150,62.0,rtt_5020__rsma_50100150_equity_convex
rsma_50100150__rema_50100150_equity_convex,13668.613600000008,36.68613600000008,-66.44236643720393,rsma_50100150__rema_50100150,11.0,rsma_50100150__rema_50100150_equity_convex
rsma_50100150__rema_50100150_equity_concave,13502.28600000003,35.0228600000003,-67.63696514514417,rsma_50100150__rema_50100150,11.0,rsma_50100150__rema_50100150_equity_concave
rtt_5020_equity_concave,13336.71260000002,33.367126000000205,-79.89912571337616,rtt_5020,,rtt_5020_equity_concave
rsma_50100__rema_50100150_equity_convex,13119.685800000003,31.196858000000027,-53.375419447381034,rsma_50100__rema_50100150,95.0,rsma_50100__rema_50100150_equity_convex
rema_50100150__rsma_50100_equity_concave,13025.871699999989,30.25871699999989,-63.127746750516266,rema_50100150__rsma_50100,13.0,rema_50100150__rsma_50100_equity_concave
rema_50100150__rsma_50100_equity_convex,12489.524400000004,24.895244000000048,-51.45452292353855,rema_50100150__rsma_50100,13.0,rema_50100150__rsma_50100_equity_convex
