combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,2,6,0,0,73,130,336,13.543599257884972,24.118738404452692,62.33766233766234,36.5,21.666666666666668,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,14,3,11,0,0,76,166,297,14.100185528756956,30.79777365491651,55.10204081632652,25.333333333333332,15.090909090909092,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,7,6,1,0,0,103,221,215,19.109461966604822,41.00185528756957,39.888682745825605,17.166666666666668,221.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,2,3,0,0,77,175,287,14.285714285714285,32.467532467532465,53.246753246753244,38.5,58.333333333333336,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,76,19,57,0,0,90,98,351,16.697588126159555,18.181818181818183,65.12059369202227,4.7368421052631575,1.719298245614035,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,68,8,60,0,0,101,88,350,18.738404452690165,16.3265306122449,64.93506493506493,12.625,1.4666666666666666,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,28,3,25,0,0,72,135,332,13.358070500927644,25.04638218923933,61.59554730983302,24.0,5.4,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,74,158,307,13.729128014842301,29.313543599257883,56.95732838589982,74.0,79.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,6,5,0,1,0,102,222,215,18.923933209647494,41.1873840445269,39.888682745825605,20.4,0.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,74,158,307,13.729128014842301,29.313543599257883,56.95732838589982,74.0,79.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,78,19,58,1,0,88,101,350,16.3265306122449,18.738404452690165,64.93506493506493,4.631578947368421,1.7413793103448276,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,73,8,64,1,0,99,94,346,18.367346938775512,17.439703153988866,64.19294990723562,12.375,1.46875,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,67,19,48,0,0,79,174,286,14.656771799628942,32.28200371057514,53.06122448979592,4.157894736842105,3.625,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,50,17,33,0,0,81,189,269,15.0278293135436,35.064935064935064,49.90723562152134,4.764705882352941,5.7272727272727275,True,
