equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100__rema_100150_equity_convex,74015.46619999998,640.1546619999998,-94.53498217361943,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_convex
rema_50100__rema_100150_equity_concave,74015.46619999998,640.1546619999998,-94.53498217361943,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_concave
rema_50100__rsma_100150_equity_concave,74015.46619999998,640.1546619999998,-94.53498217361943,rema_50100__rsma_100150,1.0,rema_50100__rsma_100150_equity_concave
rema_50100__rsma_100150_equity_convex,74015.46619999998,640.1546619999998,-94.53498217361943,rema_50100__rsma_100150,1.0,rema_50100__rsma_100150_equity_convex
rsma_50100__rema_100150_equity_concave,74015.46619999998,640.1546619999998,-94.53498217361943,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_concave
rsma_50100__rsma_100150_equity_convex,74015.46619999998,640.1546619999998,-94.53498217361943,rsma_50100__rsma_100150,1.0,rsma_50100__rsma_100150_equity_convex
rsma_50100__rsma_100150_equity_concave,74015.46619999998,640.1546619999998,-94.53498217361943,rsma_50100__rsma_100150,1.0,rsma_50100__rsma_100150_equity_concave
rsma_50100__rema_100150_equity_convex,74015.46619999998,640.1546619999998,-94.53498217361943,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_convex
rbo_20__rema_100150_equity_concave,65453.02750000004,554.5302750000004,-94.48535178837153,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_concave
rbo_20__rsma_100150_equity_convex,65453.02750000004,554.5302750000004,-94.48535178837153,rbo_20__rsma_100150,1.0,rbo_20__rsma_100150_equity_convex
rbo_20__rsma_100150_equity_concave,65453.02750000004,554.5302750000004,-94.48535178837153,rbo_20__rsma_100150,1.0,rbo_20__rsma_100150_equity_concave
rbo_20__rema_100150_equity_convex,65453.02750000004,554.5302750000004,-94.48535178837153,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_convex
rsma_50100__rbo_100_equity_concave,65450.83059999997,554.5083059999997,-94.53498217361943,rsma_50100__rbo_100,2.0,rsma_50100__rbo_100_equity_concave
rsma_50100__rbo_100_equity_convex,64705.08339999997,547.0508339999997,-94.53498217361943,rsma_50100__rbo_100,2.0,rsma_50100__rbo_100_equity_convex
rema_50100__rbo_100_equity_concave,64573.02689999998,545.7302689999998,-94.53498217361943,rema_50100__rbo_100,4.0,rema_50100__rbo_100_equity_concave
rema_50100__rbo_100_equity_convex,64026.27159999997,540.2627159999997,-94.53498217361943,rema_50100__rbo_100,4.0,rema_50100__rbo_100_equity_convex
rbo_20__rbo_100_equity_convex,54391.475500000015,443.9147550000001,-94.48535178837153,rbo_20__rbo_100,4.0,rbo_20__rbo_100_equity_convex
rbo_20__rbo_100_equity_concave,54313.476400000014,443.13476400000013,-94.48535178837153,rbo_20__rbo_100,4.0,rbo_20__rbo_100_equity_concave
rema_50100__rsma_50100_equity_concave,53577.67000000005,435.7767000000005,-95.00520475782287,rema_50100__rsma_50100,19.0,rema_50100__rsma_50100_equity_concave
rema_50100__rsma_50100150_equity_concave,53577.67000000005,435.7767000000005,-95.00520475782287,rema_50100__rsma_50100150,19.0,rema_50100__rsma_50100150_equity_concave
rtt_5020__rsma_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rtt_5020__rsma_100150,1.0,rtt_5020__rsma_100150_equity_convex
rbo_50__rema_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_convex
rbo_100__rsma_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_100__rsma_100150,1.0,rbo_100__rsma_100150_equity_convex
rbo_100__rsma_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_100__rsma_100150,1.0,rbo_100__rsma_100150_equity_concave
rbo_50__rema_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_concave
rbo_100__rema_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_convex
rbo_100__rema_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_concave
rbo_50__rsma_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_50__rsma_100150,1.0,rbo_50__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rbo_50__rsma_100150,1.0,rbo_50__rsma_100150_equity_concave
rtt_5020__rema_100150_equity_convex,45588.44140000001,355.88441400000016,-97.20244532312627,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_convex
rtt_5020__rema_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_concave
rtt_5020__rsma_100150_equity_concave,45588.44140000001,355.88441400000016,-97.20244532312627,rtt_5020__rsma_100150,1.0,rtt_5020__rsma_100150_equity_concave
rema_50100__rsma_50100_equity_convex,44196.478500000085,341.96478500000086,-92.48347336625233,rema_50100__rsma_50100,19.0,rema_50100__rsma_50100_equity_convex
rema_50100__rsma_50100150_equity_convex,44196.478500000085,341.96478500000086,-92.48347336625233,rema_50100__rsma_50100150,19.0,rema_50100__rsma_50100150_equity_convex
rbo_20__rsma_50100_equity_concave,42638.1586,326.381586,-94.30231528561318,rbo_20__rsma_50100,18.0,rbo_20__rsma_50100_equity_concave
rbo_20__rsma_50100150_equity_concave,42638.1586,326.381586,-94.30231528561318,rbo_20__rsma_50100150,18.0,rbo_20__rsma_50100150_equity_concave
rbo_50__rbo_100_equity_concave,38288.48440000001,282.88484400000004,-97.20244532312627,rbo_50__rbo_100,1.0,rbo_50__rbo_100_equity_concave
rtt_5020__rbo_100_equity_convex,38288.48440000001,282.88484400000004,-97.20244532312627,rtt_5020__rbo_100,1.0,rtt_5020__rbo_100_equity_convex
rbo_50__rbo_100_equity_convex,38288.48440000001,282.88484400000004,-97.20244532312627,rbo_50__rbo_100,1.0,rbo_50__rbo_100_equity_convex
rbo_100__rbo_100_equity_convex,38288.48440000001,282.88484400000004,-97.20244532312627,rbo_100__rbo_100,1.0,rbo_100__rbo_100_equity_convex
rtt_5020__rbo_100_equity_concave,38288.48440000001,282.88484400000004,-97.20244532312627,rtt_5020__rbo_100,1.0,rtt_5020__rbo_100_equity_concave
rbo_100__rbo_100_equity_concave,38288.48440000001,282.88484400000004,-97.20244532312627,rbo_100__rbo_100,1.0,rbo_100__rbo_100_equity_concave
rbo_20__rsma_50100_equity_convex,37112.14899999997,271.12148999999965,-92.08343764888647,rbo_20__rsma_50100,18.0,rbo_20__rsma_50100_equity_convex
