combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,8,0,0,0,243,0,302,44.587155963302756,0.0,55.41284403669725,30.375,0.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,9,9,0,0,0,340,0,205,62.38532110091744,0.0,37.61467889908257,37.77777777777778,0.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,1,1,0,0,0,422,0,123,77.43119266055047,0.0,22.568807339449542,422.0,0.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,3,0,0,0,346,0,199,63.48623853211009,0.0,36.51376146788991,115.33333333333333,0.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,15,15,0,0,0,406,0,139,74.49541284403671,0.0,25.504587155963304,27.066666666666666,0.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,2,2,0,0,0,428,0,117,78.53211009174312,0.0,21.467889908256883,214.0,0.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,59,51,8,0,0,265,8,272,48.62385321100918,1.4678899082568808,49.908256880733944,5.196078431372549,1.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,314,15,216,57.61467889908257,2.7522935779816518,39.633027522935784,104.66666666666667,15.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,403,15,127,73.94495412844037,2.7522935779816518,23.30275229357798,403.0,15.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,314,15,216,57.61467889908257,2.7522935779816518,39.633027522935784,104.66666666666667,15.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,11,10,1,0,0,381,15,149,69.90825688073394,2.7522935779816518,27.339449541284406,38.1,15.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,3,2,1,0,0,407,15,123,74.6788990825688,2.7522935779816518,22.568807339449542,203.5,15.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,96,88,8,0,0,316,8,221,57.98165137614679,1.4678899082568808,40.550458715596335,3.590909090909091,1.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,47,46,1,0,0,358,15,172,65.68807339449542,2.7522935779816518,31.55963302752294,7.782608695652174,15.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,403,15,127,73.94495412844037,2.7522935779816518,23.30275229357798,403.0,15.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,40,39,1,0,0,365,15,165,66.97247706422019,2.7522935779816518,30.275229357798167,9.35897435897436,15.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,18,17,1,0,0,389,15,141,71.37614678899082,2.7522935779816518,25.871559633027523,22.88235294117647,15.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,3,2,1,0,0,409,15,121,75.04587155963303,2.7522935779816518,22.201834862385322,204.5,15.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,7,0,0,0,219,0,326,40.18348623853211,0.0,59.816513761467895,31.285714285714285,0.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,3,0,0,0,314,0,231,57.61467889908257,0.0,42.38532110091743,104.66666666666667,0.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,1,1,0,0,0,403,0,142,73.94495412844037,0.0,26.055045871559635,403.0,0.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,3,0,0,0,314,0,231,57.61467889908257,0.0,42.38532110091743,104.66666666666667,0.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,10,10,0,0,0,381,0,164,69.90825688073394,0.0,30.091743119266056,38.1,0.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,2,2,0,0,0,407,0,138,74.6788990825688,0.0,25.321100917431195,203.5,0.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,88,80,8,0,0,258,8,279,47.33944954128441,1.4678899082568808,51.19266055045871,3.225,1.0,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,40,39,1,0,0,299,15,231,54.862385321100916,2.7522935779816518,42.38532110091743,7.666666666666667,15.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,3,2,1,0,0,368,15,162,67.52293577981652,2.7522935779816518,29.724770642201836,184.0,15.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,39,38,1,0,0,300,15,230,55.04587155963303,2.7522935779816518,42.201834862385326,7.894736842105263,15.0,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,3,2,1,0,0,337,15,193,61.8348623853211,2.7522935779816518,35.41284403669725,168.5,15.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,3,2,1,0,0,373,15,157,68.44036697247707,2.7522935779816518,28.807339449541285,186.5,15.0,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,92,84,8,0,0,290,8,247,53.21100917431193,1.4678899082568808,45.321100917431195,3.4523809523809526,1.0,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,50,49,1,0,0,324,15,206,59.44954128440367,2.7522935779816518,37.79816513761468,6.612244897959184,15.0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,5,4,1,0,0,370,15,160,67.88990825688074,2.7522935779816518,29.357798165137616,92.5,15.0,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,43,42,1,0,0,331,15,199,60.73394495412844,2.7522935779816518,36.51376146788991,7.880952380952381,15.0,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,20,19,1,0,0,355,15,175,65.13761467889908,2.7522935779816518,32.11009174311927,18.68421052631579,15.0,True,
rema_50100150__rema_50100150,rema_50100150,rema_50100150,rrg,rema_50100150__rema_50100150,3,2,1,0,0,373,15,157,68.44036697247707,2.7522935779816518,28.807339449541285,186.5,15.0,True,
