equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rsma_50100150_equity_concave,36756.78369999996,267.56783699999966,-93.81316678334582,rbo_100__rsma_50100150,101.0,rbo_100__rsma_50100150_equity_concave
rbo_100__rsma_50100150_equity_convex,36661.263299999955,266.61263299999956,-92.44097466810501,rbo_100__rsma_50100150,101.0,rbo_100__rsma_50100150_equity_convex
rbo_100__rema_50100150_equity_concave,36198.96479999999,261.9896479999999,-94.12090479471593,rbo_100__rema_50100150,80.0,rbo_100__rema_50100150_equity_concave
rbo_100__rema_50100150_equity_convex,28162.470300000037,181.62470300000035,-91.88373557495336,rbo_100__rema_50100150,80.0,rbo_100__rema_50100150_equity_convex
rbo_50__rbo_100_equity_concave,25725.728199999947,157.25728199999946,-99.60742640105312,rbo_50__rbo_100,3.0,rbo_50__rbo_100_equity_concave
rtt_5020__rbo_100_equity_concave,25725.728199999947,157.25728199999946,-99.60742640105312,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100_equity_concave
rbo_50__rbo_50_equity_concave,25119.400500000025,151.19400500000023,-99.38525894490829,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_concave
rtt_5020__rbo_50_equity_concave,25119.400500000025,151.19400500000023,-99.38525894490829,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,25119.400500000025,151.19400500000023,-99.38525894490829,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020_equity_concave
rbo_50__rtt_5020_equity_concave,25119.400500000025,151.19400500000023,-99.38525894490829,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_concave
rbo_50__rbo_100_equity_convex,24966.739799999996,149.66739799999996,-99.5863875036091,rbo_50__rbo_100,3.0,rbo_50__rbo_100_equity_convex
rtt_5020__rbo_100_equity_convex,24966.739799999996,149.66739799999996,-99.5863875036091,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100_equity_convex
rbo_50__rbo_50_equity_convex,24894.2511,148.942511,-99.37861723033386,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_convex
rtt_5020__rtt_5020_equity_convex,24894.2511,148.942511,-99.37861723033386,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020_equity_convex
rtt_5020__rbo_50_equity_convex,24894.2511,148.942511,-99.37861723033386,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50_equity_convex
rbo_50__rtt_5020_equity_convex,24894.2511,148.942511,-99.37861723033386,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_convex
rbo_50__rema_50100_equity_concave,23009.158999999963,130.0915899999996,-99.54892578679618,rbo_50__rema_50100,3.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_50100_equity_concave,23009.158999999963,130.0915899999996,-99.54892578679618,rtt_5020__rema_50100,3.0,rtt_5020__rema_50100_equity_concave
rbo_100__rema_50100_equity_concave,22812.635199999917,128.12635199999914,-93.72312218083097,rbo_100__rema_50100,14.0,rbo_100__rema_50100_equity_concave
rbo_50__rema_50100_equity_convex,22420.002399999947,124.20002399999946,-99.51504726660919,rbo_50__rema_50100,3.0,rbo_50__rema_50100_equity_convex
rtt_5020__rema_50100_equity_convex,22420.002399999947,124.20002399999946,-99.51504726660919,rtt_5020__rema_50100,3.0,rtt_5020__rema_50100_equity_convex
rbo_100__rbo_100_equity_concave,21838.717899999938,118.38717899999938,-93.21319622824046,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_concave
