combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,6,4,0,0,110,119,302,20.715630885122412,22.4105461393597,56.873822975517896,18.333333333333332,29.75,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,30,13,17,0,0,196,121,214,36.91148775894539,22.78719397363465,40.30131826741996,15.076923076923077,7.117647058823529,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,3,1,2,0,0,237,166,128,44.632768361581924,31.26177024482109,24.105461393596986,237.0,83.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,3,4,0,0,206,135,190,38.79472693032015,25.423728813559322,35.781544256120526,68.66666666666667,33.75,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,33,19,13,0,1,193,152,186,36.346516007532955,28.625235404896422,35.02824858757062,10.157894736842104,11.692307692307692,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,12,10,2,0,0,242,165,124,45.5743879472693,31.07344632768362,23.35216572504708,24.2,82.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,67,25,42,0,0,188,83,260,35.40489642184557,15.630885122410545,48.96421845574388,7.52,1.9761904761904763,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,10,8,2,0,0,225,164,142,42.3728813559322,30.88512241054614,26.741996233521657,28.125,82.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,10,7,2,0,1,244,166,121,45.951035781544256,31.26177024482109,22.78719397363465,34.857142857142854,83.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,57,15,42,0,0,218,83,230,41.05461393596987,15.630885122410545,43.314500941619585,14.533333333333333,1.9761904761904763,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,61,50,11,0,0,135,99,297,25.423728813559322,18.64406779661017,55.932203389830505,2.7,9.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,2,3,0,0,184,107,240,34.65160075329567,20.15065913370998,45.19774011299435,92.0,35.666666666666664,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,3,1,2,0,0,237,146,148,44.632768361581924,27.49529190207156,27.87193973634652,237.0,73.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,2,3,0,0,184,107,240,34.65160075329567,20.15065913370998,45.19774011299435,92.0,35.666666666666664,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,33,21,11,0,1,195,137,199,36.72316384180791,25.800376647834273,37.47645951035782,9.285714285714286,12.454545454545455,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,12,10,2,0,0,242,145,144,45.5743879472693,27.30696798493409,27.11864406779661,24.2,72.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,70,27,43,0,0,190,64,277,35.781544256120526,12.052730696798493,52.16572504708098,7.037037037037037,1.4883720930232558,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,3,1,2,0,0,218,144,169,41.05461393596987,27.11864406779661,31.826741996233523,218.0,72.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,10,7,2,0,1,244,146,141,45.951035781544256,27.49529190207156,26.55367231638418,34.857142857142854,73.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,51,8,43,0,0,211,64,256,39.73634651600753,12.052730696798493,48.21092278719397,26.375,1.4883720930232558,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,88,66,22,0,0,173,107,251,32.580037664783426,20.15065913370998,47.26930320150659,2.621212121212121,4.863636363636363,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,49,28,21,0,0,211,108,212,39.73634651600753,20.33898305084746,39.92467043314501,7.535714285714286,5.142857142857143,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,237,128,166,44.632768361581924,24.105461393596986,31.26177024482109,237.0,64.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,32,18,14,0,0,221,115,195,41.6195856873823,21.657250470809792,36.72316384180791,12.277777777777779,8.214285714285714,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,35,32,2,0,1,206,128,197,38.79472693032015,24.105461393596986,37.09981167608286,6.4375,64.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,12,10,2,0,0,242,127,162,45.5743879472693,23.91713747645951,30.508474576271187,24.2,63.5,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,101,37,63,0,1,201,66,264,37.85310734463277,12.429378531073446,49.717514124293785,5.4324324324324325,1.0476190476190477,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,14,11,3,0,0,227,127,177,42.749529190207156,23.91713747645951,33.33333333333333,20.636363636363637,42.333333333333336,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,10,7,2,0,1,244,128,159,45.951035781544256,24.105461393596986,29.943502824858758,34.857142857142854,64.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,80,17,62,0,1,221,67,243,41.6195856873823,12.617702448210924,45.76271186440678,13.0,1.0806451612903225,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,8,5,3,0,0,88,91,352,16.57250470809793,17.13747645951036,66.29001883239172,17.6,30.333333333333332,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,5,2,3,0,0,184,107,240,34.65160075329567,20.15065913370998,45.19774011299435,92.0,35.666666666666664,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,3,1,2,0,0,237,146,148,44.632768361581924,27.49529190207156,27.87193973634652,237.0,73.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,5,2,3,0,0,184,107,240,34.65160075329567,20.15065913370998,45.19774011299435,92.0,35.666666666666664,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,24,12,11,0,1,186,137,208,35.02824858757062,25.800376647834273,39.1713747645951,15.5,12.454545454545455,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,12,10,2,0,0,242,145,144,45.5743879472693,27.30696798493409,27.11864406779661,24.2,72.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,53,18,35,0,0,181,56,294,34.08662900188324,10.546139359698682,55.367231638418076,10.055555555555555,1.6,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,3,1,2,0,0,218,144,169,41.05461393596987,27.11864406779661,31.826741996233523,218.0,72.0,True,
