combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,3,6,0,0,36,209,282,6.83111954459203,39.658444022770404,53.510436432637576,12.0,34.833333333333336,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,44,4,40,0,0,76,206,245,14.421252371916509,39.08918406072106,46.48956356736243,19.0,5.15,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,44,2,42,0,0,85,209,233,16.129032258064516,39.658444022770404,44.212523719165084,42.5,4.976190476190476,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,77,244,206,14.61100569259962,46.29981024667932,39.08918406072106,25.666666666666668,81.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,48,10,38,0,0,76,230,221,14.421252371916509,43.643263757115754,41.935483870967744,7.6,6.052631578947368,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,64,9,55,0,0,30,202,295,5.692599620493358,38.33017077798861,55.97722960151803,3.3333333333333335,3.672727272727273,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,97,9,88,0,0,29,124,374,5.502846299810247,23.52941176470588,70.96774193548387,3.2222222222222223,1.4090909090909092,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,47,13,34,0,0,58,220,249,11.005692599620494,41.745730550284634,47.24857685009488,4.461538461538462,6.470588235294118,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,41,10,31,0,0,28,235,264,5.313092979127135,44.59203036053131,50.094876660341555,2.8,7.580645161290323,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,104,9,95,0,0,30,116,381,5.692599620493358,22.011385199240987,72.29601518026566,3.3333333333333335,1.2210526315789474,True,
