equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_100150__rema_50100150_equity_constant,14228.966599999987,42.28966599999986,-37.33636525052839,rema_100150__rema_50100150,187.0,rema_100150__rema_50100150_equity_constant
rbo_50__rema_50100150_equity_constant,13951.325299999991,39.51325299999991,-32.6959874308978,rbo_50__rema_50100150,118.0,rbo_50__rema_50100150_equity_constant
rtt_5020_equity_constant,13791.891899999993,37.91891899999993,-38.71258044530107,rtt_5020,,rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,13449.563299999998,34.495632999999984,-32.06469653488363,rema_50100__rbo_50,70.0,rema_50100__rbo_50_equity_constant
rema_50100__rbo_100_equity_constant,13315.676900000006,33.15676900000006,-34.5967118071421,rema_50100__rbo_100,15.0,rema_50100__rbo_100_equity_constant
rsma_50100150__rema_50100150_equity_constant,13230.885,32.308850000000014,-26.883687674709577,rsma_50100150__rema_50100150,66.0,rsma_50100150__rema_50100150_equity_constant
rema_100150__rbo_100_equity_constant,13167.8394,31.67839400000001,-34.61754883371129,rema_100150__rbo_100,15.0,rema_100150__rbo_100_equity_constant
rbo_50__rbo_100_equity_constant,13113.803799999983,31.138037999999835,-34.15524259435402,rbo_50__rbo_100,2.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,13113.803799999983,31.138037999999835,-34.15524259435402,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100_equity_constant
rbo_20__rema_50100150_equity_constant,13098.763900000004,30.987639000000033,-30.456905305142527,rbo_20__rema_50100150,133.0,rbo_20__rema_50100150_equity_constant
rbo_20__rema_100150_equity_constant,12935.6098,29.35609800000001,-36.94920751932066,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_constant
rtt_5020__rsma_50100_equity_constant,12927.035300000007,29.27035300000007,-34.28729862578743,rtt_5020__rsma_50100,16.0,rtt_5020__rsma_50100_equity_constant
rbo_50__rsma_50100_equity_constant,12927.035300000007,29.27035300000007,-34.28729862578743,rbo_50__rsma_50100,16.0,rbo_50__rsma_50100_equity_constant
rsma_50100150__rema_100150_equity_constant,12847.284999999998,28.472849999999973,-35.95127794611518,rsma_50100150__rema_100150,1.0,rsma_50100150__rema_100150_equity_constant
rbo_50__rema_100150_equity_constant,12840.51519999999,28.405151999999912,-31.923631515313012,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,12840.51519999999,28.405151999999912,-31.923631515313012,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_constant
rema_100150__rbo_50_equity_constant,12819.805199999999,28.198051999999983,-31.618709814365037,rema_100150__rbo_50,73.0,rema_100150__rbo_50_equity_constant
rtt_5020__rema_50100150_equity_constant,12782.026999999995,27.820269999999937,-25.518755170195302,rtt_5020__rema_50100150,101.0,rtt_5020__rema_50100150_equity_constant
rsma_50100150__rbo_50_equity_constant,12697.248599999999,26.972485999999996,-29.15705336185132,rsma_50100150__rbo_50,36.0,rsma_50100150__rbo_50_equity_constant
rtt_5020__rbo_50_equity_constant,12632.978199999978,26.32978199999978,-26.94502391761891,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,12632.978199999978,26.32978199999978,-26.94502391761891,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,12632.978199999978,26.32978199999978,-26.94502391761891,rbo_50__rbo_50,2.0,rbo_50__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12632.978199999978,26.32978199999978,-26.94502391761891,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020_equity_constant
rsma_50100150__rsma_50100150_equity_constant,12598.589899999999,25.98589899999999,-27.2715313957477,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150_equity_constant
rtt_5020__rsma_50100150_equity_constant,12544.179999999997,25.441799999999958,-24.105281277973894,rtt_5020__rsma_50100150,69.0,rtt_5020__rsma_50100150_equity_constant
rbo_20__rbo_50_equity_constant,12460.177199999996,24.601771999999954,-28.99305312619186,rbo_20__rbo_50,36.0,rbo_20__rbo_50_equity_constant
rbo_50__rsma_100150_equity_constant,12453.611000000004,24.536110000000043,-32.317801979494675,rbo_50__rsma_100150,25.0,rbo_50__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,12453.611000000004,24.536110000000043,-32.317801979494675,rtt_5020__rsma_100150,25.0,rtt_5020__rsma_100150_equity_constant
rsma_100150__rema_50100150_equity_constant,12414.50040000001,24.145004000000103,-31.591798250016375,rsma_100150__rema_50100150,161.0,rsma_100150__rema_50100150_equity_constant
rbo_100__rema_100150_equity_constant,12363.199000000017,23.631990000000158,-25.142869784064164,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,12363.199000000017,23.631990000000158,-25.142869784064164,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,12363.199000000017,23.631990000000158,-25.142869784064164,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
