combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,4,0,4,0,0,0,270,265,0.0,50.467289719626166,49.532710280373834,0,67.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,36,0,36,0,0,0,269,266,0.0,50.280373831775705,49.7196261682243,0,7.472222222222222,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,8,0,8,0,0,0,332,203,0.0,62.05607476635514,37.94392523364486,0,41.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,0,3,0,0,0,303,232,0.0,56.63551401869159,43.36448598130841,0,101.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,46,0,46,0,0,0,296,239,0.0,55.32710280373831,44.67289719626169,0,6.434782608695652,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,28,0,28,0,0,0,334,201,0.0,62.42990654205608,37.570093457943926,0,11.928571428571429,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,76,0,76,0,0,0,209,326,0.0,39.06542056074767,60.93457943925233,0,2.75,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,4,0,4,0,0,0,357,178,0.0,66.72897196261682,33.271028037383175,0,89.25,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,361,174,0.0,67.4766355140187,32.52336448598131,0,361.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,133,0,133,0,0,0,138,397,0.0,25.794392523364486,74.20560747663552,0,1.037593984962406,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,18,0,18,0,0,0,216,319,0.0,40.373831775700936,59.62616822429907,0,12.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,0,2,0,0,0,234,301,0.0,43.73831775700935,56.26168224299065,0,117.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,0,2,0,0,0,291,244,0.0,54.39252336448598,45.60747663551402,0,145.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,0,2,0,0,0,234,301,0.0,43.73831775700935,56.26168224299065,0,117.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,16,0,16,0,0,0,262,273,0.0,48.97196261682243,51.02803738317757,0,16.375,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,25,0,25,0,0,0,278,257,0.0,51.96261682242991,48.03738317757009,0,11.12,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,85,0,85,0,0,0,150,385,0.0,28.037383177570092,71.96261682242991,0,1.7647058823529411,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,2,0,2,0,0,0,285,250,0.0,53.271028037383175,46.728971962616825,0,142.5,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,0,1,0,0,0,302,233,0.0,56.44859813084112,43.55140186915888,0,302.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,118,0,118,0,0,0,118,417,0.0,22.05607476635514,77.94392523364486,0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,50,0,50,0,0,0,303,232,0.0,56.63551401869159,43.36448598130841,0,6.06,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,61,0,61,0,0,0,290,245,0.0,54.20560747663551,45.794392523364486,0,4.754098360655738,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,0,2,0,0,0,351,184,0.0,65.60747663551402,34.39252336448598,0,175.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,32,0,32,0,0,0,320,215,0.0,59.813084112149525,40.18691588785047,0,10.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,39,0,39,0,0,0,316,219,0.0,59.06542056074766,40.93457943925234,0,8.102564102564102,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,24,0,24,0,0,0,356,179,0.0,66.54205607476635,33.45794392523365,0,14.833333333333334,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,118,0,118,0,0,0,251,284,0.0,46.91588785046729,53.084112149532714,0,2.1271186440677967,True,
