equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rtt_5020_equity_concave,51097.19990000003,410.9719990000003,-93.24257731634002,rsma_100150__rtt_5020,32.0,rsma_100150__rtt_5020_equity_concave
rsma_100150__rtt_5020_equity_convex,47125.21759999997,371.2521759999997,-92.61999118569588,rsma_100150__rtt_5020,32.0,rsma_100150__rtt_5020_equity_convex
rsma_100150__rbo_20_equity_convex,23817.38770000001,138.1738770000001,-86.7413817813431,rsma_100150__rbo_20,47.0,rsma_100150__rbo_20_equity_convex
rsma_100150__rbo_20_equity_concave,23741.669200000008,137.4166920000001,-89.0918553855419,rsma_100150__rbo_20,47.0,rsma_100150__rbo_20_equity_concave
rema_100150__rsma_50100_equity_convex,23740.035600000017,137.40035600000016,-78.61291251366723,rema_100150__rsma_50100,27.0,rema_100150__rsma_50100_equity_convex
rema_100150__rsma_50100_equity_concave,21871.705600000005,118.71705600000007,-80.75411864985414,rema_100150__rsma_50100,27.0,rema_100150__rsma_50100_equity_concave
rsma_100150__rsma_50100_equity_convex,21308.716899999996,113.08716899999997,-80.0157508153207,rsma_100150__rsma_50100,44.0,rsma_100150__rsma_50100_equity_convex
rema_50100__rsma_50100_equity_convex,21113.287900000025,111.13287900000026,-82.41161322561629,rema_50100__rsma_50100,28.0,rema_50100__rsma_50100_equity_convex
rbo_20__rema_50100_equity_convex,20548.18259999997,105.48182599999971,-78.3931531360115,rbo_20__rema_50100,37.0,rbo_20__rema_50100_equity_convex
rtt_5020__rema_50100_equity_convex,20267.79969999998,102.6779969999998,-78.27750873449381,rtt_5020__rema_50100,17.0,rtt_5020__rema_50100_equity_convex
rema_50100__rema_50100_equity_convex,19725.832399999974,97.25832399999975,-82.13994452951874,rema_50100__rema_50100,5.0,rema_50100__rema_50100_equity_convex
rsma_100150__rsma_50100_equity_concave,18418.985699999994,84.18985699999995,-81.4570846506925,rsma_100150__rsma_50100,44.0,rsma_100150__rsma_50100_equity_concave
