combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,4,4,0,0,125,115,298,23.234200743494423,21.37546468401487,55.39033457249071,31.25,28.75,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,33,18,14,1,0,138,108,292,25.650557620817843,20.074349442379184,54.27509293680297,7.666666666666667,7.714285714285714,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,49,20,28,1,0,142,110,286,26.394052044609666,20.44609665427509,53.159851301115246,7.1,3.9285714285714284,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,3,3,1,0,153,120,265,28.438661710037177,22.304832713754646,49.25650557620818,51.0,40.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,68,41,27,0,0,122,91,325,22.676579925650557,16.91449814126394,60.4089219330855,2.975609756097561,3.3703703703703702,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,52,9,42,1,0,154,73,311,28.624535315985128,13.568773234200743,57.80669144981413,17.11111111111111,1.7380952380952381,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,26,17,9,0,0,108,98,332,20.074349442379184,18.21561338289963,61.71003717472119,6.352941176470588,10.88888888888889,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,6,3,3,0,0,122,104,312,22.676579925650557,19.33085501858736,57.99256505576208,40.666666666666664,34.666666666666664,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,31,15,16,0,0,136,107,295,25.27881040892193,19.888475836431226,54.832713754646846,9.066666666666666,6.6875,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,6,3,3,0,0,122,104,312,22.676579925650557,19.33085501858736,57.99256505576208,40.666666666666664,34.666666666666664,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,60,34,26,0,0,108,80,350,20.074349442379184,14.869888475836431,65.05576208178438,3.176470588235294,3.076923076923077,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,43,11,32,0,0,141,72,325,26.20817843866171,13.382899628252787,60.4089219330855,12.818181818181818,2.25,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,33,20,13,0,0,104,74,360,19.33085501858736,13.754646840148698,66.91449814126395,5.2,5.6923076923076925,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,27,16,11,0,0,108,76,354,20.074349442379184,14.12639405204461,65.79925650557621,6.75,6.909090909090909,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,5,2,3,0,0,123,84,331,22.86245353159851,15.613382899628252,61.52416356877324,61.5,28.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,19,8,11,0,0,116,76,346,21.561338289962826,14.12639405204461,64.31226765799256,14.5,6.909090909090909,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,67,37,30,0,0,88,56,394,16.356877323420075,10.408921933085502,73.23420074349443,2.3783783783783785,1.8666666666666667,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,37,4,33,0,0,122,52,364,22.676579925650557,9.66542750929368,67.65799256505576,30.5,1.5757575757575757,True,
