equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_20_equity_convex,13911.44730000001,39.1144730000001,-65.76108229372578,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rtt_5020_equity_constant,11327.218300000015,13.272183000000148,-24.840160435404425,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020
rbo_20__rbo_20_equity_concave,11313.055700000012,13.13055700000012,-68.53283748533636,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_50__rsma_50100150_equity_constant,11182.280099999989,11.822800999999883,-26.31905745383695,rbo_50__rsma_50100150,86.0,rbo_50__rsma_50100150
rbo_50__rema_50100150_equity_constant,11139.874099999994,11.398740999999934,-26.80826873390416,rbo_50__rema_50100150,98.0,rbo_50__rema_50100150
rtt_5020_equity_constant,11069.371100000008,10.693711000000071,-20.266561331641856,rtt_5020,,rtt_5020
rbo_20__rbo_50_equity_constant,10988.03690000001,9.880369000000112,-26.280764104993548,rbo_20__rbo_50,19.0,rbo_20__rbo_50
rbo_20__rbo_20_equity_constant,10914.905600000004,9.149056000000044,-23.58882105373688,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_100__rsma_50100150_equity_constant,10909.120100000002,9.091201000000027,-24.467667020008047,rbo_100__rsma_50100150,75.0,rbo_100__rsma_50100150
rbo_50__rbo_20_equity_constant,10762.8995,7.628995000000005,-23.146325766065516,rbo_50__rbo_20,40.0,rbo_50__rbo_20
rbo_50__rtt_5020_equity_constant,10679.35950000001,6.793595000000097,-24.04298130651607,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_constant,10679.35950000001,6.793595000000097,-24.04298130651607,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rtt_5020__rtt_5020_equity_constant,10679.35950000001,6.793595000000097,-24.04298130651607,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_constant,10679.35950000001,6.793595000000097,-24.04298130651607,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rsma_50100150__rtt_5020_equity_constant,10614.675999999994,6.14675999999994,-24.1681222106004,rsma_50100150__rtt_5020,9.0,rsma_50100150__rtt_5020
