equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rsma_100150_equity_constant,17535.586799999975,75.35586799999976,-45.923072708859465,rbo_50__rsma_100150,4.0,rbo_50__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,16414.858599999996,64.14858599999995,-45.86184680707618,rema_50100__rsma_100150,20.0,rema_50100__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,16091.705200000015,60.91705200000015,-45.878987258549635,rbo_100__rsma_100150,4.0,rbo_100__rsma_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,15957.324900000014,59.57324900000014,-45.93141028438086,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,15842.831499999975,58.42831499999974,-40.472041633707526,rbo_20__rsma_100150,12.0,rbo_20__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,15788.71829999998,57.887182999999794,-42.99257944027984,rtt_5020__rsma_100150,4.0,rtt_5020__rsma_100150_equity_constant
rbo_50__rsma_50100150_equity_constant,15573.8857,55.73885700000001,-38.19122244430251,rbo_50__rsma_50100150,94.0,rbo_50__rsma_50100150_equity_constant
rsma_100150__rbo_100_equity_constant,15551.206799999994,55.51206799999995,-43.60315133211445,rsma_100150__rbo_100,47.0,rsma_100150__rbo_100_equity_constant
rbo_50__rsma_50100_equity_constant,15550.101599999993,55.50101599999992,-40.53536808239623,rbo_50__rsma_50100,11.0,rbo_50__rsma_50100_equity_constant
rbo_50__rema_50100150_equity_constant,15524.956099999985,55.249560999999844,-37.47828414875296,rbo_50__rema_50100150,94.0,rbo_50__rema_50100150_equity_constant
rsma_100150__rema_50100150_equity_constant,15377.95049999999,53.77950499999991,-40.77064595963108,rsma_100150__rema_50100150,110.0,rsma_100150__rema_50100150_equity_constant
rbo_50__rema_50100_equity_constant,15328.731700000015,53.28731700000016,-38.0584152815297,rbo_50__rema_50100,6.0,rbo_50__rema_50100_equity_constant
