combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,3,7,0,0,41,238,251,7.735849056603773,44.905660377358494,47.35849056603774,13.666666666666666,34.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,34,10,23,0,1,42,259,229,7.9245283018867925,48.867924528301884,43.20754716981132,4.2,11.26086956521739,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,30,10,19,0,1,43,263,224,8.11320754716981,49.62264150943396,42.26415094339623,4.3,13.842105263157896,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,2,4,0,1,50,280,200,9.433962264150944,52.83018867924528,37.735849056603776,25.0,70.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,37,10,26,0,1,63,289,178,11.88679245283019,54.52830188679245,33.58490566037736,6.3,11.115384615384615,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,16,10,5,0,1,81,289,160,15.283018867924527,54.52830188679245,30.18867924528302,8.1,57.8,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,78,3,75,0,0,71,201,258,13.39622641509434,37.924528301886795,48.679245283018865,23.666666666666668,2.68,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,21,10,10,0,1,50,307,173,9.433962264150944,57.92452830188679,32.64150943396226,5.0,30.7,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,13,10,2,0,1,55,335,140,10.377358490566039,63.20754716981132,26.41509433962264,5.5,167.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,90,3,87,0,0,58,159,313,10.943396226415095,30.0,59.056603773584904,19.333333333333332,1.8275862068965518,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,28,5,23,0,0,27,216,287,5.09433962264151,40.75471698113208,54.15094339622642,5.4,9.391304347826088,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,32,238,260,6.037735849056604,44.905660377358494,49.056603773584904,32.0,119.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,3,1,2,0,0,33,238,259,6.226415094339623,44.905660377358494,48.867924528301884,33.0,119.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,32,238,260,6.037735849056604,44.905660377358494,49.056603773584904,32.0,119.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,11,1,10,0,0,53,235,242,10.0,44.339622641509436,45.660377358490564,53.0,23.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,4,1,3,0,0,71,287,172,13.39622641509434,54.15094339622642,32.45283018867924,71.0,95.66666666666667,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,92,1,91,0,0,53,148,329,10.0,27.92452830188679,62.075471698113205,53.0,1.6263736263736264,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,6,1,5,0,0,40,240,250,7.547169811320755,45.28301886792453,47.16981132075472,40.0,48.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,3,1,2,0,0,45,327,158,8.49056603773585,61.698113207547166,29.81132075471698,45.0,163.5,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,92,1,91,0,0,40,147,343,7.547169811320755,27.735849056603772,64.71698113207547,40.0,1.6153846153846154,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,29,6,23,0,0,28,196,306,5.283018867924529,36.9811320754717,57.73584905660377,4.666666666666667,8.521739130434783,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,3,1,2,0,0,32,218,280,6.037735849056604,41.132075471698116,52.83018867924528,32.0,109.0,True,
