equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_20_equity_convex,15568.361599999995,55.68361599999996,-62.17410818238864,rema_50100150__rbo_20,29.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rbo_20_equity_concave,15065.568299999999,50.65568299999998,-64.12043738202938,rema_50100150__rbo_20,29.0,rema_50100150__rbo_20_equity_concave
rsma_100150__rbo_20_equity_constant,14735.680499999993,47.35680499999992,-38.22695667159723,rsma_100150__rbo_20,60.0,rsma_100150__rbo_20_equity_constant
rtt_5020_equity_constant,14640.799100000007,46.40799100000008,-35.65093998182106,rtt_5020,,rtt_5020_equity_constant
rema_100150__rbo_20_equity_constant,14442.917399999991,44.429173999999904,-38.21130140922912,rema_100150__rbo_20,49.0,rema_100150__rbo_20_equity_constant
rsma_100150__rbo_50_equity_constant,14196.764700000002,41.96764700000002,-33.48519398930379,rsma_100150__rbo_50,41.0,rsma_100150__rbo_50_equity_constant
rbo_20__rsma_50100150_equity_constant,14169.465600000005,41.69465600000004,-35.58275549926175,rbo_20__rsma_50100150,106.0,rbo_20__rsma_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,14165.976300000004,41.65976300000005,-33.62246059948584,rsma_100150__rsma_50100150,128.0,rsma_100150__rsma_50100150_equity_constant
rsma_100150__rtt_5020_equity_constant,14158.419500000002,41.584195000000015,-34.02646036868736,rsma_100150__rtt_5020,31.0,rsma_100150__rtt_5020_equity_constant
rsma_100150__rsma_50100_equity_constant,14142.059200000002,41.42059200000001,-34.496348311142725,rsma_100150__rsma_50100,24.0,rsma_100150__rsma_50100_equity_constant
rtt_5020__rsma_50100150_equity_constant,14132.132000000005,41.321320000000064,-34.296609315565405,rtt_5020__rsma_50100150,95.0,rtt_5020__rsma_50100150_equity_constant
rema_50100150__rbo_50_equity_convex,14106.917899999999,41.06917899999998,-62.17410818238864,rema_50100150__rbo_50,22.0,rema_50100150__rbo_50_equity_convex
rtt_5020__rsma_100150_equity_constant,14006.002600000005,40.06002600000005,-33.704925201141975,rtt_5020__rsma_100150,21.0,rtt_5020__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,14006.002600000005,40.06002600000005,-33.704925201141975,rbo_50__rsma_100150,21.0,rbo_50__rsma_100150_equity_constant
rema_100150__rbo_50_equity_constant,13996.861100000004,39.968611000000045,-33.802755247746234,rema_100150__rbo_50,30.0,rema_100150__rbo_50_equity_constant
rema_100150__rsma_50100150_equity_constant,13891.382700000006,38.913827000000055,-33.587515373829575,rema_100150__rsma_50100150,117.0,rema_100150__rsma_50100150_equity_constant
rbo_50__rema_50100_equity_constant,13845.534400000002,38.45534400000001,-41.17443671946675,rbo_50__rema_50100,11.0,rbo_50__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,13845.534400000002,38.45534400000001,-41.17443671946675,rtt_5020__rema_50100,11.0,rtt_5020__rema_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,13842.014000000001,38.42014,-33.652605032764754,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rema_100150_equity_constant,13836.643000000002,38.366430000000015,-33.626850819234136,rsma_100150__rema_100150,14.0,rsma_100150__rema_100150_equity_constant
rema_100150__rsma_50100_equity_constant,13823.809700000003,38.238097000000025,-34.27172901548264,rema_100150__rsma_50100,13.0,rema_100150__rsma_50100_equity_constant
rema_100150__rtt_5020_equity_constant,13778.568500000007,37.78568500000006,-33.49529452206885,rema_100150__rtt_5020,20.0,rema_100150__rtt_5020_equity_constant
rbo_50__rbo_100_equity_constant,13745.180999999999,37.451809999999995,-40.68487421155095,rbo_50__rbo_100,12.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,13745.180999999999,37.451809999999995,-40.68487421155095,rtt_5020__rbo_100,12.0,rtt_5020__rbo_100_equity_constant
rtt_5020__rbo_20_equity_constant,13726.990699999995,37.26990699999995,-38.54195588549498,rtt_5020__rbo_20,5.0,rtt_5020__rbo_20_equity_constant
rsma_100150__rema_50100150_equity_constant,13724.3034,37.243033999999994,-31.195411345977686,rsma_100150__rema_50100150,117.0,rsma_100150__rema_50100150_equity_constant
rema_50100150__rbo_50_equity_concave,13716.4316,37.16431600000001,-62.17410818238864,rema_50100150__rbo_50,22.0,rema_50100150__rbo_50_equity_concave
rsma_100150__rema_50100_equity_constant,13709.498200000004,37.09498200000003,-33.011292127380734,rsma_100150__rema_50100,22.0,rsma_100150__rema_50100_equity_constant
rbo_50__rema_100150_equity_constant,13655.510900000007,36.55510900000007,-33.382233981447015,rbo_50__rema_100150,22.0,rbo_50__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,13655.510900000007,36.55510900000007,-33.382233981447015,rtt_5020__rema_100150,22.0,rtt_5020__rema_100150_equity_constant
rsma_100150__rbo_100_equity_constant,13618.684200000002,36.18684200000002,-32.564588728770154,rsma_100150__rbo_100,24.0,rsma_100150__rbo_100_equity_constant
rbo_50__rsma_50100150_equity_constant,13606.435100000006,36.06435100000005,-31.75809951866085,rbo_50__rsma_50100150,116.0,rbo_50__rsma_50100150_equity_constant
rema_100150__rsma_100150_equity_constant,13587.393200000008,35.87393200000009,-33.571953301535444,rema_100150__rsma_100150,3.0,rema_100150__rsma_100150_equity_constant
rtt_5020__rema_50100150_equity_constant,13558.351500000004,35.583515000000034,-34.55486531677544,rtt_5020__rema_50100150,87.0,rtt_5020__rema_50100150_equity_constant
rbo_20__rema_50100150_equity_constant,13505.547599999998,35.055475999999985,-35.465298719172274,rbo_20__rema_50100150,98.0,rbo_20__rema_50100150_equity_constant
rema_50100150__rtt_5020_equity_convex,13487.351299999991,34.873512999999924,-62.17410818238864,rema_50100150__rtt_5020,22.0,rema_50100150__rtt_5020_equity_convex
rema_100150__rema_50100150_equity_constant,13437.926699999993,34.379266999999935,-31.04936046421502,rema_100150__rema_50100150,117.0,rema_100150__rema_50100150_equity_constant
rema_100150__rema_100150_equity_constant,13427.529700000008,34.275297000000094,-32.78108407386359,rema_100150__rema_100150,3.0,rema_100150__rema_100150_equity_constant
rbo_50__rsma_50100_equity_constant,13351.971899999999,33.519718999999995,-36.81577475458887,rbo_50__rsma_50100,2.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,13351.971899999999,33.519718999999995,-36.81577475458887,rtt_5020__rsma_50100,2.0,rtt_5020__rsma_50100_equity_constant
rema_100150__rema_50100_equity_constant,13310.205200000006,33.10205200000005,-32.188574372993145,rema_100150__rema_50100,11.0,rema_100150__rema_50100_equity_constant
rema_50100__rsma_50100150_equity_constant,13274.7577,32.74757699999999,-32.785222136295545,rema_50100__rsma_50100150,119.0,rema_50100__rsma_50100150_equity_constant
