combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,3,4,0,0,77,181,285,14.180478821362799,33.33333333333333,52.48618784530387,25.666666666666668,45.25,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,13,2,11,0,0,91,215,237,16.758747697974215,39.59484346224678,43.646408839779006,45.5,19.545454545454547,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,11,2,0,1,94,227,222,17.311233885819522,41.804788213627994,40.88397790055249,8.545454545454545,113.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,2,2,0,0,91,224,228,16.758747697974215,41.25230202578269,41.988950276243095,45.5,112.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,113,21,92,0,0,86,92,365,15.837937384898712,16.94290976058932,67.21915285451196,4.095238095238095,1.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,105,13,91,1,0,117,92,334,21.54696132596685,16.94290976058932,61.51012891344383,9.0,1.010989010989011,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,31,8,23,0,0,83,183,277,15.285451197053407,33.70165745856354,51.01289134438306,10.375,7.956521739130435,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,1,1,0,0,90,205,248,16.574585635359114,37.75322283609576,45.67219152854512,90.0,205.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,12,11,1,0,0,93,205,245,17.12707182320442,37.75322283609576,45.11970534069982,8.454545454545455,205.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,1,1,0,0,90,205,248,16.574585635359114,37.75322283609576,45.67219152854512,90.0,205.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,123,20,103,0,0,85,103,355,15.65377532228361,18.96869244935543,65.37753222836096,4.25,1.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,115,12,103,0,0,96,103,344,17.67955801104972,18.96869244935543,63.35174953959485,8.0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,39,14,25,0,0,69,204,270,12.70718232044199,37.569060773480665,49.72375690607735,4.928571428571429,8.16,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,20,7,13,0,0,76,217,250,13.996316758747698,39.963167587476974,46.04051565377532,10.857142857142858,16.692307692307693,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,83,228,232,15.285451197053407,41.988950276243095,42.7255985267035,83.0,114.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,10,7,3,0,0,76,226,241,13.996316758747698,41.62062615101289,44.38305709023941,10.857142857142858,75.33333333333333,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,124,10,114,0,0,75,116,352,13.812154696132598,21.36279926335175,64.82504604051566,7.5,1.0175438596491229,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,126,11,115,0,0,77,115,351,14.180478821362799,21.178637200736645,64.64088397790056,7.0,1.0,True,
