combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,5,4,0,0,110,100,320,20.754716981132077,18.867924528301888,60.37735849056604,22.0,25.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,24,12,12,0,0,126,118,286,23.77358490566038,22.264150943396228,53.9622641509434,10.5,9.833333333333334,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,26,24,2,0,0,158,193,179,29.81132075471698,36.41509433962264,33.77358490566038,6.583333333333333,96.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,135,128,267,25.471698113207548,24.150943396226417,50.37735849056604,45.0,42.666666666666664,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,55,22,33,0,0,151,125,254,28.49056603773585,23.58490566037736,47.924528301886795,6.863636363636363,3.787878787878788,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,20,15,5,0,0,180,188,162,33.9622641509434,35.471698113207545,30.566037735849054,12.0,37.6,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,29,12,17,0,0,160,86,284,30.18867924528302,16.22641509433962,53.58490566037736,13.333333333333334,5.0588235294117645,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,37,16,21,0,0,156,140,234,29.433962264150942,26.41509433962264,44.15094339622642,9.75,6.666666666666667,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,22,1,21,0,0,194,169,167,36.60377358490566,31.886792452830186,31.50943396226415,194.0,8.047619047619047,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,53,16,37,0,0,156,65,309,29.433962264150942,12.264150943396226,58.30188679245283,9.75,1.7567567567567568,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,32,16,16,0,0,103,92,335,19.433962264150946,17.358490566037734,63.20754716981132,6.4375,5.75,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,116,106,308,21.88679245283019,20.0,58.11320754716981,38.666666666666664,53.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,18,16,2,0,0,150,179,201,28.30188679245283,33.77358490566038,37.924528301886795,9.375,89.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,116,106,308,21.88679245283019,20.0,58.11320754716981,38.666666666666664,53.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,37,14,23,0,0,143,113,274,26.9811320754717,21.32075471698113,51.698113207547166,10.214285714285714,4.913043478260869,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,20,15,5,0,0,180,174,176,33.9622641509434,32.83018867924528,33.20754716981132,12.0,34.8,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,34,4,30,0,0,152,78,300,28.67924528301887,14.716981132075471,56.60377358490566,38.0,2.6,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,18,8,10,0,0,148,129,253,27.92452830188679,24.339622641509433,47.735849056603776,18.5,12.9,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,15,1,14,0,0,194,154,182,36.60377358490566,29.056603773584904,34.33962264150943,194.0,11.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,51,8,43,0,0,148,65,317,27.92452830188679,12.264150943396226,59.81132075471698,18.5,1.5116279069767442,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,86,37,49,0,0,99,140,291,18.679245283018865,26.41509433962264,54.90566037735849,2.675675675675676,2.857142857142857,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,67,25,42,0,0,111,146,273,20.943396226415096,27.547169811320753,51.509433962264154,4.44,3.4761904761904763,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,135,187,208,25.471698113207548,35.283018867924525,39.24528301886793,135.0,93.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,59,24,35,0,0,112,154,264,21.132075471698116,29.056603773584904,49.81132075471698,4.666666666666667,4.4,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,54,5,49,0,0,130,139,261,24.528301886792452,26.22641509433962,49.24528301886792,26.0,2.836734693877551,True,
