equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_100150__rsma_50100_equity_concave,131231.26860000007,1212.3126860000007,-97.69496563612013,rema_100150__rsma_50100,31.0,rema_100150__rsma_50100_equity_concave
rbo_100__rsma_50100_equity_concave,129607.67140000008,1196.076714000001,-100.31523789213021,rbo_100__rsma_50100,22.0,rbo_100__rsma_50100_equity_concave
rbo_50__rema_100150_equity_concave,112231.72759999993,1022.3172759999992,-106.77828383202701,rbo_50__rema_100150,37.0,rbo_50__rema_100150_equity_concave
rema_100150__rema_100150_equity_concave,110320.10319999998,1003.2010319999997,-96.94646723383794,rema_100150__rema_100150,4.0,rema_100150__rema_100150_equity_concave
rbo_50__rsma_100150_equity_concave,107075.61749999967,970.7561749999968,-105.16613738566032,rbo_50__rsma_100150,52.0,rbo_50__rsma_100150_equity_concave
rbo_100__rema_100150_equity_concave,106786.7434,967.867434,-100.42691961531789,rbo_100__rema_100150,21.0,rbo_100__rema_100150_equity_concave
rbo_100__rsma_100150_equity_concave,103042.60479999977,930.4260479999976,-100.32164990049391,rbo_100__rsma_100150,36.0,rbo_100__rsma_100150_equity_concave
rbo_100__rsma_50100_equity_convex,97271.2945000001,872.712945000001,-100.42437063337168,rbo_100__rsma_50100,22.0,rbo_100__rsma_50100_equity_convex
rbo_100__rema_100150_equity_convex,94292.0034000001,842.920034000001,-100.49006401827594,rbo_100__rema_100150,21.0,rbo_100__rema_100150_equity_convex
rtt_5020__rema_100150_equity_concave,93317.76269999993,833.1776269999993,-108.16887068239261,rtt_5020__rema_100150,31.0,rtt_5020__rema_100150_equity_concave
rtt_5020__rema_100150_equity_convex,88373.36440000005,783.7336440000005,-108.75309464389484,rtt_5020__rema_100150,31.0,rtt_5020__rema_100150_equity_convex
rema_100150__rbo_100_equity_concave,88368.15699999998,783.6815699999997,-96.18785482992163,rema_100150__rbo_100,16.0,rema_100150__rbo_100_equity_concave
rema_100150__rema_100150_equity_convex,87487.50880000016,774.8750880000015,-96.1297349338656,rema_100150__rema_100150,4.0,rema_100150__rema_100150_equity_convex
rema_50100__rema_100150_equity_concave,84178.92890000006,741.7892890000006,-101.80180063559267,rema_50100__rema_100150,18.0,rema_50100__rema_100150_equity_concave
rsma_50100__rema_100150_equity_convex,82412.44960000002,724.1244960000004,-101.64593734899347,rsma_50100__rema_100150,34.0,rsma_50100__rema_100150_equity_convex
rema_50100__rsma_100150_equity_concave,82223.42269999982,722.2342269999982,-101.34009508997512,rema_50100__rsma_100150,33.0,rema_50100__rsma_100150_equity_concave
rema_50100__rema_100150_equity_convex,80468.97720000002,704.6897720000002,-101.91227684123558,rema_50100__rema_100150,18.0,rema_50100__rema_100150_equity_convex
rtt_5020__rbo_100_equity_concave,79563.7626999999,695.637626999999,-109.21591583085653,rtt_5020__rbo_100,14.0,rtt_5020__rbo_100_equity_concave
rbo_100__rsma_100150_equity_convex,78233.51309999987,682.3351309999987,-100.48053029062865,rbo_100__rsma_100150,36.0,rbo_100__rsma_100150_equity_convex
rema_100150__rsma_50100_equity_convex,77356.49060000008,673.5649060000009,-96.05002290348646,rema_100150__rsma_50100,31.0,rema_100150__rsma_50100_equity_convex
rbo_50__rema_100150_equity_convex,76053.97419999991,660.5397419999991,-110.11549035786523,rbo_50__rema_100150,37.0,rbo_50__rema_100150_equity_convex
rtt_5020__rsma_100150_equity_concave,73441.88220000008,634.4188220000009,-107.96452918048338,rtt_5020__rsma_100150,37.0,rtt_5020__rsma_100150_equity_concave
rbo_50__rsma_100150_equity_convex,73430.81069999986,634.3081069999986,-108.54482460892203,rbo_50__rsma_100150,52.0,rbo_50__rsma_100150_equity_convex
rsma_50100__rema_100150_equity_concave,73429.43750000006,634.2943750000006,-101.8798773637003,rsma_50100__rema_100150,34.0,rsma_50100__rema_100150_equity_concave
rbo_100__rbo_100_equity_concave,73204.12589999993,632.0412589999993,-100.58651989731085,rbo_100__rbo_100,4.0,rbo_100__rbo_100_equity_concave
rtt_5020__rbo_100_equity_convex,72346.07909999992,623.4607909999992,-111.85610063225396,rtt_5020__rbo_100,14.0,rtt_5020__rbo_100_equity_convex
rema_50100150__rsma_50100_equity_concave,70705.6373,607.056373,-92.45014285549018,rema_50100150__rsma_50100,28.0,rema_50100150__rsma_50100_equity_concave
rema_100150__rsma_100150_equity_concave,69931.22619999992,599.3122619999991,-96.49086476938518,rema_100150__rsma_100150,29.0,rema_100150__rsma_100150_equity_concave
