equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rema_50100150_equity_constant,15062.240999999998,50.62240999999999,-35.35948999661739,rbo_50__rema_50100150,98.0,rbo_50__rema_50100150_equity_constant
rsma_50100__rtt_5020_equity_constant,15048.588599999997,50.485885999999965,-36.07440301743639,rsma_50100__rtt_5020,29.0,rsma_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,14844.269400000008,48.442694000000074,-35.19451957669265,rema_50100__rbo_50,15.0,rema_50100__rbo_50_equity_constant
rema_50100__rtt_5020_equity_constant,14844.269400000008,48.442694000000074,-35.19451957669265,rema_50100__rtt_5020,15.0,rema_50100__rtt_5020_equity_constant
rsma_50100__rbo_50_equity_constant,14736.940100000007,47.36940100000007,-34.72254053607774,rsma_50100__rbo_50,34.0,rsma_50100__rbo_50_equity_constant
rsma_50100__rsma_50100_equity_constant,14639.393500000004,46.39393500000004,-34.85457440569514,rsma_50100__rsma_50100,5.0,rsma_50100__rsma_50100_equity_constant
rtt_5020__rbo_50_equity_constant,14629.686700000006,46.29686700000006,-33.05377619604112,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_constant
rbo_50__rbo_50_equity_constant,14629.686700000006,46.29686700000006,-33.05377619604112,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,14629.686700000006,46.29686700000006,-33.05377619604112,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_constant
rtt_5020__rtt_5020_equity_constant,14629.686700000006,46.29686700000006,-33.05377619604112,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_constant
rbo_100__rtt_5020_equity_constant,14319.676299999996,43.19676299999995,-33.30665372652308,rbo_100__rtt_5020,23.0,rbo_100__rtt_5020_equity_constant
rbo_20__rtt_5020_equity_constant,14298.229800000012,42.98229800000013,-31.501850669654214,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020_equity_constant
rsma_100150__rtt_5020_equity_constant,14207.6872,42.07687200000001,-29.816437681707963,rsma_100150__rtt_5020,19.0,rsma_100150__rtt_5020_equity_constant
rema_50100__rema_50100_equity_constant,14121.871300000017,41.21871300000017,-34.654451212850276,rema_50100__rema_50100,4.0,rema_50100__rema_50100_equity_constant
rbo_100__rbo_50_equity_constant,14020.138700000009,40.20138700000009,-31.881763052743565,rbo_100__rbo_50,37.0,rbo_100__rbo_50_equity_constant
rbo_20__rbo_50_equity_constant,13985.860200000014,39.85860200000013,-29.97196697275724,rbo_20__rbo_50,18.0,rbo_20__rbo_50_equity_constant
rsma_100150__rbo_50_equity_constant,13897.517299999998,38.97517299999998,-28.25005513754602,rsma_100150__rbo_50,33.0,rsma_100150__rbo_50_equity_constant
rema_100150__rbo_100_equity_constant,13756.3865,37.56386499999999,-27.513951429032613,rema_100150__rbo_100,3.0,rema_100150__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,13681.569100000013,36.81569100000013,-32.55149148060805,rsma_50100__rema_50100,22.0,rsma_50100__rema_50100_equity_constant
rsma_100150__rbo_100_equity_constant,13645.395500000002,36.453955000000015,-26.924353346885404,rsma_100150__rbo_100,3.0,rsma_100150__rbo_100_equity_constant
rsma_50100__rbo_100_equity_constant,13620.4316,36.204316000000006,-30.748083636351137,rsma_50100__rbo_100,7.0,rsma_50100__rbo_100_equity_constant
