combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,2,5,0,0,11,175,341,2.0872865275142316,33.206831119544596,64.70588235294117,5.5,35.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,12,2,10,0,0,25,207,295,4.743833017077799,39.27893738140417,55.97722960151803,12.5,20.7,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,13,1,12,0,0,45,223,259,8.538899430740038,42.314990512333964,49.146110056926,45.0,18.583333333333332,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,2,3,0,0,25,214,288,4.743833017077799,40.60721062618596,54.64895635673624,12.5,71.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,20,1,19,0,0,45,220,262,8.538899430740038,41.745730550284634,49.71537001897533,45.0,11.578947368421053,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,48,6,42,0,0,6,202,319,1.1385199240986716,38.33017077798861,60.53130929791271,1.0,4.809523809523809,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,40,6,34,0,0,6,146,375,1.1385199240986716,27.703984819734345,71.15749525616698,1.0,4.294117647058823,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,14,1,13,0,0,45,234,248,8.538899430740038,44.4022770398482,47.05882352941176,45.0,18.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,7,1,6,0,0,45,278,204,8.538899430740038,52.75142314990512,38.70967741935484,45.0,46.333333333333336,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,77,1,76,0,0,45,101,381,8.538899430740038,19.165085388994306,72.29601518026566,45.0,1.3289473684210527,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,39,8,31,0,0,17,186,324,3.225806451612903,35.294117647058826,61.48007590132827,2.125,6.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,1,3,0,0,24,214,289,4.554079696394687,40.60721062618596,54.83870967741935,24.0,71.33333333333333,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,20,1,18,1,0,45,217,265,8.538899430740038,41.17647058823529,50.284629981024665,45.0,12.055555555555555,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,1,3,0,0,24,214,289,4.554079696394687,40.60721062618596,54.83870967741935,24.0,71.33333333333333,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,26,1,24,1,0,45,228,254,8.538899430740038,43.26375711574953,48.19734345351044,45.0,9.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,68,9,57,1,1,36,230,261,6.83111954459203,43.643263757115754,49.52561669829222,4.0,4.035087719298246,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,69,10,58,1,0,36,158,333,6.83111954459203,29.98102466793169,63.18785578747628,3.6,2.7241379310344827,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,15,1,13,1,0,45,234,248,8.538899430740038,44.4022770398482,47.05882352941176,45.0,18.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,15,1,13,1,0,45,273,209,8.538899430740038,51.802656546489565,39.658444022770404,45.0,21.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,105,1,103,1,0,45,113,369,8.538899430740038,21.44212523719165,70.01897533206831,45.0,1.0970873786407767,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,68,20,48,0,0,30,199,298,5.692599620493358,37.76091081593928,56.54648956356736,1.5,4.145833333333333,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,47,13,34,0,0,36,213,278,6.83111954459203,40.41745730550284,52.75142314990512,2.769230769230769,6.264705882352941,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,48,246,233,9.108159392789373,46.67931688804554,44.212523719165084,24.0,123.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,41,13,28,0,0,37,219,271,7.020872865275142,41.555977229601524,51.423149905123346,2.8461538461538463,7.821428571428571,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,34,2,32,0,0,48,233,246,9.108159392789373,44.212523719165084,46.67931688804554,24.0,7.28125,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,54,10,42,0,2,38,260,229,7.2106261859582546,49.33586337760911,43.45351043643264,3.8,6.190476190476191,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,80,12,68,0,0,38,179,310,7.2106261859582546,33.96584440227704,58.82352941176471,3.1666666666666665,2.6323529411764706,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,18,2,16,0,0,48,244,235,9.108159392789373,46.29981024667932,44.59203036053131,24.0,15.25,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,5,2,2,0,1,47,299,181,8.918406072106261,56.73624288425047,34.34535104364326,23.5,149.5,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,112,3,109,0,0,47,139,341,8.918406072106261,26.37571157495256,64.70588235294117,15.666666666666666,1.275229357798165,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,1,5,0,0,10,159,358,1.8975332068311195,30.170777988614798,67.93168880455408,10.0,31.8,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,1,3,0,0,24,198,305,4.554079696394687,37.571157495256166,57.874762808349146,24.0,66.0,True,
