equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_100150_equity_concave,36549.14619999997,265.4914619999997,-75.37313104967654,rema_50100150__rsma_100150,8.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_50100150_equity_concave,36448.61779999998,264.48617799999977,-76.13445979001331,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150_equity_concave
rema_50100150__rsma_50100150_equity_convex,35425.96209999998,254.25962099999984,-75.37313104967654,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_100150_equity_convex,35422.01239999996,254.22012399999963,-75.37313104967654,rema_50100150__rsma_100150,8.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rema_50100150_equity_convex,33551.41039999998,235.51410399999978,-75.37313104967654,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,33447.31399999997,234.47313999999972,-76.13445979001331,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rbo_20_equity_concave,33295.004199999974,232.95004199999974,-81.44897585905613,rema_50100150__rbo_20,34.0,rema_50100150__rbo_20_equity_concave
rema_50100__rema_50100150_equity_convex,27204.025400000028,172.0402540000003,-75.37313104967654,rema_50100__rema_50100150,29.0,rema_50100__rema_50100150_equity_convex
rsma_100150__rema_50100150_equity_convex,27169.31550000006,171.6931550000006,-75.37313104967654,rsma_100150__rema_50100150,27.0,rsma_100150__rema_50100150_equity_convex
rsma_100150__rsma_50100150_equity_convex,27169.31550000006,171.6931550000006,-75.37313104967654,rsma_100150__rsma_50100150,27.0,rsma_100150__rsma_50100150_equity_convex
rema_50100__rema_100150_equity_convex,26581.914999999968,165.8191499999997,-77.57409856465348,rema_50100__rema_100150,8.0,rema_50100__rema_100150_equity_convex
rema_50100150__rema_100150_equity_convex,26581.914999999968,165.8191499999997,-77.57409856465348,rema_50100150__rema_100150,8.0,rema_50100150__rema_100150_equity_convex
rema_100150__rema_50100_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_convex
rema_100150__rtt_5020_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rtt_5020,2.0,rema_100150__rtt_5020_equity_convex
rema_100150__rbo_100_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_convex
rema_100150__rema_100150_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_convex
rema_100150__rsma_50100_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rsma_50100,2.0,rema_100150__rsma_50100_equity_convex
rema_100150__rbo_50_equity_convex,25639.679999999982,156.3967999999998,-76.25299346452933,rema_100150__rbo_50,2.0,rema_100150__rbo_50_equity_convex
rema_50100150__rbo_20_equity_convex,25537.890899999973,155.37890899999974,-67.30237209551997,rema_50100150__rbo_20,34.0,rema_50100150__rbo_20_equity_convex
rema_50100__rbo_50_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100__rbo_50,2.0,rema_50100__rbo_50_equity_convex
rema_50100150__rema_50100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100150__rema_50100,2.0,rema_50100150__rema_50100_equity_convex
rema_50100__rsma_50100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100__rsma_50100,2.0,rema_50100__rsma_50100_equity_convex
rema_50100__rtt_5020_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100__rtt_5020,2.0,rema_50100__rtt_5020_equity_convex
rema_50100150__rbo_50_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100150__rbo_50,2.0,rema_50100150__rbo_50_equity_convex
rema_50100150__rtt_5020_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100150__rtt_5020,2.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rsma_50100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100150__rsma_50100,2.0,rema_50100150__rsma_50100_equity_convex
rema_50100150__rbo_100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100_equity_convex
rema_50100__rbo_100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100__rbo_100,2.0,rema_50100__rbo_100_equity_convex
rema_50100__rema_50100_equity_convex,25311.018099999976,153.11018099999978,-76.24627301648255,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_convex
rbo_100__rema_50100150_equity_convex,25302.962200000038,153.0296220000004,-75.37313104967654,rbo_100__rema_50100150,31.0,rbo_100__rema_50100150_equity_convex
rema_50100__rema_50100150_equity_concave,24945.367600000012,149.45367600000012,-76.6327534624143,rema_50100__rema_50100150,29.0,rema_50100__rema_50100150_equity_concave
rsma_100150__rsma_50100150_equity_concave,24871.139900000053,148.71139900000054,-76.58196496095243,rsma_100150__rsma_50100150,27.0,rsma_100150__rsma_50100150_equity_concave
rsma_100150__rema_50100150_equity_concave,24871.139900000053,148.71139900000054,-76.58196496095243,rsma_100150__rema_50100150,27.0,rsma_100150__rema_50100150_equity_concave
rema_100150__rema_50100150_equity_convex,24871.002699999925,148.71002699999926,-77.25949090099131,rema_100150__rema_50100150,28.0,rema_100150__rema_50100150_equity_convex
rbo_100__rema_100150_equity_convex,24739.119600000005,147.39119600000006,-75.37313104967654,rbo_100__rema_100150,10.0,rbo_100__rema_100150_equity_convex
rema_100150__rsma_50100150_equity_convex,24476.505199999927,144.7650519999993,-76.88296374385986,rema_100150__rsma_50100150,27.0,rema_100150__rsma_50100150_equity_convex
rema_50100__rsma_50100150_equity_convex,24325.52569999991,143.2552569999991,-76.74006389899864,rema_50100__rsma_50100150,27.0,rema_50100__rsma_50100150_equity_convex
rema_100150__rema_50100150_equity_concave,24083.76169999992,140.8376169999992,-79.52018001794532,rema_100150__rema_50100150,28.0,rema_100150__rema_50100150_equity_concave
rbo_50__rema_50100150_equity_convex,23664.793100000014,136.6479310000001,-75.37313104967654,rbo_50__rema_50100150,34.0,rbo_50__rema_50100150_equity_convex
rema_100150__rsma_50100150_equity_concave,23655.10329999991,136.55103299999914,-79.14719583865777,rema_100150__rsma_50100150,27.0,rema_100150__rsma_50100150_equity_concave
rema_50100__rsma_50100150_equity_concave,23357.181599999913,133.57181599999913,-78.88139929212689,rema_50100__rsma_50100150,27.0,rema_50100__rsma_50100150_equity_concave
rbo_100__rema_50100_equity_convex,23061.051600000006,130.61051600000005,-75.37313104967654,rbo_100__rema_50100,4.0,rbo_100__rema_50100_equity_convex
rbo_50__rema_100150_equity_convex,23014.627800000006,130.14627800000005,-75.37313104967654,rbo_50__rema_100150,13.0,rbo_50__rema_100150_equity_convex
rsma_50100150__rema_50100150_equity_convex,22724.729399999964,127.24729399999966,-75.37313104967654,rsma_50100150__rema_50100150,6.0,rsma_50100150__rema_50100150_equity_convex
rema_50100150__rema_100150_equity_concave,22667.083699999963,126.67083699999964,-80.37220047076019,rema_50100150__rema_100150,8.0,rema_50100150__rema_100150_equity_concave
rema_50100__rema_100150_equity_concave,22667.083699999963,126.67083699999964,-80.37220047076019,rema_50100__rema_100150,8.0,rema_50100__rema_100150_equity_concave
rtt_5020__rema_100150_equity_convex,22559.936700000017,125.59936700000019,-77.91708134471367,rtt_5020__rema_100150,13.0,rtt_5020__rema_100150_equity_convex
rema_100150__rsma_100150_equity_convex,22518.48139999998,125.18481399999976,-77.69180870096869,rema_100150__rsma_100150,3.0,rema_100150__rsma_100150_equity_convex
rbo_50__rema_50100_equity_convex,21598.643400000008,115.98643400000009,-75.37313104967654,rbo_50__rema_50100,7.0,rbo_50__rema_50100_equity_convex
rbo_100__rema_50100150_equity_concave,21478.878800000046,114.78878800000048,-75.37313104967654,rbo_100__rema_50100150,31.0,rbo_100__rema_50100150_equity_concave
rsma_50100150__rbo_20_equity_concave,21440.28679999997,114.40286799999969,-81.44897585905613,rsma_50100150__rbo_20,34.0,rsma_50100150__rbo_20_equity_concave
rtt_5020__rema_50100150_equity_convex,21335.690000000002,113.35690000000001,-77.91708134471367,rtt_5020__rema_50100150,22.0,rtt_5020__rema_50100150_equity_convex
rbo_20__rema_100150_equity_convex,21293.842900000025,112.93842900000027,-77.91708134471367,rbo_20__rema_100150,15.0,rbo_20__rema_100150_equity_convex
rtt_5020__rema_50100_equity_convex,21198.69360000002,111.98693600000023,-77.91708134471367,rtt_5020__rema_50100,7.0,rtt_5020__rema_50100_equity_convex
rema_100150__rema_100150_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_concave
rema_100150__rema_50100_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_concave
rema_100150__rsma_50100_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rsma_50100,2.0,rema_100150__rsma_50100_equity_concave
rema_100150__rtt_5020_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rtt_5020,2.0,rema_100150__rtt_5020_equity_concave
rema_100150__rbo_100_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_concave
rema_100150__rbo_50_equity_concave,20753.193999999967,107.53193999999966,-78.8041374018571,rema_100150__rbo_50,2.0,rema_100150__rbo_50_equity_concave
rbo_100__rsma_100150_equity_convex,20721.595099999995,107.21595099999996,-75.37313104967654,rbo_100__rsma_100150,12.0,rbo_100__rsma_100150_equity_convex
rbo_100__rema_100150_equity_concave,20624.173799999993,106.24173799999994,-75.37313104967654,rbo_100__rema_100150,10.0,rbo_100__rema_100150_equity_concave
rbo_50__rema_50100150_equity_concave,20393.59160000003,103.93591600000028,-75.37313104967654,rbo_50__rema_50100150,34.0,rbo_50__rema_50100150_equity_concave
rsma_100150__rbo_50_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rbo_50,2.0,rsma_100150__rbo_50_equity_convex
rsma_100150__rema_50100_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_convex
rsma_100150__rema_100150_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_convex
rsma_100150__rtt_5020_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rtt_5020,2.0,rsma_100150__rtt_5020_equity_convex
rsma_100150__rsma_50100_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rsma_50100,2.0,rsma_100150__rsma_50100_equity_convex
rsma_100150__rsma_100150_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_convex
rsma_100150__rbo_100_equity_convex,20392.49719999998,103.92497199999981,-76.48143472091182,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_convex
rema_50100150__rtt_5020_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100150__rtt_5020,2.0,rema_50100150__rtt_5020_equity_concave
rema_50100150__rbo_100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100_equity_concave
rema_50100150__rbo_50_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100150__rbo_50,2.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rsma_50100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100150__rsma_50100,2.0,rema_50100150__rsma_50100_equity_concave
rema_50100__rbo_50_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100__rbo_50,2.0,rema_50100__rbo_50_equity_concave
rema_50100__rsma_50100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100__rsma_50100,2.0,rema_50100__rsma_50100_equity_concave
rema_50100__rema_50100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_concave
rema_50100__rbo_100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100__rbo_100,2.0,rema_50100__rbo_100_equity_concave
rema_50100__rtt_5020_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100__rtt_5020,2.0,rema_50100__rtt_5020_equity_concave
rema_50100150__rema_50100_equity_concave,20253.801799999987,102.53801799999987,-78.7830480865496,rema_50100150__rema_50100,2.0,rema_50100150__rema_50100_equity_concave
rbo_20__rema_50100150_equity_convex,20151.41830000001,101.5141830000001,-77.91708134471367,rbo_20__rema_50100150,24.0,rbo_20__rema_50100150_equity_convex
rbo_20__rema_50100_equity_convex,20056.280200000016,100.56280200000015,-77.91708134471367,rbo_20__rema_50100,9.0,rbo_20__rema_50100_equity_convex
rsma_50100__rema_50100150_equity_convex,20043.896199999977,100.43896199999978,-75.37313104967654,rsma_50100__rema_50100150,32.0,rsma_50100__rema_50100150_equity_convex
rbo_50__rema_100150_equity_concave,19951.438100000007,99.51438100000007,-75.37313104967654,rbo_50__rema_100150,13.0,rbo_50__rema_100150_equity_concave
rema_50100__rsma_100150_equity_convex,19849.640399999975,98.49640399999974,-78.41138673790199,rema_50100__rsma_100150,10.0,rema_50100__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_convex,19623.583199999975,96.23583199999976,-75.37313104967654,rbo_50__rsma_100150,15.0,rbo_50__rsma_100150_equity_convex
rtt_5020__rema_100150_equity_concave,19535.894400000012,95.35894400000011,-77.91708134471367,rtt_5020__rema_100150,13.0,rtt_5020__rema_100150_equity_concave
rsma_50100150__rsma_50100150_equity_convex,19384.91239999999,93.84912399999989,-75.37313104967654,rsma_50100150__rsma_50100150,2.0,rsma_50100150__rsma_50100150_equity_convex
rtt_5020__rsma_100150_equity_convex,19243.750000000015,92.43750000000016,-77.91708134471367,rtt_5020__rsma_100150,15.0,rtt_5020__rsma_100150_equity_convex
rtt_5020__rema_50100150_equity_concave,18445.38580000001,84.45385800000011,-77.91708134471367,rtt_5020__rema_50100150,22.0,rtt_5020__rema_50100150_equity_concave
rbo_20__rsma_100150_equity_convex,18194.238900000008,81.94238900000008,-77.91708134471367,rbo_20__rsma_100150,17.0,rbo_20__rsma_100150_equity_convex
rbo_20__rema_100150_equity_concave,18192.58210000003,81.92582100000027,-77.91708134471367,rbo_20__rema_100150,15.0,rbo_20__rema_100150_equity_concave
rbo_100__rema_50100_equity_concave,17804.08110000002,78.04081100000022,-75.37313104967654,rbo_100__rema_50100,4.0,rbo_100__rema_50100_equity_concave
rsma_50100150__rema_100150_equity_convex,17453.711699999963,74.53711699999963,-75.37313104967654,rsma_50100150__rema_100150,12.0,rsma_50100150__rema_100150_equity_convex
rsma_50100__rema_100150_equity_convex,17453.711699999963,74.53711699999963,-75.37313104967654,rsma_50100__rema_100150,12.0,rsma_50100__rema_100150_equity_convex
rsma_50100150__rbo_20_equity_convex,17303.148699999972,73.03148699999973,-67.30237209551997,rsma_50100150__rbo_20,34.0,rsma_50100150__rbo_20_equity_convex
rbo_20__rema_50100150_equity_concave,17171.502300000007,71.71502300000007,-77.91708134471367,rbo_20__rema_50100150,24.0,rbo_20__rema_50100150_equity_concave
rbo_50__rsma_100150_equity_concave,17031.871899999984,70.31871899999985,-75.37313104967654,rbo_50__rsma_100150,15.0,rbo_50__rsma_100150_equity_concave
rtt_5020__rsma_100150_equity_concave,16691.186100000006,66.91186100000006,-77.91708134471367,rtt_5020__rsma_100150,15.0,rtt_5020__rsma_100150_equity_concave
rbo_50__rema_50100_equity_concave,16376.135200000008,63.76135200000008,-75.37313104967654,rbo_50__rema_50100,7.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_50100_equity_concave,16211.971100000024,62.119711000000244,-77.91708134471367,rtt_5020__rema_50100,7.0,rtt_5020__rema_50100_equity_concave
rsma_50100150__rema_50100150_equity_concave,15982.591999999933,59.825919999999336,-75.37313104967654,rsma_50100150__rema_50100150,6.0,rsma_50100150__rema_50100150_equity_concave
rbo_20__rema_50100_equity_concave,15917.571600000021,59.1757160000002,-77.91708134471367,rbo_20__rema_50100,9.0,rbo_20__rema_50100_equity_concave
rsma_50100150__rsma_100150_equity_convex,15882.71389999997,58.8271389999997,-75.37313104967654,rsma_50100150__rsma_100150,13.0,rsma_50100150__rsma_100150_equity_convex
rsma_50100__rsma_100150_equity_convex,15882.71389999997,58.8271389999997,-75.37313104967654,rsma_50100__rsma_100150,13.0,rsma_50100__rsma_100150_equity_convex
rema_100150__rsma_100150_equity_concave,15789.237799999977,57.89237799999978,-80.57922504042632,rema_100150__rsma_100150,3.0,rema_100150__rsma_100150_equity_concave
rbo_20__rsma_100150_equity_concave,15540.363800000016,55.403638000000164,-77.91708134471367,rbo_20__rsma_100150,17.0,rbo_20__rsma_100150_equity_concave
rbo_100__rsma_50100150_equity_convex,15449.582699999974,54.49582699999973,-75.37313104967654,rbo_100__rsma_50100150,27.0,rbo_100__rsma_50100150_equity_convex
rtt_5020__rsma_50100150_equity_convex,14768.4429,47.68442900000001,-77.91708134471367,rtt_5020__rsma_50100150,17.0,rtt_5020__rsma_50100150_equity_convex
rbo_20__rsma_50100150_equity_convex,14712.317800000004,47.12317800000005,-77.91708134471367,rbo_20__rsma_50100150,19.0,rbo_20__rsma_50100150_equity_convex
rbo_100__rsma_100150_equity_concave,14640.359099999965,46.40359099999964,-75.37313104967654,rbo_100__rsma_100150,12.0,rbo_100__rsma_100150_equity_concave
rsma_50100__rema_50100150_equity_concave,14180.171799999942,41.80171799999941,-75.37313104967654,rsma_50100__rema_50100150,32.0,rsma_50100__rema_50100150_equity_concave
rsma_50100__rsma_50100150_equity_convex,14140.317799999975,41.403177999999755,-75.37313104967654,rsma_50100__rsma_50100150,27.0,rsma_50100__rsma_50100150_equity_convex
rbo_50__rsma_50100150_equity_convex,13216.89739999996,32.16897399999961,-75.37313104967654,rbo_50__rsma_50100150,28.0,rbo_50__rsma_50100150_equity_convex
rsma_100150__rbo_50_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rbo_50,2.0,rsma_100150__rbo_50_equity_concave
rsma_100150__rtt_5020_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rtt_5020,2.0,rsma_100150__rtt_5020_equity_concave
rsma_100150__rsma_50100_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rsma_50100,2.0,rsma_100150__rsma_50100_equity_concave
rsma_100150__rbo_100_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_concave
rsma_100150__rema_100150_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_concave
rsma_100150__rema_50100_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_concave
rsma_100150__rsma_100150_equity_concave,12349.61719999998,23.496171999999802,-79.09060088636613,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_concave
rema_50100__rsma_100150_equity_concave,12016.45659999995,20.164565999999496,-81.39073720222386,rema_50100__rsma_100150,10.0,rema_50100__rsma_100150_equity_concave
rsma_50100__rema_100150_equity_concave,11836.57039999996,18.365703999999596,-75.37313104967654,rsma_50100__rema_100150,12.0,rsma_50100__rema_100150_equity_concave
