Signal,Final Equity,Total Return,Max Drawdown
rbo_50,10744.89080000002,7.448908000000198,-8.065972800096972
rtt_5020,10697.434199999996,6.974341999999956,-7.99021780546028
rrg,10529.188200000002,5.291882000000014,-6.41039442861995
rbo_20,10424.36059999999,4.243605999999911,-6.847147076289972
rsma_50100,10253.136000000008,2.5313600000000713,-6.986457114007683
rbo_100,10220.836299999995,2.2083629999999577,-6.945418939141611
rsma_100150,10208.504599999987,2.0850459999998794,-4.92495213066401
rema_50100,10137.703500000009,1.377035000000082,-5.302287005852293
rema_50100150,9867.473800000007,-1.325261999999927,-4.146053999999949
rema_100150,9658.334499999983,-3.4166550000001683,-7.579167315117684
rsma_50100150,9488.538300000015,-5.114616999999855,-5.760268999999844
