equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rsma_50100150_equity_constant,14040.226000000011,40.40226000000011,-29.27387066276576,rbo_50__rsma_50100150,109.0,rbo_50__rsma_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,13567.02440000001,35.670244000000096,-27.692246945468785,rbo_100__rsma_50100150,92.0,rbo_100__rsma_50100150_equity_constant
rbo_50__rema_100150_equity_constant,13518.487999999998,35.18487999999997,-27.18807064718467,rbo_50__rema_100150,50.0,rbo_50__rema_100150_equity_constant
rbo_50__rsma_50100_equity_constant,13483.057800000008,34.83057800000007,-26.717975724919256,rbo_50__rsma_50100,29.0,rbo_50__rsma_50100_equity_constant
rsma_50100__rema_100150_equity_constant,13210.982600000008,32.109826000000076,-25.66341857146572,rsma_50100__rema_100150,22.0,rsma_50100__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,13187.574400000005,31.87574400000004,-27.178167920249592,rsma_100150__rema_100150,8.0,rsma_100150__rema_100150_equity_constant
rema_50100150__rema_100150_equity_constant,13144.374100000005,31.443741000000045,-27.266660964124185,rema_50100150__rema_100150,10.0,rema_50100150__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,13144.374100000005,31.443741000000045,-27.266660964124185,rema_50100__rema_100150,10.0,rema_50100__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,13068.341600000007,30.683416000000065,-25.72486683425952,rbo_100__rema_100150,33.0,rbo_100__rema_100150_equity_constant
rbo_100__rsma_50100_equity_constant,13014.2786,30.142786,-24.99342030141967,rbo_100__rsma_50100,12.0,rbo_100__rsma_50100_equity_constant
rema_100150__rsma_50100_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rsma_50100,1.0,rema_100150__rsma_50100_equity_constant
rema_100150__rema_100150_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rema_100150__rema_50100_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rema_50100,1.0,rema_100150__rema_50100_equity_constant
rema_100150__rsma_100150_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_constant
rema_100150__rtt_5020_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rtt_5020,1.0,rema_100150__rtt_5020_equity_constant
rema_100150__rbo_100_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rbo_100,1.0,rema_100150__rbo_100_equity_constant
rema_100150__rbo_50_equity_constant,12867.848399999992,28.678483999999926,-25.69055969401116,rema_100150__rbo_50,1.0,rema_100150__rbo_50_equity_constant
