equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rbo_20_equity_constant,14769.610399999994,47.69610399999995,-40.91017936047004,rbo_100__rbo_20,60.0,rbo_100__rbo_20_equity_constant
rsma_50100150__rbo_20_equity_constant,14125.335700000003,41.25335700000004,-30.317602661142303,rsma_50100150__rbo_20,28.0,rsma_50100150__rbo_20_equity_constant
rbo_50__rbo_20_equity_constant,13553.271499999999,35.532714999999996,-39.29719206513662,rbo_50__rbo_20,45.0,rbo_50__rbo_20_equity_constant
rema_100150__rbo_20_equity_constant,13524.0724,35.240724,-33.85287804630465,rema_100150__rbo_20,47.0,rema_100150__rbo_20_equity_constant
rsma_50100150__rsma_50100_equity_constant,13320.528699999995,33.20528699999996,-32.640237013308656,rsma_50100150__rsma_50100,16.0,rsma_50100150__rsma_50100_equity_constant
rema_100150__rsma_100150_equity_constant,13259.1423,32.591423,-31.05385191815792,rema_100150__rsma_100150,25.0,rema_100150__rsma_100150_equity_constant
rsma_50100150__rbo_100_equity_constant,13227.982399999983,32.27982399999982,-28.64627820322636,rsma_50100150__rbo_100,9.0,rsma_50100150__rbo_100_equity_constant
rbo_20__rsma_50100150_equity_constant,13005.810199999987,30.058101999999877,-30.900794583177987,rbo_20__rsma_50100150,80.0,rbo_20__rsma_50100150_equity_constant
rema_50100__rtt_5020_equity_constant,12911.92410000001,29.119241000000095,-26.10288622994668,rema_50100__rtt_5020,14.0,rema_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,12911.92410000001,29.119241000000095,-26.10288622994668,rema_50100__rbo_50,14.0,rema_50100__rbo_50_equity_constant
rema_50100__rbo_20_equity_constant,12905.816499999994,29.058164999999935,-30.679198916028337,rema_50100__rbo_20,42.0,rema_50100__rbo_20_equity_constant
rsma_50100150__rbo_50_equity_constant,12854.825400000009,28.548254000000096,-25.075670318454684,rsma_50100150__rbo_50,17.0,rsma_50100150__rbo_50_equity_constant
rsma_100150__rsma_50100_equity_constant,12756.879600000011,27.568796000000106,-30.34515626734271,rsma_100150__rsma_50100,19.0,rsma_100150__rsma_50100_equity_constant
rsma_50100150__rsma_100150_equity_constant,12747.818299999992,27.478182999999913,-28.35465170061581,rsma_50100150__rsma_100150,16.0,rsma_50100150__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,12726.490600000001,27.264906,-31.3615195920261,rbo_100__rsma_100150,40.0,rbo_100__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,12724.117900000001,27.241179000000002,-31.746612092980346,rbo_50__rsma_100150,42.0,rbo_50__rsma_100150_equity_constant
rema_50100__rbo_100_equity_constant,12723.510700000013,27.235107000000134,-26.580946892828756,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_constant
rtt_5020__rsma_50100150_equity_constant,12657.845799999997,26.578457999999983,-29.889481404157515,rtt_5020__rsma_50100150,75.0,rtt_5020__rsma_50100150_equity_constant
rsma_100150__rbo_50_equity_constant,12642.512300000026,26.425123000000262,-26.705365368326717,rsma_100150__rbo_50,28.0,rsma_100150__rbo_50_equity_constant
rbo_100__rbo_100_equity_constant,12572.00940000001,25.720094000000103,-28.80372058647091,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_constant
rbo_100__rbo_50_equity_constant,12540.033000000003,25.40033000000004,-27.116580103058624,rbo_100__rbo_50,17.0,rbo_100__rbo_50_equity_constant
rbo_100__rtt_5020_equity_constant,12540.033000000003,25.40033000000004,-27.116580103058624,rbo_100__rtt_5020,17.0,rbo_100__rtt_5020_equity_constant
rsma_50100__rsma_50100150_equity_constant,12534.710299999999,25.347102999999983,-27.306265485966964,rsma_50100__rsma_50100150,96.0,rsma_50100__rsma_50100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,12428.796799999998,24.287967999999992,-20.14826407009887,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,12403.621699999996,24.036216999999958,-23.85087156490676,rbo_100__rsma_50100150,106.0,rbo_100__rsma_50100150_equity_constant
rsma_50100__rbo_100_equity_constant,12293.658200000003,22.936582000000037,-29.797668876455973,rsma_50100__rbo_100,10.0,rsma_50100__rbo_100_equity_constant
