equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rsma_100150_equity_concave,318838.28749999614,3088.382874999961,-111.07801494604459,rtt_5020__rsma_100150,48.0,rtt_5020__rsma_100150_equity_concave
rtt_5020__rsma_100150_equity_convex,253835.7777999983,2438.3577779999828,-110.48062963394383,rtt_5020__rsma_100150,48.0,rtt_5020__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_concave,87405.34560000015,774.0534560000015,-141.2293588691838,rbo_50__rsma_100150,70.0,rbo_50__rsma_100150_equity_concave
rbo_50__rsma_100150_equity_convex,74612.97320000024,646.1297320000024,-127.06668125265415,rbo_50__rsma_100150,70.0,rbo_50__rsma_100150_equity_convex
rbo_100__rema_100150_equity_concave,71515.80699999991,615.1580699999992,-127.40344979220414,rbo_100__rema_100150,13.0,rbo_100__rema_100150_equity_concave
rtt_5020__rema_100150_equity_concave,59686.882699999915,496.86882699999916,-125.574510657861,rtt_5020__rema_100150,18.0,rtt_5020__rema_100150_equity_concave
rsma_100150__rema_50100_equity_concave,51376.23090000011,413.76230900000115,-133.10222269589218,rsma_100150__rema_50100,44.0,rsma_100150__rema_50100_equity_concave
rbo_100__rema_100150_equity_convex,51155.534899999926,411.5553489999993,-113.47741808728775,rbo_100__rema_100150,13.0,rbo_100__rema_100150_equity_convex
rtt_5020__rbo_100_equity_concave,50465.108299999905,404.651082999999,-100.55903305575615,rtt_5020__rbo_100,42.0,rtt_5020__rbo_100_equity_concave
rtt_5020__rbo_100_equity_convex,47457.70169999994,374.5770169999994,-100.66956368647458,rtt_5020__rbo_100,42.0,rtt_5020__rbo_100_equity_convex
rtt_5020__rema_50100_equity_convex,46255.190399999985,362.55190399999987,-95.83694235540604,rtt_5020__rema_50100,22.0,rtt_5020__rema_50100_equity_convex
rtt_5020__rema_100150_equity_convex,45870.681900000054,358.70681900000056,-110.7688164471029,rtt_5020__rema_100150,18.0,rtt_5020__rema_100150_equity_convex
rtt_5020__rema_50100_equity_concave,45263.32960000001,352.63329600000014,-96.04426836055111,rtt_5020__rema_50100,22.0,rtt_5020__rema_50100_equity_concave
rsma_100150__rema_50100_equity_convex,44769.71270000009,347.6971270000009,-138.67941818287886,rsma_100150__rema_50100,44.0,rsma_100150__rema_50100_equity_convex
rbo_100__rsma_100150_equity_concave,41283.942899999514,312.8394289999951,-115.12009459802839,rbo_100__rsma_100150,51.0,rbo_100__rsma_100150_equity_concave
rema_50100150__rema_50100_equity_concave,36982.85569999997,269.8285569999997,-99.03575137628431,rema_50100150__rema_50100,48.0,rema_50100150__rema_50100_equity_concave
rtt_5020__rbo_50_equity_concave,34020.80329999997,240.2080329999997,-140.69019228499852,rtt_5020__rbo_50,6.0,rtt_5020__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,34020.80329999997,240.2080329999997,-140.69019228499852,rtt_5020__rtt_5020,6.0,rtt_5020__rtt_5020_equity_concave
rbo_50__rema_100150_equity_concave,31337.52790000003,213.37527900000032,-136.5438821642353,rbo_50__rema_100150,20.0,rbo_50__rema_100150_equity_concave
rbo_20__rsma_100150_equity_convex,30927.89969999985,209.2789969999985,-100.40942333920061,rbo_20__rsma_100150,53.0,rbo_20__rsma_100150_equity_convex
rema_50100150__rema_50100_equity_convex,30756.842299999942,207.5684229999994,-95.31033170513055,rema_50100150__rema_50100,48.0,rema_50100150__rema_50100_equity_convex
rtt_5020__rtt_5020_equity_convex,29418.62739999996,194.1862739999996,-105.55587756625373,rtt_5020__rtt_5020,6.0,rtt_5020__rtt_5020_equity_convex
rtt_5020__rbo_50_equity_convex,29418.62739999996,194.1862739999996,-105.55587756625373,rtt_5020__rbo_50,6.0,rtt_5020__rbo_50_equity_convex
rbo_100__rsma_100150_equity_convex,28750.66889999965,187.50668899999653,-108.25365299719618,rbo_100__rsma_100150,51.0,rbo_100__rsma_100150_equity_convex
