equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100__rbo_20_equity_constant,14080.575399999994,40.80575399999995,-34.81513935913828,rsma_50100__rbo_20,77.0,rsma_50100__rbo_20_equity_constant
rema_50100__rbo_20_equity_constant,14080.575399999994,40.80575399999995,-34.81513935913828,rema_50100__rbo_20,77.0,rema_50100__rbo_20_equity_constant
rema_100150__rbo_20_equity_constant,13711.744699999997,37.11744699999997,-34.79925656865805,rema_100150__rbo_20,72.0,rema_100150__rbo_20_equity_constant
rsma_100150__rbo_20_equity_constant,13711.744699999997,37.11744699999997,-34.79925656865805,rsma_100150__rbo_20,72.0,rsma_100150__rbo_20_equity_constant
rbo_50__rbo_20_equity_constant,13536.931400000001,35.36931400000001,-34.7713404765315,rbo_50__rbo_20,65.0,rbo_50__rbo_20_equity_constant
rbo_100__rbo_20_equity_constant,13011.935499999996,30.11935499999996,-34.90496167647263,rbo_100__rbo_20,73.0,rbo_100__rbo_20_equity_constant
rsma_50100__rsma_50100150_equity_constant,12939.728200000001,29.397282000000025,-27.496437936247613,rsma_50100__rsma_50100150,190.0,rsma_50100__rsma_50100150_equity_constant
rema_50100__rsma_50100150_equity_constant,12939.728200000001,29.397282000000025,-27.496437936247613,rema_50100__rsma_50100150,190.0,rema_50100__rsma_50100150_equity_constant
rema_50100__rema_100150_equity_constant,12854.697799999996,28.546977999999967,-24.514271226201938,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,12854.697799999996,28.546977999999967,-24.514271226201938,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,12854.697799999996,28.546977999999967,-24.514271226201938,rsma_50100__rsma_100150,1.0,rsma_50100__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,12854.697799999996,28.546977999999967,-24.514271226201938,rema_50100__rsma_100150,1.0,rema_50100__rsma_100150_equity_constant
rema_50100__rsma_50100_equity_constant,12748.692599999995,27.486925999999954,-24.514271226201938,rema_50100__rsma_50100,1.0,rema_50100__rsma_50100_equity_constant
rsma_50100__rsma_50100_equity_constant,12748.692599999995,27.486925999999954,-24.514271226201938,rsma_50100__rsma_50100,1.0,rsma_50100__rsma_50100_equity_constant
rsma_50100__rema_50100_equity_constant,12743.371599999995,27.433715999999954,-24.514271226201938,rsma_50100__rema_50100,1.0,rsma_50100__rema_50100_equity_constant
rema_50100__rema_50100_equity_constant,12743.371599999995,27.433715999999954,-24.514271226201938,rema_50100__rema_50100,1.0,rema_50100__rema_50100_equity_constant
rema_50100__rema_50100150_equity_constant,12687.186400000002,26.871864000000034,-27.496437936247613,rema_50100__rema_50100150,190.0,rema_50100__rema_50100150_equity_constant
rsma_50100__rema_50100150_equity_constant,12687.186400000002,26.871864000000034,-27.496437936247613,rsma_50100__rema_50100150,190.0,rsma_50100__rema_50100150_equity_constant
rsma_50100__rbo_100_equity_constant,12620.046599999996,26.200465999999967,-24.514271226201938,rsma_50100__rbo_100,2.0,rsma_50100__rbo_100_equity_constant
rtt_5020__rbo_20_equity_constant,12610.78819999999,26.107881999999893,-29.32150317970149,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_constant
rbo_20__rbo_20_equity_constant,12610.78819999999,26.107881999999893,-29.32150317970149,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_constant
rema_50100__rbo_100_equity_constant,12607.683099999997,26.076830999999956,-24.514271226201938,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_constant
rbo_50__rtt_5020_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rbo_50__rtt_5020,1.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rbo_50__rbo_50,1.0,rbo_50__rbo_50_equity_constant
rtt_5020__rbo_50_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rtt_5020__rbo_50,1.0,rtt_5020__rbo_50_equity_constant
rbo_20__rbo_50_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rbo_20__rbo_50,1.0,rbo_20__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rtt_5020__rtt_5020,1.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rtt_5020_equity_constant,12299.8314,22.998313999999986,-23.607974407864763,rbo_20__rtt_5020,1.0,rbo_20__rtt_5020_equity_constant
rtt_5020_equity_constant,12219.657899999987,22.196578999999872,-29.60349567170848,rtt_5020,,rtt_5020_equity_constant
rbo_100__rsma_100150_equity_constant,12167.138800000008,21.67138800000008,-24.807586157876177,rbo_100__rsma_100150,1.0,rbo_100__rsma_100150_equity_constant
rbo_100__rema_100150_equity_constant,12167.138800000008,21.67138800000008,-24.807586157876177,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rtt_5020__rsma_100150,1.0,rtt_5020__rsma_100150_equity_constant
rbo_20__rema_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_constant
rbo_50__rema_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_constant
rbo_50__rsma_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rbo_50__rsma_100150,1.0,rbo_50__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,12095.059599999999,20.950595999999976,-23.607974407864763,rbo_20__rsma_100150,1.0,rbo_20__rsma_100150_equity_constant
rbo_100__rsma_50100_equity_constant,12054.898000000008,20.54898000000007,-24.807586157876177,rbo_100__rsma_50100,1.0,rbo_100__rsma_50100_equity_constant
rema_100150__rema_50100_equity_constant,12049.664800000008,20.496648000000086,-22.4166903647786,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_constant
rsma_100150__rema_50100_equity_constant,12049.664800000008,20.496648000000086,-22.4166903647786,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_constant
rbo_100__rema_50100_equity_constant,12049.264000000008,20.492640000000083,-24.807586157876177,rbo_100__rema_50100,1.0,rbo_100__rema_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,12008.188800000007,20.08188800000008,-22.4166903647786,rsma_100150__rsma_100150,1.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rema_100150_equity_constant,12008.188800000007,20.08188800000008,-22.4166903647786,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,12008.188800000007,20.08188800000008,-22.4166903647786,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rema_100150__rsma_100150_equity_constant,12008.188800000007,20.08188800000008,-22.4166903647786,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_constant
rbo_100__rbo_100_equity_constant,12006.319600000008,20.063196000000083,-24.807586157876177,rbo_100__rbo_100,1.0,rbo_100__rbo_100_equity_constant
rbo_50__rema_50100150_equity_constant,12003.202700000013,20.03202700000013,-24.89286540768575,rbo_50__rema_50100150,180.0,rbo_50__rema_50100150_equity_constant
rbo_50__rsma_50100150_equity_constant,12003.202700000013,20.03202700000013,-24.89286540768575,rbo_50__rsma_50100150,180.0,rbo_50__rsma_50100150_equity_constant
rsma_100150__rsma_50100_equity_constant,11996.672200000008,19.966722000000093,-22.4166903647786,rsma_100150__rsma_50100,3.0,rsma_100150__rsma_50100_equity_constant
rema_100150__rsma_50100_equity_constant,11996.672200000008,19.966722000000093,-22.4166903647786,rema_100150__rsma_50100,3.0,rema_100150__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,11989.054399999997,19.890543999999966,-23.607974407864763,rtt_5020__rsma_50100,1.0,rtt_5020__rsma_50100_equity_constant
rbo_20__rsma_50100_equity_constant,11989.054399999997,19.890543999999966,-23.607974407864763,rbo_20__rsma_50100,1.0,rbo_20__rsma_50100_equity_constant
rbo_50__rsma_50100_equity_constant,11989.054399999997,19.890543999999966,-23.607974407864763,rbo_50__rsma_50100,1.0,rbo_50__rsma_50100_equity_constant
rbo_20__rema_50100_equity_constant,11983.733399999997,19.837333999999984,-23.607974407864763,rbo_20__rema_50100,1.0,rbo_20__rema_50100_equity_constant
rbo_50__rema_50100_equity_constant,11983.733399999997,19.837333999999984,-23.607974407864763,rbo_50__rema_50100,1.0,rbo_50__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,11983.733399999997,19.837333999999984,-23.607974407864763,rtt_5020__rema_50100,1.0,rtt_5020__rema_50100_equity_constant
rbo_20__rbo_100_equity_constant,11943.174799999999,19.43174799999998,-23.607974407864763,rbo_20__rbo_100,1.0,rbo_20__rbo_100_equity_constant
rbo_50__rbo_100_equity_constant,11943.174799999999,19.43174799999998,-23.607974407864763,rbo_50__rbo_100,1.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,11943.174799999999,19.43174799999998,-23.607974407864763,rtt_5020__rbo_100,1.0,rtt_5020__rbo_100_equity_constant
rsma_100150__rbo_100_equity_constant,11920.887700000007,19.20887700000007,-22.4166903647786,rsma_100150__rbo_100,4.0,rsma_100150__rbo_100_equity_constant
rema_100150__rbo_100_equity_constant,11920.887700000007,19.20887700000007,-22.4166903647786,rema_100150__rbo_100,4.0,rema_100150__rbo_100_equity_constant
rsma_50100__rbo_50_equity_constant,11814.034000000005,18.140340000000045,-24.529174500412605,rsma_50100__rbo_50,12.0,rsma_50100__rbo_50_equity_constant
rsma_50100__rtt_5020_equity_constant,11814.034000000005,18.140340000000045,-24.529174500412605,rsma_50100__rtt_5020,12.0,rsma_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,11802.453000000005,18.024530000000063,-24.529174500412605,rema_50100__rbo_50,13.0,rema_50100__rbo_50_equity_constant
rema_50100__rtt_5020_equity_constant,11802.453000000005,18.024530000000063,-24.529174500412605,rema_50100__rtt_5020,13.0,rema_50100__rtt_5020_equity_constant
rbo_100__rsma_50100150_equity_constant,11535.710900000011,15.357109000000113,-25.110030871836752,rbo_100__rsma_50100150,188.0,rbo_100__rsma_50100150_equity_constant
rbo_100__rema_50100150_equity_constant,11535.710900000011,15.357109000000113,-25.110030871836752,rbo_100__rema_50100150,188.0,rbo_100__rema_50100150_equity_constant
rbo_100__rbo_50_equity_constant,11318.008600000005,13.180086000000045,-24.96605499652829,rbo_100__rbo_50,9.0,rbo_100__rbo_50_equity_constant
rbo_100__rtt_5020_equity_constant,11318.008600000005,13.180086000000045,-24.96605499652829,rbo_100__rtt_5020,9.0,rbo_100__rtt_5020_equity_constant
rsma_100150__rema_50100150_equity_constant,11261.973700000006,12.619737000000054,-25.899411839570835,rsma_100150__rema_50100150,190.0,rsma_100150__rema_50100150_equity_constant
rema_100150__rema_50100150_equity_constant,11261.973700000006,12.619737000000054,-25.899411839570835,rema_100150__rema_50100150,190.0,rema_100150__rema_50100150_equity_constant
rema_100150__rsma_50100150_equity_constant,11261.973700000006,12.619737000000054,-25.899411839570835,rema_100150__rsma_50100150,190.0,rema_100150__rsma_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,11261.973700000006,12.619737000000054,-25.899411839570835,rsma_100150__rsma_50100150,190.0,rsma_100150__rsma_50100150_equity_constant
rema_100150__rtt_5020_equity_constant,11202.514900000006,12.025149000000045,-22.690570998867354,rema_100150__rtt_5020,12.0,rema_100150__rtt_5020_equity_constant
rsma_100150__rbo_50_equity_constant,11202.514900000006,12.025149000000045,-22.690570998867354,rsma_100150__rbo_50,12.0,rsma_100150__rbo_50_equity_constant
rsma_100150__rtt_5020_equity_constant,11202.514900000006,12.025149000000045,-22.690570998867354,rsma_100150__rtt_5020,12.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rbo_50_equity_constant,11202.514900000006,12.025149000000045,-22.690570998867354,rema_100150__rbo_50,12.0,rema_100150__rbo_50_equity_constant
rsma_50100__rbo_20_equity_equal,10946.917999999989,9.469179999999877,-10.205848287141801,rsma_50100__rbo_20,77.0,rsma_50100__rbo_20_equity_equal
rema_50100__rbo_20_equity_equal,10946.917999999989,9.469179999999877,-10.205848287141801,rema_50100__rbo_20,77.0,rema_50100__rbo_20_equity_equal
rsma_100150__rbo_20_equity_equal,10876.353899999978,8.763538999999776,-10.077697617844152,rsma_100150__rbo_20,72.0,rsma_100150__rbo_20_equity_equal
rema_100150__rbo_20_equity_equal,10876.353899999978,8.763538999999776,-10.077697617844152,rema_100150__rbo_20,72.0,rema_100150__rbo_20_equity_equal
rbo_50__rbo_20_equity_equal,10813.931399999989,8.139313999999874,-10.055212302460962,rbo_50__rbo_20,65.0,rbo_50__rbo_20_equity_equal
rbo_100__rbo_20_equity_equal,10722.86779999999,7.228677999999911,-10.066985397142115,rbo_100__rbo_20,73.0,rbo_100__rbo_20_equity_equal
rtt_5020__rbo_20_equity_equal,10656.724199999991,6.567241999999918,-8.5799444584871,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_equal
rbo_20__rbo_20_equity_equal,10656.724199999991,6.567241999999918,-8.5799444584871,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_equal
rbo_50__rtt_5020_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rbo_50__rtt_5020,1.0,rbo_50__rtt_5020_equity_equal
rbo_20__rbo_50_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rbo_20__rbo_50,1.0,rbo_20__rbo_50_equity_equal
rtt_5020__rbo_50_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rtt_5020__rbo_50,1.0,rtt_5020__rbo_50_equity_equal
rbo_20__rtt_5020_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rbo_20__rtt_5020,1.0,rbo_20__rtt_5020_equity_equal
rtt_5020__rtt_5020_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rtt_5020__rtt_5020,1.0,rtt_5020__rtt_5020_equity_equal
rbo_50__rbo_50_equity_equal,10608.778900000003,6.087789000000021,-7.321719727375949,rbo_50__rbo_50,1.0,rbo_50__rbo_50_equity_equal
rsma_50100__rsma_100150_equity_equal,10587.731899999999,5.877318999999992,-6.2670822384313265,rsma_50100__rsma_100150,1.0,rsma_50100__rsma_100150_equity_equal
rema_50100__rsma_100150_equity_equal,10587.731899999999,5.877318999999992,-6.2670822384313265,rema_50100__rsma_100150,1.0,rema_50100__rsma_100150_equity_equal
rema_50100__rema_100150_equity_equal,10587.731899999999,5.877318999999992,-6.2670822384313265,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_equal
rrg_equity_equal,10587.731899999999,5.877318999999992,-6.2670822384313265,rrg,,rrg_equity_equal
rsma_50100__rema_100150_equity_equal,10587.731899999999,5.877318999999992,-6.2670822384313265,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_equal
rtt_5020_equity_equal,10582.173899999996,5.821738999999959,-10.255928795198676,rtt_5020,,rtt_5020_equity_equal
rema_100150__rema_50100_equity_equal,10577.991700000008,5.779917000000068,-7.314700167497885,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_equal
rsma_100150__rema_50100_equity_equal,10577.991700000008,5.779917000000068,-7.314700167497885,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_equal
rsma_50100__rsma_50100150_equity_equal,10575.271499999997,5.752714999999964,-6.440509051576686,rsma_50100__rsma_50100150,190.0,rsma_50100__rsma_50100150_equity_equal
rema_50100__rsma_50100150_equity_equal,10575.271499999997,5.752714999999964,-6.440509051576686,rema_50100__rsma_50100150,190.0,rema_50100__rsma_50100150_equity_equal
rema_50100__rsma_50100_equity_equal,10565.907299999999,5.659072999999992,-6.2670822384313265,rema_50100__rsma_50100,1.0,rema_50100__rsma_50100_equity_equal
rsma_50100__rsma_50100_equity_equal,10565.907299999999,5.659072999999992,-6.2670822384313265,rsma_50100__rsma_50100,1.0,rsma_50100__rsma_50100_equity_equal
rsma_50100__rema_50100_equity_equal,10564.8118,5.648118000000002,-6.2670822384313265,rsma_50100__rema_50100,1.0,rsma_50100__rema_50100_equity_equal
rema_50100__rema_50100_equity_equal,10564.8118,5.648118000000002,-6.2670822384313265,rema_50100__rema_50100,1.0,rema_50100__rema_50100_equity_equal
rsma_100150__rsma_100150_equity_equal,10564.803100000006,5.648031000000064,-7.314700167497885,rsma_100150__rsma_100150,1.0,rsma_100150__rsma_100150_equity_equal
