equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rbo_100_equity_concave,55593.91729999998,455.9391729999998,-82.93515518526699,rsma_100150__rbo_100,29.0,rsma_100150__rbo_100_equity_concave
rsma_100150__rsma_100150_equity_concave,54164.80389999994,441.6480389999994,-128.4703962370658,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_concave
rbo_50__rema_100150_equity_concave,49919.40629999992,399.19406299999923,-81.0516931431074,rbo_50__rema_100150,20.0,rbo_50__rema_100150_equity_concave
rtt_5020__rema_100150_equity_concave,49919.40629999992,399.19406299999923,-81.0516931431074,rtt_5020__rema_100150,20.0,rtt_5020__rema_100150_equity_concave
rsma_100150__rsma_100150_equity_convex,48464.835099999924,384.64835099999925,-127.61997549610773,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_convex
rsma_50100__rema_50100150_equity_convex,45408.69380000005,354.08693800000054,-84.25686756841104,rsma_50100__rema_50100150,45.0,rsma_50100__rema_50100150_equity_convex
rsma_50100__rema_50100150_equity_concave,45246.28460000011,352.46284600000104,-88.7193441132191,rsma_50100__rema_50100150,45.0,rsma_50100__rema_50100150_equity_concave
rtt_5020__rbo_100_equity_concave,42643.00059999994,326.43000599999937,-81.61250445282998,rtt_5020__rbo_100,13.0,rtt_5020__rbo_100_equity_concave
rbo_50__rbo_100_equity_concave,42643.00059999994,326.43000599999937,-81.61250445282998,rbo_50__rbo_100,13.0,rbo_50__rbo_100_equity_concave
rsma_100150__rema_100150_equity_concave,41767.97190000001,317.6797190000001,-77.44984424235342,rsma_100150__rema_100150,36.0,rsma_100150__rema_100150_equity_concave
rtt_5020__rbo_100_equity_convex,39973.93249999997,299.7393249999997,-81.22548128418379,rtt_5020__rbo_100,13.0,rtt_5020__rbo_100_equity_convex
rbo_50__rbo_100_equity_convex,39973.93249999997,299.7393249999997,-81.22548128418379,rbo_50__rbo_100,13.0,rbo_50__rbo_100_equity_convex
rsma_100150__rbo_100_equity_convex,39820.75999999999,298.2075999999999,-75.80899837912547,rsma_100150__rbo_100,29.0,rsma_100150__rbo_100_equity_convex
rema_50100150__rsma_100150_equity_convex,38706.97799999996,287.0697799999996,-94.63254230802426,rema_50100150__rsma_100150,15.0,rema_50100150__rsma_100150_equity_convex
rtt_5020__rema_50100_equity_convex,37974.753899999996,279.74753899999996,-81.32325015452909,rtt_5020__rema_50100,12.0,rtt_5020__rema_50100_equity_convex
rbo_50__rema_50100_equity_convex,37974.753899999996,279.74753899999996,-81.32325015452909,rbo_50__rema_50100,12.0,rbo_50__rema_50100_equity_convex
rema_50100150__rsma_100150_equity_concave,37815.78429999994,278.1578429999994,-115.09576192174542,rema_50100150__rsma_100150,15.0,rema_50100150__rsma_100150_equity_concave
rtt_5020__rema_50100_equity_concave,37142.02849999999,271.4202849999999,-94.54143316955098,rtt_5020__rema_50100,12.0,rtt_5020__rema_50100_equity_concave
rbo_50__rema_50100_equity_concave,37142.02849999999,271.4202849999999,-94.54143316955098,rbo_50__rema_50100,12.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_100150_equity_convex,36835.2775,268.35277499999995,-73.99336393348686,rtt_5020__rema_100150,20.0,rtt_5020__rema_100150_equity_convex
rbo_50__rema_100150_equity_convex,36835.2775,268.35277499999995,-73.99336393348686,rbo_50__rema_100150,20.0,rbo_50__rema_100150_equity_convex
rsma_100150__rtt_5020_equity_convex,34803.43059999999,248.0343059999999,-82.6858159187876,rsma_100150__rtt_5020,19.0,rsma_100150__rtt_5020_equity_convex
rema_50100150__rtt_5020_equity_convex,34187.42819999998,241.8742819999998,-82.87623419875962,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rbo_100_equity_concave,33242.44050000004,232.42440500000038,-89.99853012454331,rema_50100150__rbo_100,23.0,rema_50100150__rbo_100_equity_concave
rsma_50100__rsma_100150_equity_convex,31914.029400000036,219.14029400000038,-74.72777357914838,rsma_50100__rsma_100150,21.0,rsma_50100__rsma_100150_equity_convex
rsma_50100150__rsma_100150_equity_concave,31226.689000000177,212.26689000000175,-83.4630468237512,rsma_50100150__rsma_100150,9.0,rsma_50100150__rsma_100150_equity_concave
rbo_100__rema_50100_equity_concave,30831.153299999994,208.31153299999997,-82.34623591883086,rbo_100__rema_50100,3.0,rbo_100__rema_50100_equity_concave
rsma_100150__rema_100150_equity_convex,30769.165500000025,207.69165500000025,-69.07156726446226,rsma_100150__rema_100150,36.0,rsma_100150__rema_100150_equity_convex
rsma_50100150__rsma_100150_equity_convex,30097.535400000124,200.97535400000126,-81.49355833978348,rsma_50100150__rsma_100150,9.0,rsma_50100150__rsma_100150_equity_convex
rema_50100150__rema_50100_equity_concave,29991.398400000024,199.91398400000026,-90.74417341583964,rema_50100150__rema_50100,23.0,rema_50100150__rema_50100_equity_concave
rsma_100150__rema_50100_equity_concave,29336.22520000002,193.36225200000018,-99.27488508244156,rsma_100150__rema_50100,28.0,rsma_100150__rema_50100_equity_concave
rema_50100150__rema_50100150_equity_convex,29095.132600000008,190.95132600000005,-82.80395030680057,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rbo_100_equity_convex,28493.00459999999,184.9300459999999,-73.81075365653211,rema_50100150__rbo_100,23.0,rema_50100150__rbo_100_equity_convex
rbo_100__rema_100150_equity_concave,28450.0847,184.50084699999996,-73.0791972178317,rbo_100__rema_100150,9.0,rbo_100__rema_100150_equity_concave
rbo_20__rema_100150_equity_concave,28022.238299999954,180.22238299999955,-80.32140389985797,rbo_20__rema_100150,38.0,rbo_20__rema_100150_equity_concave
rbo_100__rema_50100_equity_convex,26750.91739999998,167.50917399999977,-80.02895247744193,rbo_100__rema_50100,3.0,rbo_100__rema_50100_equity_convex
rsma_50100__rsma_100150_equity_concave,26629.083500000048,166.29083500000047,-75.59811205228353,rsma_50100__rsma_100150,21.0,rsma_50100__rsma_100150_equity_concave
rema_50100150__rtt_5020_equity_concave,26479.55829999999,164.7955829999999,-118.43060918741469,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_concave
rema_100150__rema_50100_equity_concave,25966.770199999974,159.66770199999974,-75.18135348874236,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_concave
rema_100150__rbo_100_equity_concave,25966.770199999974,159.66770199999974,-75.18135348874236,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_concave
rema_100150__rema_100150_equity_concave,25966.770199999974,159.66770199999974,-75.18135348874236,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_concave
rema_50100150__rema_50100_equity_convex,25649.78160000002,156.4978160000002,-82.14138891937424,rema_50100150__rema_50100,23.0,rema_50100150__rema_50100_equity_convex
rtt_5020__rsma_100150_equity_convex,25556.289599999964,155.56289599999963,-89.51212609955942,rtt_5020__rsma_100150,12.0,rtt_5020__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_convex,25372.573499999955,153.72573499999956,-86.5910039427646,rbo_50__rsma_100150,16.0,rbo_50__rsma_100150_equity_convex
rsma_100150__rema_50100_equity_convex,25311.551500000005,153.11551500000004,-82.14138891937424,rsma_100150__rema_50100,28.0,rsma_100150__rema_50100_equity_convex
rsma_100150__rema_50100150_equity_convex,25202.960399999953,152.02960399999955,-80.71554313801094,rsma_100150__rema_50100150,47.0,rsma_100150__rema_50100150_equity_convex
rbo_100__rbo_100_equity_concave,24922.183399999987,149.22183399999986,-83.23834189002798,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_concave
rsma_50100150__rema_50100150_equity_convex,24663.259600000027,146.63259600000026,-84.25686756841104,rsma_50100150__rema_50100150,14.0,rsma_50100150__rema_50100150_equity_convex
rsma_50100150__rema_50100150_equity_concave,24454.160600000094,144.5416060000009,-88.7193441132191,rsma_50100150__rema_50100150,14.0,rsma_50100150__rema_50100150_equity_concave
