equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rbo_50_equity_constant,12790.520599999993,27.90520599999993,-22.058614073399017,rsma_50100150__rbo_50,20.0,rsma_50100150__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,12682.219499999996,26.822194999999958,-21.395099272133532,rsma_50100150__rtt_5020,19.0,rsma_50100150__rtt_5020_equity_constant
rsma_50100150__rema_50100_equity_constant,12505.366099999997,25.05366099999997,-22.58018803476185,rsma_50100150__rema_50100,9.0,rsma_50100150__rema_50100_equity_constant
rbo_20__rsma_100150_equity_constant,12281.523399999996,22.81523399999996,-22.251870750935787,rbo_20__rsma_100150,16.0,rbo_20__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,12261.291199999994,22.61291199999995,-22.265245930517025,rtt_5020__rsma_100150,15.0,rtt_5020__rsma_100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,12197.026000000022,21.97026000000022,-20.603319495815306,rsma_50100150__rsma_50100,5.0,rsma_50100150__rsma_50100_equity_constant
rsma_100150__rsma_50100_equity_constant,11931.319899999991,19.313198999999905,-18.90734108965258,rsma_100150__rsma_50100,5.0,rsma_100150__rsma_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,11881.011699999988,18.81011699999988,-18.574736843100755,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rema_50100_equity_constant,11881.011699999988,18.81011699999988,-18.574736843100755,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_constant
rbo_20__rema_100150_equity_constant,11740.903499999997,17.409034999999975,-18.007516853997323,rbo_20__rema_100150,32.0,rbo_20__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,11733.858599999996,17.338585999999957,-18.014513800355374,rtt_5020__rema_100150,31.0,rtt_5020__rema_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,11665.018999999982,16.65018999999983,-20.696268365286986,rsma_50100__rsma_100150,36.0,rsma_50100__rsma_100150_equity_constant
rbo_20__rema_50100_equity_constant,11509.750699999993,15.097506999999943,-17.6513831562479,rbo_20__rema_50100,10.0,rbo_20__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,11492.316699999992,14.923166999999914,-17.67714934006425,rtt_5020__rema_50100,9.0,rtt_5020__rema_50100_equity_constant
rbo_100__rsma_100150_equity_constant,11473.731599999985,14.737315999999856,-20.21584046112908,rbo_100__rsma_100150,31.0,rbo_100__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,11473.731599999985,14.737315999999856,-20.21584046112908,rbo_50__rsma_100150,31.0,rbo_50__rsma_100150_equity_constant
rsma_50100150__rbo_100_equity_constant,11472.75369999999,14.727536999999913,-19.85442485964425,rsma_50100150__rbo_100,9.0,rsma_50100150__rbo_100_equity_constant
rsma_100150__rtt_5020_equity_constant,11448.110599999984,14.481105999999834,-16.699084899773382,rsma_100150__rtt_5020,26.0,rsma_100150__rtt_5020_equity_constant
rsma_100150__rbo_50_equity_constant,11448.110599999984,14.481105999999834,-16.699084899773382,rsma_100150__rbo_50,26.0,rsma_100150__rbo_50_equity_constant
rsma_50100150__rema_50100150_equity_constant,11387.594799999992,13.875947999999916,-14.84691979680021,rsma_50100150__rema_50100150,28.0,rsma_50100150__rema_50100150_equity_constant
rsma_50100150__rbo_20_equity_constant,11381.371100000024,13.81371100000024,-19.757237397675546,rsma_50100150__rbo_20,28.0,rsma_50100150__rbo_20_equity_constant
