combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,4,3,0,0,94,143,290,17.836812144212523,27.13472485768501,55.02846299810247,23.5,47.666666666666664,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,4,1,3,0,0,112,145,270,21.25237191650854,27.514231499051235,51.23339658444023,112.0,48.333333333333336,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,3,1,2,0,0,131,148,248,24.857685009487664,28.083491461100568,47.05882352941176,131.0,74.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,1,2,0,0,112,146,269,21.25237191650854,27.703984819734345,51.04364326375711,112.0,73.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,2,1,1,0,0,131,166,230,24.857685009487664,31.499051233396585,43.643263757115754,131.0,166.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,16,6,10,0,0,126,163,238,23.908918406072104,30.929791271347252,45.16129032258064,21.0,16.3,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,70,6,64,0,0,126,82,319,23.908918406072104,15.559772296015181,60.53130929791271,21.0,1.28125,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,10,6,4,0,0,126,169,232,23.908918406072104,32.06831119544592,44.022770398481974,21.0,42.25,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,32,20,12,0,0,106,161,260,20.113851992409867,30.55028462998102,49.33586337760911,5.3,13.416666666666666,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,81,16,65,0,0,111,80,336,21.062618595825427,15.180265654648956,63.75711574952562,6.9375,1.2307692307692308,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,29,25,4,0,0,118,142,267,22.39089184060721,26.944971537001898,50.664136622390885,4.72,35.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,143,144,240,27.13472485768501,27.32447817836812,45.54079696394687,143.0,72.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,162,147,218,30.740037950664135,27.893738140417458,41.36622390891841,162.0,147.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,143,144,240,27.13472485768501,27.32447817836812,45.54079696394687,143.0,72.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,2,1,1,0,0,162,164,201,30.740037950664135,31.119544592030362,38.1404174573055,162.0,164.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,31,21,9,0,1,141,162,224,26.755218216318788,30.740037950664135,42.50474383301708,6.714285714285714,18.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,87,22,65,0,0,141,81,305,26.755218216318788,15.370018975332068,57.874762808349146,6.409090909090909,1.2461538461538462,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,24,20,3,0,1,142,168,217,26.944971537001898,31.87855787476281,41.17647058823529,7.1,56.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,49,37,11,0,1,125,160,242,23.719165085388994,30.36053130929791,45.920303605313094,3.3783783783783785,14.545454545454545,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,83,18,65,0,0,145,80,302,27.514231499051235,15.180265654648956,57.3055028462998,8.055555555555555,1.2307692307692308,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,39,35,4,0,0,128,143,256,24.28842504743833,27.13472485768501,48.57685009487666,3.657142857142857,35.75,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,12,10,2,0,0,152,145,230,28.842504743833018,27.514231499051235,43.643263757115754,15.2,72.5,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,162,147,218,30.740037950664135,27.893738140417458,41.36622390891841,162.0,147.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,12,10,2,0,0,152,145,230,28.842504743833018,27.514231499051235,43.643263757115754,15.2,72.5,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,2,1,1,0,0,162,164,201,30.740037950664135,31.119544592030362,38.1404174573055,162.0,164.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,31,21,9,0,1,141,162,224,26.755218216318788,30.740037950664135,42.50474383301708,6.714285714285714,18.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,88,22,66,0,0,141,82,304,26.755218216318788,15.559772296015181,57.685009487666036,6.409090909090909,1.2424242424242424,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,24,20,3,0,1,142,168,217,26.944971537001898,31.87855787476281,41.17647058823529,7.1,56.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,49,37,11,0,1,125,160,242,23.719165085388994,30.36053130929791,45.920303605313094,3.3783783783783785,14.545454545454545,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,84,18,66,0,0,145,81,301,27.514231499051235,15.370018975332068,57.1157495256167,8.055555555555555,1.2272727272727273,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,4,3,0,0,94,141,292,17.836812144212523,26.755218216318788,55.40796963946869,23.5,47.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,1,2,0,0,112,144,271,21.25237191650854,27.32447817836812,51.423149905123346,112.0,72.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,2,1,1,0,0,131,147,249,24.857685009487664,27.893738140417458,47.24857685009488,131.0,147.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,1,2,0,0,112,144,271,21.25237191650854,27.32447817836812,51.423149905123346,112.0,72.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,2,1,1,0,0,131,164,232,24.857685009487664,31.119544592030362,44.022770398481974,131.0,164.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,15,6,9,0,0,126,162,239,23.908918406072104,30.740037950664135,45.35104364326376,21.0,18.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,70,6,64,0,0,126,80,321,23.908918406072104,15.180265654648956,60.91081593927894,21.0,1.25,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,9,6,3,0,0,126,168,233,23.908918406072104,31.87855787476281,44.212523719165084,21.0,56.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,31,20,11,0,0,106,160,261,20.113851992409867,30.36053130929791,49.52561669829222,5.3,14.545454545454545,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,80,16,64,0,0,111,79,337,21.062618595825427,14.990512333965844,63.946869070208734,6.9375,1.234375,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,51,35,16,0,0,128,158,241,24.28842504743833,29.98102466793169,45.73055028462998,3.657142857142857,9.875,True,
