equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rema_50100_equity_concave,113860.75530000008,1038.6075530000007,-98.45933575495658,rbo_100__rema_50100,6.0,rbo_100__rema_50100_equity_concave
rema_100150__rema_50100150_equity_concave,110656.2115999999,1006.5621159999988,-93.32777375864369,rema_100150__rema_50100150,85.0,rema_100150__rema_50100150_equity_concave
rbo_100__rema_50100_equity_convex,104117.82399999994,941.1782399999993,-98.31516878287317,rbo_100__rema_50100,6.0,rbo_100__rema_50100_equity_convex
rbo_100__rsma_50100_equity_concave,102331.90340000005,923.3190340000006,-97.86215039980459,rbo_100__rsma_50100,5.0,rbo_100__rsma_50100_equity_concave
rema_100150__rema_50100150_equity_convex,95370.14959999993,853.7014959999993,-92.28203931434396,rema_100150__rema_50100150,85.0,rema_100150__rema_50100150_equity_convex
rbo_100__rtt_5020_equity_concave,93881.41479999994,838.8141479999995,-98.1702472449786,rbo_100__rtt_5020,21.0,rbo_100__rtt_5020_equity_concave
rbo_100__rbo_50_equity_concave,93881.41479999994,838.8141479999995,-98.1702472449786,rbo_100__rbo_50,21.0,rbo_100__rbo_50_equity_concave
rbo_100__rbo_100_equity_concave,93409.99530000004,834.0999530000003,-98.03498211275046,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_concave
rbo_100__rbo_100_equity_convex,93408.39800000004,834.0839800000005,-98.03498211275046,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_convex
rbo_100__rsma_50100_equity_convex,90518.65809999994,805.1865809999994,-97.56420960081724,rbo_100__rsma_50100,5.0,rbo_100__rsma_50100_equity_convex
rbo_100__rbo_50_equity_convex,87372.70709999987,773.7270709999987,-97.98612016758578,rbo_100__rbo_50,21.0,rbo_100__rbo_50_equity_convex
rbo_100__rtt_5020_equity_convex,87372.70709999987,773.7270709999987,-97.98612016758578,rbo_100__rtt_5020,21.0,rbo_100__rtt_5020_equity_convex
rsma_50100__rsma_50100_equity_concave,84983.50710000002,749.8350710000002,-99.92437521916312,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_concave
rema_50100__rsma_50100_equity_concave,84780.51130000003,747.8051130000002,-99.92437521916312,rema_50100__rsma_50100,6.0,rema_50100__rsma_50100_equity_concave
rema_50100__rbo_100_equity_concave,81949.6351000001,719.496351000001,-99.9311066820517,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_concave
rema_50100__rbo_100_equity_convex,81948.03780000008,719.4803780000008,-99.9311066820517,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_convex
rema_100150__rsma_50100_equity_concave,77243.45380000015,672.4345380000015,-91.38612886244755,rema_100150__rsma_50100,19.0,rema_100150__rsma_50100_equity_concave
rema_50100__rsma_50100_equity_convex,75636.05310000003,656.3605310000004,-99.91277417154681,rema_50100__rsma_50100,6.0,rema_50100__rsma_50100_equity_convex
rsma_50100__rsma_50100_equity_convex,75413.2234000001,654.1322340000011,-99.91277417154681,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_convex
rsma_50100__rema_50100_equity_concave,70163.78710000002,601.6378710000001,-99.92049380364651,rsma_50100__rema_50100,7.0,rsma_50100__rema_50100_equity_concave
rsma_50100__rtt_5020_equity_concave,69069.08430000005,590.6908430000005,-99.90986360833077,rsma_50100__rtt_5020,19.0,rsma_50100__rtt_5020_equity_concave
rsma_50100__rbo_50_equity_concave,69069.08430000005,590.6908430000005,-99.90986360833077,rsma_50100__rbo_50,19.0,rsma_50100__rbo_50_equity_concave
rsma_100150__rsma_50100150_equity_concave,67595.86370000002,575.9586370000002,-87.75405297801926,rsma_100150__rsma_50100150,92.0,rsma_100150__rsma_50100150_equity_concave
rema_100150__rsma_50100150_equity_concave,67595.86370000002,575.9586370000002,-87.75405297801926,rema_100150__rsma_50100150,92.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rema_50100_equity_concave,66219.81650000012,562.1981650000012,-90.78770149858994,rema_100150__rema_50100,20.0,rema_100150__rema_50100_equity_concave
rema_100150__rsma_50100150_equity_convex,63206.28499999993,532.0628499999992,-84.87126736741251,rema_100150__rsma_50100150,92.0,rema_100150__rsma_50100150_equity_convex
rsma_100150__rsma_50100150_equity_convex,63206.28499999993,532.0628499999992,-84.87126736741251,rsma_100150__rsma_50100150,92.0,rsma_100150__rsma_50100150_equity_convex
rsma_100150__rema_50100150_equity_concave,62165.521800000024,521.6552180000002,-87.81717559972957,rsma_100150__rema_50100150,102.0,rsma_100150__rema_50100150_equity_concave
