combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,4,4,0,0,78,148,305,14.689265536723164,27.87193973634652,57.43879472693032,19.5,37.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,3,1,2,0,0,144,198,189,27.11864406779661,37.28813559322034,35.59322033898305,144.0,99.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,3,1,2,0,0,158,220,153,29.75517890772128,41.431261770244824,28.8135593220339,158.0,110.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,1,2,0,0,144,198,189,27.11864406779661,37.28813559322034,35.59322033898305,144.0,99.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,3,1,2,0,0,153,222,156,28.8135593220339,41.80790960451977,29.37853107344633,153.0,111.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,4,1,2,1,0,184,258,89,34.65160075329567,48.58757062146893,16.760828625235405,184.0,129.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,42,1,41,0,0,153,111,267,28.8135593220339,20.903954802259886,50.282485875706215,153.0,2.707317073170732,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,3,1,2,0,0,159,214,158,29.943502824858758,40.30131826741996,29.75517890772128,159.0,107.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,4,1,2,1,0,184,224,123,34.65160075329567,42.18455743879473,23.163841807909606,184.0,112.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,42,1,41,0,0,159,111,261,29.943502824858758,20.903954802259886,49.152542372881356,159.0,2.707317073170732,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,66,39,27,0,0,114,167,250,21.468926553672315,31.45009416195857,47.080979284369114,2.923076923076923,6.185185185185185,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,152,193,186,28.625235404896422,36.346516007532955,35.02824858757062,152.0,96.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,3,1,2,0,0,166,215,150,31.26177024482109,40.48964218455744,28.24858757062147,166.0,107.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,152,193,186,28.625235404896422,36.346516007532955,35.02824858757062,152.0,96.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,3,1,2,0,0,161,217,153,30.32015065913371,40.86629001883239,28.8135593220339,161.0,108.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,4,1,2,1,0,192,253,86,36.15819209039548,47.64595103578154,16.195856873822976,192.0,126.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,65,1,64,0,0,161,129,241,30.32015065913371,24.293785310734464,45.38606403013183,161.0,2.015625,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,3,1,2,0,0,167,209,155,31.45009416195857,39.35969868173258,29.19020715630885,167.0,104.5,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,4,1,2,1,0,192,219,120,36.15819209039548,41.24293785310734,22.598870056497177,192.0,109.5,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,65,1,64,0,0,167,129,235,31.45009416195857,24.293785310734464,44.25612052730697,167.0,2.015625,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,84,46,38,0,0,121,161,249,22.78719397363465,30.32015065913371,46.89265536723164,2.630434782608696,4.2368421052631575,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,21,8,13,0,0,159,187,185,29.943502824858758,35.2165725047081,34.83992467043315,19.875,14.384615384615385,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,166,198,167,31.26177024482109,37.28813559322034,31.45009416195857,166.0,99.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,21,8,13,0,0,159,187,185,29.943502824858758,35.2165725047081,34.83992467043315,19.875,14.384615384615385,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,5,3,2,0,0,163,200,168,30.69679849340866,37.664783427495294,31.63841807909605,54.333333333333336,100.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,4,1,2,1,0,192,236,103,36.15819209039548,44.44444444444444,19.397363465160076,192.0,118.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,78,3,75,0,0,163,123,245,30.69679849340866,23.163841807909606,46.13935969868173,54.333333333333336,1.64,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,6,1,5,0,0,167,195,169,31.45009416195857,36.72316384180791,31.826741996233523,167.0,39.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,4,1,2,1,0,192,202,137,36.15819209039548,38.04143126177024,25.800376647834273,192.0,101.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,74,1,73,0,0,167,131,233,31.45009416195857,24.670433145009415,43.87947269303202,167.0,1.7945205479452055,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,8,4,4,0,0,78,143,310,14.689265536723164,26.93032015065913,58.3804143126177,19.5,35.75,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,1,2,0,0,144,193,194,27.11864406779661,36.346516007532955,36.53483992467043,144.0,96.5,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,3,1,2,0,0,158,215,158,29.75517890772128,40.48964218455744,29.75517890772128,158.0,107.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,1,2,0,0,144,193,194,27.11864406779661,36.346516007532955,36.53483992467043,144.0,96.5,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,3,1,2,0,0,153,217,161,28.8135593220339,40.86629001883239,30.32015065913371,153.0,108.5,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,4,1,2,1,0,184,253,94,34.65160075329567,47.64595103578154,17.702448210922785,184.0,126.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,42,1,41,0,0,153,106,272,28.8135593220339,19.962335216572505,51.2241054613936,153.0,2.5853658536585367,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,3,1,2,0,0,159,209,163,29.943502824858758,39.35969868173258,30.69679849340866,159.0,104.5,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,4,1,2,1,0,184,219,128,34.65160075329567,41.24293785310734,24.105461393596986,184.0,109.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,42,1,41,0,0,159,106,266,29.943502824858758,19.962335216572505,50.09416195856874,159.0,2.5853658536585367,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,82,43,39,0,0,118,164,249,22.22222222222222,30.88512241054614,46.89265536723164,2.744186046511628,4.205128205128205,True,
