equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rtt_5020_equity_constant,14616.207000000011,46.16207000000012,-33.54739931101948,rsma_100150__rtt_5020,50.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rtt_5020_equity_constant,14616.207000000011,46.16207000000012,-33.54739931101948,rema_100150__rtt_5020,50.0,rema_100150__rtt_5020_equity_constant
rema_50100150__rbo_50_equity_constant,14384.620899999994,43.84620899999994,-32.35203994844243,rema_50100150__rbo_50,34.0,rema_50100150__rbo_50_equity_constant
rsma_50100150__rsma_100150_equity_constant,14033.523599999999,40.335235999999995,-35.46748497777322,rsma_50100150__rsma_100150,19.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,13947.383000000005,39.47383000000004,-33.03473218722986,rsma_50100__rsma_100150,19.0,rsma_50100__rsma_100150_equity_constant
rema_50100150__rbo_20_equity_constant,13921.012499999992,39.21012499999992,-31.050318675445265,rema_50100150__rbo_20,19.0,rema_50100150__rbo_20_equity_constant
rema_50100150__rtt_5020_equity_constant,13651.514499999988,36.51514499999988,-29.689430994654426,rema_50100150__rtt_5020,19.0,rema_50100150__rtt_5020_equity_constant
rsma_50100__rema_100150_equity_constant,13600.042600000013,36.00042600000013,-31.965618079206585,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,13600.042600000013,36.00042600000013,-31.965618079206585,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,13600.042600000013,36.00042600000013,-31.965618079206585,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,13600.042600000013,36.00042600000013,-31.965618079206585,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,13600.042600000013,36.00042600000013,-31.965618079206585,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_50100150__rema_50100150_equity_constant,13541.199699999994,35.41199699999993,-29.468140847224888,rsma_50100150__rema_50100150,43.0,rsma_50100150__rema_50100150_equity_constant
rsma_100150__rsma_100150_equity_constant,13505.286799999994,35.05286799999994,-30.849579512995472,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_constant
rema_50100150__rsma_50100150_equity_constant,13492.123499999994,34.92123499999995,-30.30359097774272,rema_50100150__rsma_50100150,3.0,rema_50100150__rsma_50100150_equity_constant
rema_50100150__rsma_100150_equity_constant,13470.679000000007,34.706790000000076,-31.06020340814517,rema_50100150__rsma_100150,2.0,rema_50100150__rsma_100150_equity_constant
rsma_100150__rbo_50_equity_constant,13445.824700000012,34.45824700000011,-26.48782521868831,rsma_100150__rbo_50,68.0,rsma_100150__rbo_50_equity_constant
rema_100150__rbo_50_equity_constant,13445.824700000012,34.45824700000011,-26.48782521868831,rema_100150__rbo_50,68.0,rema_100150__rbo_50_equity_constant
