equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_convex,51729.85530000008,417.2985530000008,-87.96173728072732,rtt_5020,,rtt_5020
rtt_5020_equity_concave,46373.37870000008,363.73378700000086,-88.26669396362908,rtt_5020,,rtt_5020
rbo_50__rbo_20_equity_concave,29420.526899999983,194.20526899999984,-85.14963974422699,rbo_50__rbo_20,54.0,rbo_50__rbo_20
rema_50100150__rema_50100150_equity_convex,23123.072099999976,131.23072099999976,-73.6452109752246,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rema_50100150__rema_50100150_equity_concave,23123.072099999976,131.23072099999976,-73.6452109752246,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150
rbo_50__rbo_20_equity_convex,22185.75019999996,121.85750199999958,-78.04337229176397,rbo_50__rbo_20,54.0,rbo_50__rbo_20
rbo_100__rbo_20_equity_convex,21397.080199999997,113.97080199999996,-72.68874171189118,rbo_100__rbo_20,68.0,rbo_100__rbo_20
rbo_100__rbo_20_equity_concave,20180.29189999999,101.80291899999992,-72.68874171189118,rbo_100__rbo_20,68.0,rbo_100__rbo_20
rema_50100150__rbo_20_equity_convex,20016.223599999965,100.16223599999962,-72.68874171189118,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rema_50100150__rbo_50_equity_concave,19784.061299999965,97.84061299999965,-72.68874171189118,rema_50100150__rbo_50,26.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_concave,19784.061299999965,97.84061299999965,-72.68874171189118,rema_50100150__rtt_5020,26.0,rema_50100150__rtt_5020
rema_50100150__rbo_50_equity_convex,19686.777499999997,96.86777499999997,-72.68874171189118,rema_50100150__rbo_50,26.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_convex,19686.777499999997,96.86777499999997,-72.68874171189118,rema_50100150__rtt_5020,26.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_concave,18897.127399999983,88.97127399999982,-72.68874171189118,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rbo_100__rsma_50100150_equity_convex,18637.811999999998,86.37811999999998,-73.6452109752246,rbo_100__rsma_50100150,65.0,rbo_100__rsma_50100150
rbo_100__rsma_50100150_equity_concave,18632.899199999993,86.32899199999993,-73.6452109752246,rbo_100__rsma_50100150,65.0,rbo_100__rsma_50100150
rbo_100__rema_50100150_equity_concave,18058.34159999999,80.5834159999999,-73.6452109752246,rbo_100__rema_50100150,34.0,rbo_100__rema_50100150
rbo_100__rema_50100150_equity_convex,18058.34159999999,80.5834159999999,-73.6452109752246,rbo_100__rema_50100150,34.0,rbo_100__rema_50100150
rsma_50100150__rbo_50_equity_concave,15604.139299999993,56.04139299999993,-69.80710643093363,rsma_50100150__rbo_50,18.0,rsma_50100150__rbo_50
rsma_50100150__rtt_5020_equity_concave,15604.139299999993,56.04139299999993,-69.80710643093363,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020
