combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,4,3,0,0,78,56,397,14.689265536723164,10.546139359698682,74.76459510357816,19.5,18.666666666666668,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,16,6,10,0,0,121,84,326,22.78719397363465,15.819209039548024,61.39359698681732,20.166666666666668,8.4,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,17,2,15,0,0,188,61,282,35.40489642184557,11.487758945386064,53.10734463276836,94.0,4.066666666666666,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,3,2,0,0,125,92,314,23.540489642184557,17.325800376647834,59.133709981167605,41.666666666666664,46.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,28,12,15,0,1,117,62,352,22.033898305084744,11.67608286252354,66.29001883239172,9.75,4.133333333333334,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,30,14,15,0,1,149,62,320,28.06026365348399,11.67608286252354,60.263653483992464,10.642857142857142,4.133333333333334,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,42,13,29,0,0,119,29,383,22.4105461393597,5.4613935969868175,72.12806026365348,9.153846153846153,1.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,26,10,15,0,1,137,62,332,25.800376647834273,11.67608286252354,62.52354048964218,13.7,4.133333333333334,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,27,4,22,0,1,159,55,317,29.943502824858758,10.357815442561206,59.69868173258004,39.75,2.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,32,9,23,0,0,154,36,341,29.001883239171374,6.779661016949152,64.21845574387947,17.11111111111111,1.565217391304348,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,54,26,28,0,0,93,64,374,17.51412429378531,12.052730696798493,70.4331450094162,3.576923076923077,2.2857142857142856,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,117,91,323,22.033898305084744,17.13747645951036,60.8286252354049,58.5,45.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,27,2,24,1,0,188,71,272,35.40489642184557,13.370998116760829,51.2241054613936,94.0,2.9583333333333335,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,117,91,323,22.033898305084744,17.13747645951036,60.8286252354049,58.5,45.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,25,8,16,0,1,139,82,310,26.17702448210923,15.44256120527307,58.3804143126177,17.375,5.125,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,47,27,18,1,1,162,78,291,30.508474576271187,14.689265536723164,54.80225988700565,6.0,4.333333333333333,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,64,21,43,0,0,127,50,354,23.91713747645951,9.416195856873824,66.66666666666666,6.0476190476190474,1.1627906976744187,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,37,19,17,0,1,146,80,305,27.49529190207156,15.065913370998116,57.43879472693032,7.684210526315789,4.705882352941177,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,50,17,31,1,1,172,65,294,32.39171374764595,12.24105461393597,55.367231638418076,10.117647058823529,2.096774193548387,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,37,5,32,0,0,161,61,309,30.32015065913371,11.487758945386064,58.19209039548022,32.2,1.90625,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,68,58,10,0,0,132,36,363,24.858757062146893,6.779661016949152,68.36158192090396,2.2758620689655173,3.6,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,39,37,2,0,0,152,44,335,28.625235404896422,8.286252354048965,63.088512241054616,4.108108108108108,22.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,188,46,297,35.40489642184557,8.662900188323917,55.932203389830505,94.0,46.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,36,34,2,0,0,156,44,331,29.37853107344633,8.286252354048965,62.335216572504706,4.588235294117647,22.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,31,29,1,0,1,160,47,324,30.131826741996232,8.851224105461393,61.016949152542374,5.517241379310345,47.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,29,27,1,0,1,162,47,322,30.508474576271187,8.851224105461393,60.64030131826742,6.0,47.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,65,42,23,0,0,148,23,360,27.87193973634652,4.3314500941619585,67.79661016949152,3.5238095238095237,1.0,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,33,31,1,0,1,158,47,326,29.75517890772128,8.851224105461393,61.39359698681732,5.096774193548387,47.0,True,
