equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rbo_20_equity_concave,37559.71370000003,275.59713700000026,-76.14804577874091,rbo_50__rbo_20,17.0,rbo_50__rbo_20
rbo_50__rbo_50_equity_concave,27808.511900000023,178.08511900000022,-70.39092029991075,rbo_50__rbo_50,2.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_concave,27808.511900000023,178.08511900000022,-70.39092029991075,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020
rbo_50__rbo_20_equity_convex,26404.79260000003,164.0479260000003,-66.28337313030434,rbo_50__rbo_20,17.0,rbo_50__rbo_20
rbo_20__rbo_20_equity_concave,26206.890900000013,162.06890900000013,-65.64644759138523,rbo_20__rbo_20,4.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_concave,26206.890900000013,162.06890900000013,-65.64644759138523,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20
rbo_50__rsma_50100150_equity_concave,25068.87070000001,150.68870700000014,-71.47542254773431,rbo_50__rsma_50100150,25.0,rbo_50__rsma_50100150
rtt_5020__rbo_50_equity_concave,24643.858600000014,146.43858600000016,-69.93408566952743,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50
rbo_20__rtt_5020_equity_concave,24643.858600000014,146.43858600000016,-69.93408566952743,rbo_20__rtt_5020,2.0,rbo_20__rtt_5020
rbo_20__rbo_50_equity_concave,24643.858600000014,146.43858600000016,-69.93408566952743,rbo_20__rbo_50,2.0,rbo_20__rbo_50
rtt_5020__rtt_5020_equity_concave,24643.858600000014,146.43858600000016,-69.93408566952743,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020
rema_50100150__rbo_50_equity_concave,24066.056399999983,140.66056399999982,-73.54294043827859,rema_50100150__rbo_50,7.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_concave,24066.056399999983,140.66056399999982,-73.54294043827859,rema_50100150__rtt_5020,7.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_concave,24040.684900000004,140.40684900000002,-70.64945697427609,rema_50100150__rbo_20,21.0,rema_50100150__rbo_20
rbo_100__rbo_20_equity_concave,22273.69460000001,122.73694600000012,-64.73231523699295,rbo_100__rbo_20,30.0,rbo_100__rbo_20
rbo_20__rema_50100150_equity_concave,21673.04349999998,116.7304349999998,-67.72790788671114,rbo_20__rema_50100150,36.0,rbo_20__rema_50100150
rtt_5020__rema_50100150_equity_concave,21673.04349999998,116.7304349999998,-67.72790788671114,rtt_5020__rema_50100150,36.0,rtt_5020__rema_50100150
rbo_50__rsma_50100150_equity_convex,21540.437200000015,115.40437200000015,-60.57677937928394,rbo_50__rsma_50100150,25.0,rbo_50__rsma_50100150
rbo_50__rtt_5020_equity_convex,21503.593500000003,115.03593500000005,-60.111008669533206,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_convex,21503.593500000003,115.03593500000005,-60.111008669533206,rbo_50__rbo_50,2.0,rbo_50__rbo_50
rbo_20__rbo_20_equity_convex,21393.522899999996,113.93522899999996,-57.91717875507077,rbo_20__rbo_20,4.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_convex,21393.522899999996,113.93522899999996,-57.91717875507077,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20
rema_50100150__rbo_50_equity_convex,20251.7578,102.51757800000001,-66.10122354697694,rema_50100150__rbo_50,7.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_convex,20251.7578,102.51757800000001,-66.10122354697694,rema_50100150__rtt_5020,7.0,rema_50100150__rtt_5020
rbo_100__rbo_20_equity_convex,20132.712300000032,101.32712300000031,-60.18011612697921,rbo_100__rbo_20,30.0,rbo_100__rbo_20
rbo_20__rsma_50100150_equity_concave,19250.500000000007,92.50500000000008,-67.39208355892674,rbo_20__rsma_50100150,24.0,rbo_20__rsma_50100150
rtt_5020__rsma_50100150_equity_concave,19250.500000000007,92.50500000000008,-67.39208355892674,rtt_5020__rsma_50100150,24.0,rtt_5020__rsma_50100150
rtt_5020__rtt_5020_equity_convex,19020.553000000007,90.20553000000007,-59.411780405375566,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020
rbo_20__rbo_50_equity_convex,19020.553000000007,90.20553000000007,-59.411780405375566,rbo_20__rbo_50,2.0,rbo_20__rbo_50
rbo_20__rtt_5020_equity_convex,19020.553000000007,90.20553000000007,-59.411780405375566,rbo_20__rtt_5020,2.0,rbo_20__rtt_5020
rtt_5020__rbo_50_equity_convex,19020.553000000007,90.20553000000007,-59.411780405375566,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50
rema_50100150__rbo_20_equity_convex,18104.45,81.04450000000001,-59.21073121928825,rema_50100150__rbo_20,21.0,rema_50100150__rbo_20
rtt_5020_equity_convex,17895.651100000003,78.95651100000003,-74.01390264655315,rtt_5020,,rtt_5020
rbo_20__rsma_50100150_equity_convex,17532.426199999998,75.32426199999998,-56.080094003352386,rbo_20__rsma_50100150,24.0,rbo_20__rsma_50100150
rtt_5020__rsma_50100150_equity_convex,17532.426199999998,75.32426199999998,-56.080094003352386,rtt_5020__rsma_50100150,24.0,rtt_5020__rsma_50100150
rbo_20__rema_50100150_equity_convex,16994.28119999999,69.9428119999999,-56.6100827255255,rbo_20__rema_50100150,36.0,rbo_20__rema_50100150
rtt_5020__rema_50100150_equity_convex,16994.28119999999,69.9428119999999,-56.6100827255255,rtt_5020__rema_50100150,36.0,rtt_5020__rema_50100150
rbo_50__rema_50100150_equity_convex,16353.120400000002,63.53120400000001,-53.93872368196154,rbo_50__rema_50100150,38.0,rbo_50__rema_50100150
rbo_100__rbo_50_equity_convex,15716.956600000003,57.169566000000025,-53.768730203021434,rbo_100__rbo_50,15.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_convex,15716.956600000003,57.169566000000025,-53.768730203021434,rbo_100__rtt_5020,15.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_concave,15315.309700000005,53.15309700000006,-56.75576465524069,rbo_100__rbo_50,15.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_concave,15315.309700000005,53.15309700000006,-56.75576465524069,rbo_100__rtt_5020,15.0,rbo_100__rtt_5020
rtt_5020_equity_concave,14975.939000000004,49.759390000000046,-78.2312896576323,rtt_5020,,rtt_5020
rbo_50__rema_50100150_equity_concave,14573.059700000003,45.73059700000004,-53.926266110971135,rbo_50__rema_50100150,38.0,rbo_50__rema_50100150
rsma_50100150__rbo_20_equity_convex,13590.7233,35.907233000000005,-58.611037338507565,rsma_50100150__rbo_20,20.0,rsma_50100150__rbo_20
rbo_50__rbo_100_equity_concave,12629.685699999998,26.296856999999974,-60.221284942201436,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rsma_50100150__rbo_50_equity_convex,12531.3037,25.313037000000005,-59.71288461704102,rsma_50100150__rbo_50,6.0,rsma_50100150__rbo_50
rsma_50100150__rtt_5020_equity_convex,12531.3037,25.313037000000005,-59.71288461704102,rsma_50100150__rtt_5020,6.0,rsma_50100150__rtt_5020
rbo_50__rbo_100_equity_convex,12501.883299999998,25.018832999999987,-60.16084394406454,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rbo_50__rbo_20_equity_constant,12248.163200000008,22.481632000000083,-19.094073689441366,rbo_50__rbo_20,17.0,rbo_50__rbo_20
rbo_20__rema_50100150_equity_constant,12091.9354,20.919354000000002,-23.128963547390047,rbo_20__rema_50100150,36.0,rbo_20__rema_50100150
rtt_5020__rema_50100150_equity_constant,12091.9354,20.919354000000002,-23.128963547390047,rtt_5020__rema_50100150,36.0,rtt_5020__rema_50100150
