combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,4,3,1,0,0,93,69,383,17.06422018348624,12.660550458715598,70.27522935779817,31.0,69.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,2,1,1,0,0,127,72,346,23.30275229357798,13.211009174311927,63.48623853211009,127.0,72.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,2,1,1,0,0,127,98,320,23.30275229357798,17.98165137614679,58.71559633027523,127.0,98.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,2,1,1,0,0,127,72,346,23.30275229357798,13.211009174311927,63.48623853211009,127.0,72.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,24,7,17,0,0,121,53,371,22.201834862385322,9.724770642201836,68.07339449541284,17.285714285714285,3.1176470588235294,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,36,1,35,0,0,127,35,383,23.30275229357798,6.422018348623854,70.27522935779817,127.0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,21,19,2,0,0,109,71,365,20.0,13.027522935779817,66.97247706422019,5.7368421052631575,35.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,1,1,0,0,127,73,345,23.30275229357798,13.394495412844037,63.30275229357798,127.0,73.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,127,99,319,23.30275229357798,18.1651376146789,58.532110091743114,127.0,99.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,1,1,0,0,127,73,345,23.30275229357798,13.394495412844037,63.30275229357798,127.0,73.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,25,7,18,0,0,121,55,369,22.201834862385322,10.091743119266056,67.70642201834862,17.285714285714285,3.0555555555555554,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,38,1,37,0,0,127,37,381,23.30275229357798,6.7889908256880735,69.90825688073394,127.0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,34,19,15,0,0,109,83,353,20.0,15.229357798165138,64.77064220183486,5.7368421052631575,5.533333333333333,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,15,1,14,0,0,127,85,333,23.30275229357798,15.59633027522936,61.100917431192656,127.0,6.071428571428571,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,127,98,320,23.30275229357798,17.98165137614679,58.71559633027523,127.0,98.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,15,1,14,0,0,127,85,333,23.30275229357798,15.59633027522936,61.100917431192656,127.0,6.071428571428571,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,36,6,29,0,1,121,72,352,22.201834862385322,13.211009174311927,64.58715596330276,20.166666666666668,2.4827586206896552,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,46,1,45,0,0,126,56,363,23.119266055045873,10.275229357798166,66.60550458715596,126.0,1.2444444444444445,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,4,3,1,0,0,93,69,383,17.06422018348624,12.660550458715598,70.27522935779817,31.0,69.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,2,1,1,0,0,127,72,346,23.30275229357798,13.211009174311927,63.48623853211009,127.0,72.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,2,1,1,0,0,127,98,320,23.30275229357798,17.98165137614679,58.71559633027523,127.0,98.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,2,1,1,0,0,127,72,346,23.30275229357798,13.211009174311927,63.48623853211009,127.0,72.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,24,7,17,0,0,121,53,371,22.201834862385322,9.724770642201836,68.07339449541284,17.285714285714285,3.1176470588235294,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,36,1,35,0,0,127,35,383,23.30275229357798,6.422018348623854,70.27522935779817,127.0,1.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,24,19,5,0,0,97,74,374,17.79816513761468,13.577981651376147,68.62385321100918,5.105263157894737,14.8,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,6,1,5,0,0,115,77,353,21.100917431192663,14.128440366972479,64.77064220183486,115.0,15.4,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,3,1,2,0,0,115,100,330,21.100917431192663,18.34862385321101,60.550458715596335,115.0,50.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,6,1,5,0,0,115,77,353,21.100917431192663,14.128440366972479,64.77064220183486,115.0,15.4,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,3,1,2,0,0,115,45,385,21.100917431192663,8.256880733944955,70.64220183486239,115.0,22.5,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,21,1,20,0,0,115,26,404,21.100917431192663,4.770642201834862,74.12844036697248,115.0,1.3,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,25,19,6,0,0,109,6,430,20.0,1.1009174311926606,78.89908256880734,5.7368421052631575,1.0,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,7,1,6,0,0,127,6,412,23.30275229357798,1.1009174311926606,75.59633027522936,127.0,1.0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,3,1,2,0,0,126,11,408,23.119266055045873,2.0183486238532113,74.86238532110092,126.0,5.5,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,7,1,6,0,0,127,6,412,23.30275229357798,1.1009174311926606,75.59633027522936,127.0,1.0,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,10,6,3,0,1,121,10,414,22.201834862385322,1.834862385321101,75.96330275229359,20.166666666666668,3.3333333333333335,True,
rema_50100150__rema_50100150,rema_50100150,rema_50100150,rrg,rema_50100150__rema_50100150,2,1,1,0,0,126,12,407,23.119266055045873,2.2018348623853212,74.6788990825688,126.0,12.0,True,
