combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,4,3,1,0,0,93,69,365,17.647058823529413,13.092979127134724,69.25996204933587,31.0,69.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,2,1,1,0,0,109,72,346,20.683111954459203,13.66223908918406,65.65464895635674,109.0,72.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,2,1,1,0,0,108,100,319,20.49335863377609,18.975332068311197,60.53130929791271,108.0,100.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,2,1,1,0,0,109,72,346,20.683111954459203,13.66223908918406,65.65464895635674,109.0,72.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,2,1,1,0,0,109,97,321,20.683111954459203,18.40607210626186,60.91081593927894,109.0,97.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,28,7,20,0,1,102,81,344,19.35483870967742,15.370018975332068,65.2751423149905,14.571428571428571,4.05,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,24,8,16,0,0,102,53,372,19.35483870967742,10.056925996204933,70.58823529411765,12.75,3.3125,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,2,1,1,0,0,109,90,328,20.683111954459203,17.077798861480076,62.239089184060724,109.0,90.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,2,0,1,0,1,109,100,318,20.683111954459203,18.975332068311197,60.341555977229596,0.0,100.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,36,1,35,0,0,109,35,383,20.683111954459203,6.641366223908918,72.67552182163189,109.0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,12,10,2,0,0,100,71,356,18.975332068311197,13.472485768500949,67.55218216318785,10.0,35.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,1,1,0,0,109,73,345,20.683111954459203,13.851992409867172,65.46489563567363,109.0,73.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,108,101,318,20.49335863377609,19.165085388994306,60.341555977229596,108.0,101.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,1,1,0,0,109,73,345,20.683111954459203,13.851992409867172,65.46489563567363,109.0,73.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,2,1,1,0,0,109,98,320,20.683111954459203,18.59582542694497,60.72106261859582,109.0,98.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,28,7,20,0,1,102,82,343,19.35483870967742,15.559772296015181,65.08538899430741,14.571428571428571,4.1,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,26,8,18,0,0,102,56,369,19.35483870967742,10.62618595825427,70.01897533206831,12.75,3.111111111111111,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,2,1,1,0,0,109,91,327,20.683111954459203,17.267552182163186,62.04933586337761,109.0,91.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,2,0,1,0,1,109,101,317,20.683111954459203,19.165085388994306,60.151802656546494,0.0,101.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,38,1,37,0,0,109,37,381,20.683111954459203,7.020872865275142,72.29601518026566,109.0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,26,10,16,0,0,100,84,343,18.975332068311197,15.939278937381404,65.08538899430741,10.0,5.25,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,16,1,15,0,0,108,86,333,20.49335863377609,16.318785578747626,63.18785578747628,108.0,5.733333333333333,True,
